Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Affiliations,Authors with affiliations,Document Type,Publication Stage,Open Access,Source,EID
"Zheng Y., Liu A., Zheng S.","55713135200;57918586800;57918187000;","Pressure Test: Finding Appropriate Data Size for Practice in Data Science Education",2022,"SIGITE 2022 - Proceedings of the 23rd Annual Conference on Information Technology Education",,,,"142","149",,,"10.1145/3537674.3554748","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85139395982&doi=10.1145%2f3537674.3554748&partnerID=40&md5=bed0e7cac2f4310a675baf0ad2dcd297","College of Computing, Illinois Institute of Technology, United States","Zheng, Y., College of Computing, Illinois Institute of Technology, United States; Liu, A., College of Computing, Illinois Institute of Technology, United States; Zheng, S., College of Computing, Illinois Institute of Technology, United States",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-85139395982
"Jiang S., Lee V.R., Rosenberg J.M.","57789043700;36020199700;56735393600;","Data science education across the disciplines: Underexamined opportunities for K-12 innovation",2022,"British Journal of Educational Technology","53","5",,"1073","1079",,,"10.1111/bjet.13258","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133661613&doi=10.1111%2fbjet.13258&partnerID=40&md5=979999a0ecdd84ef8e9812b3cbbd2a03","Department of Teacher Education and Learning Sciences, North Carolina State University, Raleigh, NC, United States; Graduate School of Education, Stanford University, Stanford, CA, United States; Department of Theory and Practice in Teacher Education, University of Tennessee, Knoxville, Knoxville, TN, United States","Jiang, S., Department of Teacher Education and Learning Sciences, North Carolina State University, Raleigh, NC, United States; Lee, V.R., Graduate School of Education, Stanford University, Stanford, CA, United States; Rosenberg, J.M., Department of Theory and Practice in Teacher Education, University of Tennessee, Knoxville, Knoxville, TN, United States",Editorial,"Final","",Scopus,2-s2.0-85133661613
"Lee V.R., Pimentel D.R., Bhargava R., D'Ignazio C.","36020199700;57216618480;57171684200;57193484649;","Taking data feminism to school: A synthesis and review of pre-collegiate data science education projects",2022,"British Journal of Educational Technology","53","5",,"1096","1113",,1,"10.1111/bjet.13251","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132591629&doi=10.1111%2fbjet.13251&partnerID=40&md5=84629ea2fc24c7706dd61f3ac73dcb2b","Graduate School of Education, Stanford University, Stanford, CA, United States; Journalism and Art + Design, Northeastern University, Boston, MA, United States; Department of Urban Studies and Planning, Massachusetts Institute of Technology, Cambridge, MA, United States","Lee, V.R., Graduate School of Education, Stanford University, Stanford, CA, United States; Pimentel, D.R., Graduate School of Education, Stanford University, Stanford, CA, United States; Bhargava, R., Journalism and Art + Design, Northeastern University, Boston, MA, United States; D'Ignazio, C., Department of Urban Studies and Planning, Massachusetts Institute of Technology, Cambridge, MA, United States",Review,"Final","",Scopus,2-s2.0-85132591629
"Dvir M., Ben-Zvi D.","57203992168;24448178900;","Students' actual purposes when engaging with a computerized simulation in the context of citizen science",2022,"British Journal of Educational Technology","53","5",,"1202","1220",,1,"10.1111/bjet.13238","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131384847&doi=10.1111%2fbjet.13238&partnerID=40&md5=c68b204f85cb2d9fcb9a958eeb50ccb6","Faculty of Education in Science and Technology, Technion Israel Institute of Technology, Haifa, Israel; Faculty of Education, University of Haifa, Haifa, Israel","Dvir, M., Faculty of Education in Science and Technology, Technion Israel Institute of Technology, Haifa, Israel; Ben-Zvi, D., Faculty of Education, University of Haifa, Haifa, Israel",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85131384847
"Banadaki Y.","56198153000;","Enabling Data Science Education in STEM Disciplines through Supervised Undergraduate Research Experiences",2022,"ASEE Annual Conference and Exposition, Conference Proceedings",,,,"","",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138273525&partnerID=40&md5=4bcc15cec803e71371d05123abe0108f","Department of Computer Science, Southern University, Baton Rouge, LA  70813, United States","Banadaki, Y., Department of Computer Science, Southern University, Baton Rouge, LA  70813, United States",Conference Paper,"Final","",Scopus,2-s2.0-85138273525
"Fisler K.","8576867000;","Data-Centricity: Rethinking Introductory Computing to Support Data Science",2022,"Proceedings of the 1st ACM SIGMOD International Workshop on Data Systems Education: Bridging Education Practice with Education Research, DataEd 2022",,,,"1","3",,,"10.1145/3531072.3535317","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85133190863&doi=10.1145%2f3531072.3535317&partnerID=40&md5=db9314094dca0181f5f8e1a6c580a5ac","Computer Science, Brown University, Providence, RI, United States","Fisler, K., Computer Science, Brown University, Providence, RI, United States",Conference Paper,"Final","",Scopus,2-s2.0-85133190863
"Perach S., Alexandron G.","57748640700;8945106100;","A Blended-Learning Program for Implementing a Rigorous Machine-Learning Curriculum in High-Schools",2022,"L@S 2022 - Proceedings of the 9th ACM Conference on Learning @ Scale",,,,"267","270",,,"10.1145/3491140.3528291","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85132135027&doi=10.1145%2f3491140.3528291&partnerID=40&md5=a88b2a4e8602505cba273fb5961ecc12","Weizmann Institute of Science, Rehovot, Israel","Perach, S., Weizmann Institute of Science, Rehovot, Israel; Alexandron, G., Weizmann Institute of Science, Rehovot, Israel",Conference Paper,"Final","",Scopus,2-s2.0-85132135027
"Kochmar E., Vu D.D., Belfer R., Gupta V., Serban I.V., Pineau J.","55968764300;57201895847;57218281459;57217777745;57191256019;13404973100;","Automated Data-Driven Generation of Personalized Pedagogical Interventions in Intelligent Tutoring Systems",2022,"International Journal of Artificial Intelligence in Education","32","2",,"323","349",,3,"10.1007/s40593-021-00267-x","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111353737&doi=10.1007%2fs40593-021-00267-x&partnerID=40&md5=01f462e30c850059dad85ddea6492f3a","Korbit Technologies Inc.QC, Canada; University of Bath, Bath, United Kingdom; École de Technologie SupérieureQC, Canada; McGill University & MILA (Quebec Artificial Intelligence Institute)QC, Canada","Kochmar, E., Korbit Technologies Inc.QC, Canada, University of Bath, Bath, United Kingdom; Vu, D.D., Korbit Technologies Inc.QC, Canada, École de Technologie SupérieureQC, Canada; Belfer, R., Korbit Technologies Inc.QC, Canada; Gupta, V., Korbit Technologies Inc.QC, Canada; Serban, I.V., Korbit Technologies Inc.QC, Canada; Pineau, J., Korbit Technologies Inc.QC, Canada, McGill University & MILA (Quebec Artificial Intelligence Institute)QC, Canada",Article,"Final","All Open Access, Hybrid Gold",Scopus,2-s2.0-85111353737
[No author name available],[No author id available],"SIGCSE 2022 - Proceedings of the 53rd ACM Technical Symposium on Computer Science Education V. 2",2022,"SIGCSE 2022 - Proceedings of the 53rd ACM Technical Symposium on Computer Science Education V.2",,,,"","",1231,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127440084&partnerID=40&md5=ad9a3a9f949bca693231a9b92a0c95e5",,"",Conference Review,"Final","",Scopus,2-s2.0-85127440084
"Doudesis D., Manataki A.","57216457927;34771688700;","Data science in undergraduate medicine: Course overview and student perspectives",2022,"International Journal of Medical Informatics","159",,"104668","","",,,"10.1016/j.ijmedinf.2021.104668","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122708664&doi=10.1016%2fj.ijmedinf.2021.104668&partnerID=40&md5=5fd34462aeb6230a7d6d52af2d2f9fee","BHF Centre for Cardiovascular Science, University of Edinburgh, Edinburgh, United Kingdom; Usher Institute, University of Edinburgh, Edinburgh, United Kingdom; School of Computer Science, University of St Andrews, St Andrews, United Kingdom","Doudesis, D., BHF Centre for Cardiovascular Science, University of Edinburgh, Edinburgh, United Kingdom, Usher Institute, University of Edinburgh, Edinburgh, United Kingdom; Manataki, A., School of Computer Science, University of St Andrews, St Andrews, United Kingdom",Article,"Final","",Scopus,2-s2.0-85122708664
