document_title,doi,document_link,authors,publication_year,document_type,abstract,database,open_access
taking data feminism to school: a synthesis and review of pre-collegiate data science education projects,10.1111/bjet.13251,https://doi.org/10.1111/bjet.13251,"Lee, Victor R.;Pimentel, Daniel R.;Bhargava, Rahul;D'Ignazio, Catherine",2022,"Article , Report","As the field of K-12 data science education continues to take form, humanistic approaches to teaching and learning about data are needed. Data feminism is an approach that draws on feminist scholarship and action to humanize data and contend with the relationships between data and power. In this review paper, we draw on principles from data feminism to review 42 different educational research and design approaches that engage youth with data, many of which are educational technology intensive and bear on future data-intensive educational technology research and design projects. We describe how the projects engage students with examining power, challenging power, elevating emotion and lived experience, rethinking binaries and hierarchies, embracing pluralism, considering context, and making labour visible. In doing so, we articulate ways that current data education initiatives involve youth in thinking about issues of justice and inclusion. These projects may offer examples of varying complexity for future work to contend with and, ideally, extend in order to further realize data feminism in K-12 data science education.",ERIC,NA
students' actual purposes when engaging with a computerized simulation in the context of citizen science,10.1111/bjet.13238,https://doi.org/10.1111/bjet.13238,"Dvir, Michal;Ben-Zvi, Dani",2022,"Article , Report","In today's information age, developing data science competencies has become vital to fostering responsible citizenry. However, the actual techniques learners need to become proficient in are still somewhat ""in-construction"", as the relatively new field of data science is constantly expanding to meet new data-related demands. Data science education needs to develop innovative means to keep up with this expansion that focus less on proficiency in specific techniques, but rather introduce novices to authentic data practices, and the authentic purposes directing the authentic practices. This paper focuses on a specific practice, the use of simulations to generate and examine data, in the context of authentic scientific Citizen Science research. We provide a case study of one pair of middle school students' engagement in an extended learning sequence including simulation activities inspired by authentic data practices, adapted to also be authentic for young students. While the simulation activity was inspired by the scientists' purposes, our findings illustrate four different actual purposes the students attributed to it. We also show that as the students deepened their engagement with the simulation, they gradually appropriated its intended purpose, alongside articulating more mature views of data-related concepts. The conclusions summarize the four different purposes the students expressed and identify aspects of design that contributed to the gradual re-shaping process of their actual purposes.",ERIC,NA
data science meets science teaching,NA,https://www.nsta.org/science-teacher/science-teacher-januaryfebruary-2022/data-science-meets-science-teaching,"Sagrans, Jacob;Mokros, Janice;Voyer, Christine;Harvey, Meggie",2022,"Article , Report","The use of large, open-source data sets is ubiquitous in scientific research. Scientists--ranging from meteorologists to chemists to epidemiologists--are researching and investigating critical questions using data that they have not themselves collected. To contribute to the growing effort to bring data science into classrooms, the authors have been implementing the NSF-funded ""Data Clubs"" project to examine using data sets on topics such as ticks and Lyme disease, COVID-19, and sports and leisure injuries. Much of this work takes place with youth in out-of-school settings. In addition to developing modules for youth, the authors worked with a group of 18 high school science and computer science teachers from Maine, New Hampshire, and Massachusetts who participated in a virtual 15-hour workshop series on data science education over the summer of 2020. The goal of the workshop was to introduce teachers to real and complex data sets, models for scaffolding learning, and tools for working with those data sets. In this article the authors share some of the key findings from this effort.",ERIC,NA
towards culturally relevant personalization at scale: experiments with data science learners,10.1007/s40593-021-00262-2,https://doi.org/10.1007/s40593-021-00262-2,"Brooks, Christopher;Quintana, Rebecca M.;Choi, Heeryung;Quintana, Chris;NeCamp, Timothy;Gardner, Joshua",2021,"Article , Report","In this article we describe our experiences building a large-scale data science program aimed at supporting diversity in online data science learning. This program was built to support a set of introductory skills-based, higher education courses. We are motivated by work done in project-based learning contexts and culturally responsive pedagogies and are particularly keen to understand how we can scale such kinds of approaches to large and diverse global classrooms. Specifically, we consider the country from which a learner is accessing the course as the key context for our work and discuss two interrelated investigations we have undertaken to understand how this feature interacts with learners' motivation and learning. Our findings provide insights on how learners respond to location-specific problem-based personalizations in data science education and provides an initial exploration as to how this form of personalization differs depending on the geo-political context of the learners.",ERIC,NA
the importance and emergence of k-12 data science,10.1177/00317217211043627,https://doi.org/10.1177/00317217211043627,"LaMar, Tanya;Boaler, Jo",2021,"Article , Report","The COVID-19 global pandemic has required everyone to make sense of data about community spread, levels of risk, and vaccine efficacy. Yet research shows that students are underprepared in data literacy. Tanya LaMar and Jo Boaler argue that data science education provides an opportunity to address this problem while providing much needed updates to the current mathematics curriculum. The integration of data science can provide a more equitable mathematics pipeline than the calculus-focused pathway that has excluded most students from a future in mathematics. Through data science, students can learn to answer questions that are relevant to their lives and communities, to be critical consumers of the data that surround them every day, and to wield the power of data analysis.",ERIC,NA
gaise ii: bringing data into classrooms,10.5951/mtlt.2020.0343,https://doi.org/10.5951/mtlt.2020.0343,"Bargagliotti, Anna;Arnold, Pip;Franklin, Chris",2021,"Article , Report","In this article, the authors introduce the ""Pre-K-12 Guidelines for Assessment and Instruction in Statistics Education II (GAISE II): A Framework for Statistics and Data Science Education"" report. This report, which was published by the American Statistical Association (ASA) and endorsed by the National Council of Teachers of Mathematics (NCTM) in 2020, presents a set of recommendations toward data literacy at the elementary, middle, and high school levels. ""GAISE II"" offers an update to the original report, ""Guidelines for Assessment and Instruction in Statistics Education: A Pre-K-12 Curriculum Framework (GAISE I),"" published in 2007. One of the important updates ""GAISE II"" contributes is a framework for PK-12 students to experience exploring different data types (McNamara and Hansen 2014). How can students effectively grapple with nontraditional data? How do teachers help students become data problem solvers with nontraditional data? This article discusses how using questioning throughout the statistical problem-solving process helps students navigate nontraditional data sets to become data problem solvers.",ERIC,NA
"remembering what produced the data: individual and social reconstruction in the context of a ""quantified self"" elementary data and statistics unit",10.1080/07370008.2021.1936529,https://doi.org/10.1080/07370008.2021.1936529,"Lee, Victor R.;Drake, Joel;Cain, Ryan;Thayne, Jeffrey",2021,"Article , Report","Given growing interest in K-12 data and data science education, new approaches are needed to help students develop robust understandings of and familiarity with data. The model of the ""quantified self""--in which data about one's own activities are collected and made into objects of study--provides inspiration for one such approach. By drawing on what one already knows about their self and their prior experiences, it may be possible to bootstrap students' abilities to interpret and make sense of data. Taking that possibility seriously, this article describes some of the gains observed in students' statistical reasoning following a quantified self, wearables-based elementary statistics unit and provides a theoretical framework drawing from cognitive psychology, embodiment, and situative perspectives to characterize how prior experience is used as a resource in data sense-making when the data are about students' own physical experiences. This framework centralizes and interrogates the work of ""remembering"" prior experiences and articulates how remembering is involved in interpreting quantified self data. Specifically, the framework emphasizes that remembering in service of data interpretation is a reconstructive act that draws from both general and specific embodied resources and that the work of reconstructive remembering in the classroom is both individual and multi-participant work. To demonstrate measured learning gains and illustrate the framework, written assessment results and descriptive cases of student and teacher discussions about quantified self data from two sixth-grade classes participating in a classroom design experiment are provided. Both a discussion of and recommendations for ethical considerations related to quantified self data in education are also provided.",ERIC,NA
a first introduction to data science education in secondary schools: teaching and learning about data exploration with codap using survey data,10.1111/test.12283,https://doi.org/10.1111/test.12283,"Frischemeier, Daniel;Biehler, Rolf;Podworny, Susanne;Budde, Lea",2021,"Article , Report","In this paper, we will describe an introduction to Data Science for secondary school students. We will report on the design and implementation of an introductory unit on ""Data and data detectives with CODAP"" in which secondary school students used the online tool CODAP to explore real and meaningful survey data on leisure time activities and media use (so-called JIM-PB data) in a statistical project setting as a starting point for data science. The JIM-PB data set served as a valuable data set that offered meaningful and exciting opportunities for data exploration for secondary school students, and CODAP proved to be a valuable tool for the first explorations of this data.",ERIC,NA
data wrangling practices and collaborative interactions with aggregated data,10.1007/s11412-020-09327-1,https://doi.org/10.1007/s11412-020-09327-1,"Jiang, Shiyan;Kahn, Jennifer",2020,"Article , Report","Data visualization technologies are powerful tools for telling evidence-based narratives about oneself and the world. This paper contributes to the literature on data science education by examining the sociotechnical practices of data wrangling--strategies for selecting and managing large, aggregated datasets to produce a model and story. We examined the learning opportunities related to data wrangling practices by investigating youth's talk-in-interaction while assembling models and stories about family migration using interactive data visualization tools and large socioeconomic datasets. We first identified ten sociotechnical practices that characterize youth's interaction with tools and collaboration in data wrangling. We then suggest four categories of activities to describe patterns of learning related to the practices, including addressing missing data, understanding data aggregation, exploring social or historical events that constitute the formation of data patterns, and varying data visual encoding for storytelling. These practices and activities are important to understand for supporting future data science education opportunities that facilitate learning and discussion about scientific and socioeconomic issues. This study also sheds light on how the family migration modeling context positions the youth as having agency and authority over the data and contributes to the design of CSCL environments that tackle the challenges of data wrangling.",ERIC,NA
examining spontaneous perspective taking and fluid self-to-data relationships in informal open-ended data exploration,10.1080/10508406.2019.1651317,https://doi.org/10.1080/10508406.2019.1651317,"Roberts, Jessica;Lyons, Leilah",2020,"Article , Report","Engaging learners with complex unfamiliar datasets is a known challenge in Data Science education. One promising phenomenon investigated in related work is perspective-taking. A first-person ""actor"" perspective can help facilitate group and individual sensemaking by mediating observations and actions taken by learners. Here we investigate how museum visitors made use of an actor perspective when exploring an open-ended, interactive data map museum exhibit. We use a mix of qualitative and quantitative empirical methods to explore how actor perspective-taking (APT) may mediate joint sensemaking around data visualizations. By applying interpretive coding to 54 conversations wherein APT naturalistically emerged, we identify 3 distinct self-to-data relationships constructed via APT: ""role-play"", ""projection"", and ""orientation"". A further analysis explores how APT was embedded in joint sensemaking of the visualized data. Twelve APT-mediated sensemaking processes are identified; two (""extrapolating"" and ""noticing absence"") were used in conjunction with multiple APT self-to-data relationships, while the remaining ten (e.g., ""enacting"", ""spatially characterizing"", ""generalizing"") were exclusively used with specific self-to-data APT relationships. We use these empirical findings to generate hypotheses about how APT and associated sensemaking processes may support Data Science learning goals.",ERIC,NA
