document_title,doi,document_link,authors,publication_year,document_type,abstract,database,open_access,reviewer_1,reviewer_2,keep,why_not_keep
students' actual purposes when engaging with a computerized simulation in the context of citizen science,10.1111/bjet.13238,https://doi.org/10.1111/bjet.13238,"Dvir, Michal;Ben-Zvi, Dani",2022,"Article , Report","In today's information age, developing data science competencies has become vital to fostering responsible citizenry. However, the actual techniques learners need to become proficient in are still somewhat ""in-construction"", as the relatively new field of data science is constantly expanding to meet new data-related demands. Data science education needs to develop innovative means to keep up with this expansion that focus less on proficiency in specific techniques, but rather introduce novices to authentic data practices, and the authentic purposes directing the authentic practices. This paper focuses on a specific practice, the use of simulations to generate and examine data, in the context of authentic scientific Citizen Science research. We provide a case study of one pair of middle school students' engagement in an extended learning sequence including simulation activities inspired by authentic data practices, adapted to also be authentic for young students. While the simulation activity was inspired by the scientists' purposes, our findings illustrate four different actual purposes the students attributed to it. We also show that as the students deepened their engagement with the simulation, they gradually appropriated its intended purpose, alongside articulating more mature views of data-related concepts. The conclusions summarize the four different purposes the students expressed and identify aspects of design that contributed to the gradual re-shaping process of their actual purposes.",ERIC,NA,2,5,FALSE,middle school
"remembering what produced the data: individual and social reconstruction in the context of a ""quantified self"" elementary data and statistics unit",10.1080/07370008.2021.1936529,https://doi.org/10.1080/07370008.2021.1936529,"Lee, Victor R.;Drake, Joel;Cain, Ryan;Thayne, Jeffrey",2021,"Article , Report","Given growing interest in K-12 data and data science education, new approaches are needed to help students develop robust understandings of and familiarity with data. The model of the ""quantified self""--in which data about one's own activities are collected and made into objects of study--provides inspiration for one such approach. By drawing on what one already knows about their self and their prior experiences, it may be possible to bootstrap students' abilities to interpret and make sense of data. Taking that possibility seriously, this article describes some of the gains observed in students' statistical reasoning following a quantified self, wearables-based elementary statistics unit and provides a theoretical framework drawing from cognitive psychology, embodiment, and situative perspectives to characterize how prior experience is used as a resource in data sense-making when the data are about students' own physical experiences. This framework centralizes and interrogates the work of ""remembering"" prior experiences and articulates how remembering is involved in interpreting quantified self data. Specifically, the framework emphasizes that remembering in service of data interpretation is a reconstructive act that draws from both general and specific embodied resources and that the work of reconstructive remembering in the classroom is both individual and multi-participant work. To demonstrate measured learning gains and illustrate the framework, written assessment results and descriptive cases of student and teacher discussions about quantified self data from two sixth-grade classes participating in a classroom design experiment are provided. Both a discussion of and recommendations for ethical considerations related to quantified self data in education are also provided.",ERIC,NA,2,3,FALSE,K-12 (if not specific level within K-12)
examining spontaneous perspective taking and fluid self-to-data relationships in informal open-ended data exploration,10.1080/10508406.2019.1651317,https://doi.org/10.1080/10508406.2019.1651317,"Roberts, Jessica;Lyons, Leilah",2020,"Article , Report","Engaging learners with complex unfamiliar datasets is a known challenge in Data Science education. One promising phenomenon investigated in related work is perspective-taking. A first-person ""actor"" perspective can help facilitate group and individual sensemaking by mediating observations and actions taken by learners. Here we investigate how museum visitors made use of an actor perspective when exploring an open-ended, interactive data map museum exhibit. We use a mix of qualitative and quantitative empirical methods to explore how actor perspective-taking (APT) may mediate joint sensemaking around data visualizations. By applying interpretive coding to 54 conversations wherein APT naturalistically emerged, we identify 3 distinct self-to-data relationships constructed via APT: ""role-play"", ""projection"", and ""orientation"". A further analysis explores how APT was embedded in joint sensemaking of the visualized data. Twelve APT-mediated sensemaking processes are identified; two (""extrapolating"" and ""noticing absence"") were used in conjunction with multiple APT self-to-data relationships, while the remaining ten (e.g., ""enacting"", ""spatially characterizing"", ""generalizing"") were exclusively used with specific self-to-data APT relationships. We use these empirical findings to generate hypotheses about how APT and associated sensemaking processes may support Data Science learning goals.",ERIC,NA,2,1,FALSE,museum visitors
situating data science: exploring how relationships to data shape learning,10.1080/10508406.2019.1705664,https://doi.org/10.1080/10508406.2019.1705664,"Wilkerson, Michelle Hoda;Polman, Joseph L.",2020,"Article , Report","The emerging field of Data Science has had a large impact on science and society. This has led to over a decade of calls to establish a corresponding field of Data Science Education. There is still a need, however, to more deeply conceptualize what a field of Data Science Education might entail in terms of scope, responsibility, and execution. This special issue explores how one distinguishing feature of Data Science--its focus on data collected from social and environmental contexts within which learners often find themselves deeply embedded--suggests serious implications for learning and education. The learning sciences is uniquely positioned to investigate how such contextual embeddings impact learners' engagement with data including conceptual, experiential, communal, racialized, spatial, and political dimensions. This special issue demonstrates the richly layered relationships learners build with data and reveals them to be not merely utilitarian mechanisms for learning about data, but a critical part of navigating data as social text and understanding Data Science as a discipline. Together, the contributions offer a vision of how the learning sciences can contribute to a more expansive, agentive and socially aware Data Science Education.",ERIC,NA,5,2,TRUE,NA
learning at the intersection of self and society: the family geobiography as a context for data science education,10.1080/10508406.2019.1693377,https://doi.org/10.1080/10508406.2019.1693377,"Kahn, Jennifer",2020,"Article , Report","Open large-scale datasets (LSDS) and data visualization technologies are new cultural tools that have potential to inform public dialogue and learning about important socioeconomic and scientific matters, particularly if the data is used to consider both personal and shared experiences. This paper reports on a design study in which diverse middle and high school youth in a free summer workshop at an urban public library were asked to model their family geobiographies, or their personal family migration stories, with socioeconomic LSDS. Youth represented family decision-making and social conditions that might have motivated family movements with online, dynamic data modeling and mapping tools (Gapminder.org; SocialExplorer.com). The qualitative video analysis examined participants' experiences and learning in storytelling and modeling the family geobiography, focusing on multimodal talk-in-interaction to understand how the study design engaged learners' capacities, histories, and imagined futures in relation to the LSDS and supported learning about oneself and society. Grounded examples from two family cases are used to illustrate how participants placed their families and selves into data ontologies and the role of family members in composing storylines.",ERIC,NA,4,2,FALSE,middle school and high school
the effectiveness of data science as a means to achieve proficiency in scientific literacy,NA,http://isedj.org/2015-13/n4/ISEDJv13n4p64.html,"Ceccucci, Wendy;Tamarkin, Dawn;Jones, Kiku",2015,"Article , Report , 080: Journal Articles , 143: Reports - Research","Data Science courses are becoming more prevalent in recent years. Increasingly more universities are offering individual courses and majors in the field of Data Science. This study evaluates data science education as a means to become proficient in scientific literacy. The results demonstrate how the educational goals of a Data Science course meet the scientific literacy criteria in regards to the process of science. Based on the commonality between data science and scientific literacy courses, the paper concludes that a data science course can be used as an alternative way for students in any major to gain scientific literacy skills.",ERIC,NA,3,2,TRUE,NA
big data science education: a case study of a project-focused introductory course,NA,https://www.learntechlib.org/p/171521/,"Saltz, Jeffrey;Heckman, Robert",2015,"Article , Report , 080: Journal Articles , 143: Reports - Research","This paper reports on a case study of a project-focused introduction to big data science course. The pedagogy of the course leveraged boundary theory, where students were positioned to be at the boundary between a client's desire to understand their data and the academic class. The results of the case study demonstrate that using live clients within a team-based, project-focused course provides a useful platform in which to teach an introduction to data science course to graduate students across a range of backgrounds. While more work needs to be done to compare different possible pedagogies for teaching an introduction to data science course, the results of this study indicate that one successful approach is a project-focused class that puts students at the boundary between the academic context of the course and solving a real-world problem for their client.",ERIC,NA,1,2,TRUE,NA
"data science education: we're missing the boat, again",10.1109/icde.2017.215,https://doi.org/10.1109/icde.2017.215,B. Howe; M. Franklin; L. Haas; T. Kraska; J. Ullman,2017,NA,"In the first wave of data science education programs, data engineering topics (systems, scalable algorithms, data management, integration) tended to be de-emphasized in favor of machine learning and statistical modeling. The anecdotal evidence suggests this was a mistake: data scientists report spending most of their time grappling with data far upstream of modeling activities. A second wave of data science education is emerging, one with increased emphasis on practical issues in ethics, legal compliance, scientific reproducibility, data quality, and algorithmic bias. The data engineering community has a second chance to influence these programs beyond just providing a set of tools. In this panel, we'll discuss the role of data engineering in data science education programs, and how best to capitalize on emerging opportunities in this space.",IEEE,NA,2,4,TRUE,NA
tailored data science education using gamification,10.1109/cloudcom.2016.0108,https://doi.org/10.1109/cloudcom.2016.0108,K. Hee; R. V. Zicari; K. Tolle; A. Manieri,2017,NA,"The interest to become a data scientist or related professions in data science domain is rapidly growing. To meet such a demand, we propose a novel educational service that aims to provide a tailored learning paths for data science. Our target user is one who aims to be an expert in data science. Our approach is to analyze the background of the practitioner and match the learning units. A critical feature is that we use gamification to reinforce the practitioner engagement. We believe that our work provides a practical guideline for those who wants to learn data science.",IEEE,NA,2,5,FALSE,practitioners
widening the shrinking pipeline: the case of data science,10.1109/educon46332.2021.9453924,https://doi.org/10.1109/educon46332.2021.9453924,K. Mike; G. Hartal; O. Hazzan,2021,NA,"Gender imbalance in STEM (Science, Technology, Engineering and Mathematics) studies and occupations is a well-known phenomenon with a large body of research that tries to explain it and offer remedial interventions. Data science is a new and interdisciplinary STEM-oriented domain, integrating knowledge and skills from computer science, mathematics, and statistics with an application domain, from which the data draw their context and meaning. Data science applications are relevant for various domains, and therefore, a variety of populations are increasingly attracted to learning it. Addressing the theme of the conference, i.e., “Women in Engineering”, in this paper we describe a data science workshop for social sciences and digital humanities researchers. A significant majority (83%) of the participants of this workshop self-identified as women. This gender proportion, the opposite of that prevailing in STEM studies, led us to examine the workshop from a gender perspective. Our results indicate that the women participating in the data science workshop perceived it as an opportunity to acquire research tools rather than programming tools. We suggest that framing the workshop as a research tool workshop and not as a programming workshop reduced prevalent gender barriers in STEM, encouraging a majority of women researchers to participate. In this paper, we elaborate on the participants' perceptions about data science and programming and analyze them based on three theoretical perspectives: expectancy value theory, the interdisciplinary perspective, and the epistemological perspective. Keywords-data science, data science education, gender balance, interdisciplinary of data science.",IEEE,NA,2,3,FALSE,researchers
