document_title,doi,document_link,authors,publication_year,document_type,abstract,database,open_access,reviewer_1,reviewer_2,keep,why_not_keep
"remembering what produced the data: individual and social reconstruction in the context of a ""quantified self"" elementary data and statistics unit",10.1080/07370008.2021.1936529,https://doi.org/10.1080/07370008.2021.1936529,"Lee, Victor R.;Drake, Joel;Cain, Ryan;Thayne, Jeffrey",2021,"Article , Report","Given growing interest in K-12 data and data science education, new approaches are needed to help students develop robust understandings of and familiarity with data. The model of the ""quantified self""--in which data about one's own activities are collected and made into objects of study--provides inspiration for one such approach. By drawing on what one already knows about their self and their prior experiences, it may be possible to bootstrap students' abilities to interpret and make sense of data. Taking that possibility seriously, this article describes some of the gains observed in students' statistical reasoning following a quantified self, wearables-based elementary statistics unit and provides a Theoreticalal framework drawing from cognitive psychology, embodiment, and situative perspectives to characterize how prior experience is used as a resource in data sense-making when the data are about students' own physical experiences. This framework centralizes and interrogates the work of ""remembering"" prior experiences and articulates how remembering is involved in interpreting quantified self data. Specifically, the framework emphasizes that remembering in service of data interpretation is a reconstructive act that draws from both general and specific embodied resources and that the work of reconstructive remembering in the classroom is both individual and multi-participant work. To demonstrate measured learning gains and illustrate the framework, written assessment results and descriptive cases of student and teacher discussions about quantified self data from two sixth-grade classes participating in a classroom design experiment are provided. Both a discussion of and recommendations for ethical considerations related to quantified self data in education are also provided.",ERIC,NA,2,3,FALSE,K-12
a first introduction to data science education in secondary schools: teaching and learning about data exploration with codap using survey data,10.1111/test.12283,https://doi.org/10.1111/test.12283,"Frischemeier, Daniel;Biehler, Rolf;Podworny, Susanne;Budde, Lea",2021,"Article , Report","In this paper, we will describe an introduction to Data Science for secondary school students. We will report on the design and implementation of an introductory unit on ""Data and data detectives with CODAP"" in which secondary school students used the online tool CODAP to explore real and meaningful survey data on leisure time activities and media use (so-called JIM-PB data) in a statistical project setting as a starting point for data science. The JIM-PB data set served as a valuable data set that offered meaningful and exciting opportunities for data exploration for secondary school students, and CODAP proved to be a valuable tool for the first explorations of this data.",ERIC,NA,3,5,FALSE,Secondary Students
envisioning the data science discipline: the undergraduate perspective--interim report. consensus study report,10.17226/24886,https://doi.org/10.17226/24886,NA,2018,"Book , Report , 010: Books , 143: Reports - Research","The need to manage, analyze, and extract knowledge from data is pervasive across industry, government, and academia. Scientists, engineers, and executives routinely encounter enormous volumes of data, and new techniques and tools are emerging to create knowledge out of these data, some of them capable of working with real-time streams of data. The nation's ability to make use of these data depends on the availability of an educated workforce with necessary expertise. With these new capabilities have come novel ethical challenges regarding the effectiveness and appropriateness of broad applications of data analyses. The field of data science has emerged to address the proliferation of data and the need to manage and understand it. Data science is a hybrid of multiple disciplines and skill sets, draws on diverse fields (including computer science, statistics, and mathematics), encompasses topics in ethics and privacy, and depends on specifics of the domains to which it is applied. Fueled by the explosion of data, jobs that involve data science have proliferated and an array of data science programs at the undergraduate and graduate levels have been established. Nevertheless, data science is still in its infancy, which suggests the importance of envisioning what the field might look like in the future and what key steps can be taken now to move data science education in that direction. This study will set forth a vision for the emerging discipline of data science at the undergraduate level. This interim report lays out some of the information and comments that the committee has gathered and heard during the first half of its study, offers perspectives on the current state of data science education, and poses some questions that may shape the way data science education evolves in the future. The study will conclude in early 2018 with a final report that lays out a vision for future data science education. [Contributors include the Division on Engineering and Physical Sciences; Division of Behavioral and Social Sciences and Education; Computer Science and Telecommunications Board; Board on Mathematical Sciences and Analytics; Committee on Applied and Theoreticalal Statistics; Board on Science Education; and Committee on Envisioning the Data Science Discipline: The Undergraduate Perspective.]",ERIC,NA,3,1,FALSE,Panel
statistical literacy for active citizenship: a call for data science education,10.52041/serj.v16i1.213,https://doi.org/10.52041/serj.v16i1.213,"Engel, Joachim",2017,"Article , Report , 080: Journal Articles , 141: Reports - Descriptive","Data are abundant, quantitative information about the state of society and the wider world is around us more than ever. Paradoxically, recent trends in the public discourse point towards a post-factual world that seems content to ignore or misrepresent empirical evidence. As statistics educators we are challenged to promote understanding of statistics about society. In order to re-root public debate to be based on facts instead of emotions and to promote evidence-based policy decisions, statistics education needs to embrace two areas widely neglected in secondary and tertiary education: understanding of multivariate phenomena and the thinking with and learning from complex data.",ERIC,NA,1,3,FALSE,
"utilizing multifaceted rasch measurement through facets to evaluate science education data sets composed of judges, respondents, and rating scale items: an exemplar utilizing the elementary science teaching analysis matrix instrument",10.1002/sce.21210,https://doi.org/10.1002/sce.21210,"Boone, William J.;Townsend, J. Scott;Staver, John R.",2016,"Article , Report , 080: Journal Articles , 142: Reports - Evaluative","When collecting data, science education researchers frequently have multiple respondents evaluate multiple artifacts using multiple criteria. Herein, the authors introduce Multifaceted Rasch Measurement (MFRM) analysis and explain why MFRM must be used when ""judges'"" data are collected. The authors use data from elementary science methods students enrolled in a senior-level, semester-length course. Acting as judges, students used the 23-item Elementary Science Teaching Analysis Matrix (ESTAM) instrument to evaluate five separate science lessons taught by five different teachers. Our MFRM analysis documents that multiple judges need not act as identical robots. Rather, differences in judges' severity can be computed and corrections made in an analysis to take into consideration differing judge severity. This paper extends the current literature in ""Science Education"" regarding the application of Rasch measurement.",ERIC,NA,3,4,FALSE,not data science
the effectiveness of data science as a means to achieve proficiency in scientific literacy,NA,http://isedj.org/2015-13/n4/ISEDJv13n4p64.html,"Ceccucci, Wendy;Tamarkin, Dawn;Jones, Kiku",2015,"Article , Report , 080: Journal Articles , 143: Reports - Research","Data Science courses are becoming more prevalent in recent years. Increasingly more universities are offering individual courses and majors in the field of Data Science. This study evaluates data science education as a means to become proficient in scientific literacy. The results demonstrate how the educational goals of a Data Science course meet the scientific literacy criteria in regards to the process of science. Based on the commonality between data science and scientific literacy courses, the paper concludes that a data science course can be used as an alternative way for students in any major to gain scientific literacy skills.",ERIC,NA,3,2,FALSE,Theoretical
widening the shrinking pipeline: the case of data science,10.1109/educon46332.2021.9453924,https://doi.org/10.1109/educon46332.2021.9453924,K. Mike; G. Hartal; O. Hazzan,2021,NA,"Gender imbalance in STEM (Science, Technology, Engineering and Mathematics) studies and occupations is a well-known phenomenon with a large body of research that tries to explain it and offer remedial interventions. Data science is a new and interdisciplinary STEM-oriented domain, integrating knowledge and skills from computer science, mathematics, and statistics with an application domain, from which the data draw their context and meaning. Data science applications are relevant for various domains, and therefore, a variety of populations are increasingly attracted to learning it. Addressing the theme of the conference, i.e., “Women in Engineering”, in this paper we describe a data science workshop for social sciences and digital humanities researchers. A significant majority (83%) of the participants of this workshop self-identified as women. This gender proportion, the opposite of that prevailing in STEM studies, led us to examine the workshop from a gender perspective. Our results indicate that the women participating in the data science workshop perceived it as an opportunity to acquire research tools rather than programming tools. We suggest that framing the workshop as a research tool workshop and not as a programming workshop reduced prevalent gender barriers in STEM, encouraging a majority of women researchers to participate. In this paper, we elaborate on the participants' perceptions about data science and programming and analyze them based on three Theoreticalal perspectives: expectancy value theory, the interdisciplinary perspective, and the epistemological perspective. Keywords-data science, data science education, gender balance, interdisciplinary of data science.",IEEE,NA,2,3,FALSE,Workshop
roundtable on data science postsecondary education: a compilation of meeting highlights,10.17226/25804,https://doi.org/10.17226/25804,"National Academies of Sciences, Engineering, and Medicine; Division of Behavioral and Social Sciences and Education; Division on Engineering and Physical Sciences; Board on Science Education; Computer Science and Telecommunications Board; Committee on Applied and Theoreticalal Statistics; Board on Mathematical Sciences and Analytics; Casola L, editor.",2020,NA,NA,pubmed,NA,3,5,FALSE,Meeting highlights
ad hoc efforts for advancing data science education,10.1371/journal.pcbi.1007695,https://doi.org/10.1371/journal.pcbi.1007695,"DeMasi O, Paxton A, Koy K.",2020,NA,NA,pubmed,NA,4,3,FALSE,Ad hoc Organizers
quant data science meets dexterous artistry,10.1007/s41060-018-0138-6,https://doi.org/10.1007/s41060-018-0138-6,Dinov ID.,2019,NA,NA,pubmed,NA,3,1,FALSE,Theoretical
