document_title,doi,document_link,authors,publication_year,document_type,abstract,database,open_access,reviewer_1,reviewer_2,keep,why_not_keep,keep_1,why_not_keep_1,keep_2,why_not_keep_2
data science education in library and information science schools,10.1002/pra2.84,https://doi.org/10.1002/pra2.84,"Hagen L., Andrews J., Federer L., Benoit G.",2019,Article,"The need for data science education has grown recently among Library and Information Science schools to better prepare information professionals for the world of big data. However, there are many challenges to providing education on data science in Library and Information Science schools. For example, developing curricula and models for managing faculty resources (full-time teaching, buy-out, or specialized faculty) are some initial, common challenges. Participants will present their experiences and insights regarding data science education, which may include curricula, barriers, and best practices in the panel presentations. The panel session then will open up to an active discussion session with the audience, who will be encouraged to share their experiences and insights. This panel session is part of an ongoing effort by the organizers to establish sustainable data science education in Information Science schools. Developing a framework and curricula of data science education in Information Science schools, based on best practices and informed by experience, is the optimal goal of this ongoing effort. The success of this effort depends on active participation of the participants. This panel is sponsored by SIG ED.",Scopus,NA,3,2,FALSE,panel,TRUE,not sure,FALSE,panel
"identifying the content, lesson structure, and data use within pre-collegiate data science curricula",10.1007/s10956-021-09932-1,https://doi.org/10.1007/s10956-021-09932-1,"Lee V.R., Delaney V.",2022,Article,"As data become more available and integrated into daily life, there has been growing interest in developing data science curricula for youth in conjunction with scientific practices and classroom technologies. However, the what and how of data science in pre-collegiate education have not yet reached consensus. This paper analyzes two prominent self-identified data science curricula, Introduction to Data Science (Gould et al. 2018) and Bootstrap: Data Science (Krishnamurthi et al. 2020), in order to ascertain what is thus far being presented to schools as data science. We highlight overlapping content and practices by the curricula while noting some key differences between the curricula and with professional practice. Moreover, we examine how lessons are structured and what kinds of data sets are used as well as introduce a measure of data set proximity. We conclude with some recommended areas for further coverage or elaboration in future iterations and future curricular efforts.",Scopus,NA,3,2,FALSE,k-12,FALSE,pre-collegiate,TRUE,NA
chapter six - how can ocean science observations contribute to humanity?,10.1016/b978-0-12-823427-3.00005-0,https://doi.org/10.1016/b978-0-12-823427-3.00005-0,"Manzella GM,Emery W",2022,Book Chapter,"Experience is needed to prepare young ocean researchers to work in interdisciplinary environments and to teach them how to deal with complex processes. Such experience can be provided in courses/internships aimed at preparing qualified personnel to work on solution-oriented projects. These lessons are designed to deepen understanding in particular elements of ocean data science education: oceanography as a science in evolution, mutual understanding, the enrichment of data, and the process of moving from data to information. Such lessons combine the history of ocean science with ocean data methodologies and technologies, data quality elements, “fitness for use”/“fitness for purpose” and analyses. The approach consists of a significant mentoring program aimed at strengthening “thinking skills”—critical and creative thinking—and therefore the ability to solve complex problems.",science direct,NA,2,3,TRUE,NA,FALSE,researchers,TRUE,not sure
a guide to teaching data science,10.1080/00031305.2017.1356747,https://doi.org/10.1080/00031305.2017.1356747,"Hicks SC, Irizarry RA.",2019,NA,"Demand for data science education is surging and traditional courses offered by statistics departments are not meeting the needs of those seeking training. This has led to a number of opinion pieces advocating for an update to the Statistics curriculum. The unifying recommendation is that computing should play a more prominent role. We strongly agree with this recommendation, but advocate the main priority is to bring applications to the forefront as proposed by Nolan and Speed in 1999. We also argue that the individuals tasked with developing data science courses should not only have statistical training, but also have experience analyzing data with the main objective of solving real-world problems. Here, we share a set of general principles and offer a detailed guide derived from our successful experience developing and teaching a graduate-level, introductory data science course centered entirely on case studies. We argue for the importance of statistical thinking, as defined by Wild and Pfannkuch in 1999 and describe how our approach teaches students three key skills needed to succeed in data science, which we refer to as creating, connecting, and computing. This guide can also be used for statisticians wanting to gain more practical knowledge about data science before embarking on teaching an introductory course. Supplementary materials for this article are available online.",pubmed,NA,3,2,TRUE,NA,FALSE,graduate,TRUE,NA
"remembering what produced the data: individual and social reconstruction in the context of a ""quantified self"" elementary data and statistics unit",10.1080/07370008.2021.1936529,https://doi.org/10.1080/07370008.2021.1936529,"Lee, Victor R.;Drake, Joel;Cain, Ryan;Thayne, Jeffrey",2021,"Article , Report","Given growing interest in K-12 data and data science education, new approaches are needed to help students develop robust understandings of and familiarity with data. The model of the ""quantified self""--in which data about one's own activities are collected and made into objects of study--provides inspiration for one such approach. By drawing on what one already knows about their self and their prior experiences, it may be possible to bootstrap students' abilities to interpret and make sense of data. Taking that possibility seriously, this article describes some of the gains observed in students' statistical reasoning following a quantified self, wearables-based elementary statistics unit and provides a theoretical framework drawing from cognitive psychology, embodiment, and situative perspectives to characterize how prior experience is used as a resource in data sense-making when the data are about students' own physical experiences. This framework centralizes and interrogates the work of ""remembering"" prior experiences and articulates how remembering is involved in interpreting quantified self data. Specifically, the framework emphasizes that remembering in service of data interpretation is a reconstructive act that draws from both general and specific embodied resources and that the work of reconstructive remembering in the classroom is both individual and multi-participant work. To demonstrate measured learning gains and illustrate the framework, written assessment results and descriptive cases of student and teacher discussions about quantified self data from two sixth-grade classes participating in a classroom design experiment are provided. Both a discussion of and recommendations for ethical considerations related to quantified self data in education are also provided.",ERIC,NA,2,3,FALSE,k-12,FALSE,k-12 (if not specific level within k-12),FALSE,k-12
inclusivity in statistics and data science education,10.1080/26939169.2021.1906555,https://doi.org/10.1080/26939169.2021.1906555,"Witmer, J",2021,Editorial Material,NULL,web of science,NA,2,3,TRUE,NA,NA,NA,FALSE,editorial
a letter to the journal of statistics and data science education — a call for review of “okcupid data for introductory statistics and data science courses” by albert y. kim and adriana escobedo-land,10.1080/26939169.2021.1930812,https://doi.org/10.1080/26939169.2021.1930812,"Xiao T., Ma Y.",2021,Letter,NULL,Scopus,"All Open Access, Gold",3,2,TRUE,NA,FALSE,letter to the editor,FALSE,letter to journal's editor
30 years of the journal of statistics and data science education,10.1080/26939169.2022.2041325,https://doi.org/10.1080/26939169.2022.2041325,Horton N.J.,2022,Editorial,NULL,Scopus,"All Open Access, Gold",3,2,TRUE,NA,FALSE,editorial,FALSE,note from journal's editor
widening the shrinking pipeline: the case of data science,10.1109/educon46332.2021.9453924,https://doi.org/10.1109/educon46332.2021.9453924,K. Mike; G. Hartal; O. Hazzan,2021,NA,"Gender imbalance in STEM (Science, Technology, Engineering and Mathematics) studies and occupations is a well-known phenomenon with a large body of research that tries to explain it and offer remedial interventions. Data science is a new and interdisciplinary STEM-oriented domain, integrating knowledge and skills from computer science, mathematics, and statistics with an application domain, from which the data draw their context and meaning. Data science applications are relevant for various domains, and therefore, a variety of populations are increasingly attracted to learning it. Addressing the theme of the conference, i.e., “Women in Engineering”, in this paper we describe a data science workshop for social sciences and digital humanities researchers. A significant majority (83%) of the participants of this workshop self-identified as women. This gender proportion, the opposite of that prevailing in STEM studies, led us to examine the workshop from a gender perspective. Our results indicate that the women participating in the data science workshop perceived it as an opportunity to acquire research tools rather than programming tools. We suggest that framing the workshop as a research tool workshop and not as a programming workshop reduced prevalent gender barriers in STEM, encouraging a majority of women researchers to participate. In this paper, we elaborate on the participants' perceptions about data science and programming and analyze them based on three theoretical perspectives: expectancy value theory, the interdisciplinary perspective, and the epistemological perspective. Keywords-data science, data science education, gender balance, interdisciplinary of data science.",IEEE,NA,2,3,FALSE,workshop for data science researchers,FALSE,researchers,FALSE,workshop
curriculum for hands-on artificial intelligence cybersecurity,10.1109/ithet46829.2019.8937373,https://doi.org/10.1109/ithet46829.2019.8937373,"Romney G.W., Guymon J., Romney M.D., Carlson D.A.",2019,Conference Paper,"Interest and awareness of Artificial Intelligence (AI) grows at such a rate that academia and higher education struggle keeping up with the accelerating demand of industry. It is forecast that 75% of enterprise applications will use AI, Machine Learning or Deep Learning technology by 2021, yet university programs commonly place the burden on students to obtain their data science educations through elective coursework spanning multiple disparate departments. Data science requires specific mathematics preparation especially for cybersecurity students whose programs have reduced the requirements for advance mathematics to a bare minimum. To facilitate curricula preparation, and hands-on usage of AI tools, a notebook (“A Trellis For Novice AI Practitioners”) was prepared in the R programming language as a first step in introducing computer science and cybersecurity students to the concepts and capabilities of AI. A focus on an intrusion detection data set to mitigate nine common cyber vulnerabilities is used in this analysis. Trellis bridges the theoretical and practical chasm for students by building an ANN network intrusion predictive model from scratch. It serves as a template but also encourages heavy contextual modification, and may be relied upon in the beginning stages of a cybersecurity practitioner's data science activities on a wide variety of data sets in all areas of the discipline.",Scopus,NA,2,3,TRUE,NA,TRUE,NA,FALSE,NA
