document_title,doi,document_link,authors,publication_year,document_type,abstract,database,open_access,reviewer_1,reviewer_2,keep,why_not_keep
the effectiveness of data science as a means to achieve proficiency in scientific literacy,NA,http://isedj.org/2015-13/n4/ISEDJv13n4p64.html,"Ceccucci W., Tamarkin D., Jones K.",2014,Conference Paper,"Data Science courses are becoming more prevalent in recent years. Increasingly more universities are offering individual courses and majors in the field of Data Science. This study evaluates data science education as a means to become proficient in scientific literacy. The results demonstrate how the educational goals of a Data Science course meet the scientific literacy criteria in regards to the process of science. Based on the commonality between data science and scientific literacy courses, the paper concludes that a data science course can be used as an alternative way for students in any major to gain scientific literacy skills.",Scopus,NA,5,1,TRUE,NA
bridging the demand and the offer in data science,10.1002/cpe.5200,https://doi.org/10.1002/cpe.5200,"Belloum A.S.Z., Koulouzis S., Wiktorski T., Manieri A.",2019,Article,"During the last several years, we have observed an exponential increase in the demand for Data Scientists in the job market. As a result, a number of trainings, courses, books, and university educational programs (both at undergraduate, graduate and postgraduate levels) have been labeled as ‚ÄúBig data‚Äù or ‚ÄúData Science‚Äù; the fil-rouge of each of them is the aim at forming people with the right competencies and skills to satisfy the business sector needs. In this paper, we report on some of the exercises done in analyzing current Data Science education offer and matching with the needs of the job markets to propose a scalable matching service, ie, COmpetencies ClassificatiOn (E-CO-2), based on Data Science techniques. The E-CO-2 service can help to extract relevant information from Data Science‚Äìrelated documents (course descriptions, job Ads, blogs, or papers), which enable the comparison of the demand and offer in the field of Data Science Education and HR management, ultimately helping to establish the profession of Data Scientist.",Scopus,"All Open Access, Hybrid Gold, Green",2,5,TRUE,NA
keeping the human in the data scientist: shaping human-centered data science education,10.1002/pra2.103,https://doi.org/10.1002/pra2.103,"Anderson T.D., Parker N.",2019,Article,"Human-centered approaches are still relatively novel for data science practice, where data-driven analytics are often framed as ways to supersede human judgments. This poster presents core design principles devised by the authors to build a data science curriculum foregrounding ethics and valuing creative human capacities alongside strong data analytic skills. The curriculum design transforms human-centered principles into practice. The poster visually illustrates the trajectory of these principles in relation to three specific graduate attributes, using a selection of deep dives into the learning design. To illustrate the specific power information theory and practice has to shape data science training, the poster uses evocative quotes from information science theorists and displays how their work significantly influenced the overall philosophy of the program, student activities and assessments. Using ëgamestormingí techniques during the poster session, the audience is invited to contribute further insights about ways to nurture the deeply human capacities of the data scientists we train.",Scopus,NA,1,5,TRUE,NA
a survey of data science programs and courses in the ischools,10.1002/pra2.184,https://doi.org/10.1002/pra2.184,"Wang Y.-Y., Lin C.-S.",2019,Article,"In this poster, we examined the current data science programs and courses in the 102 iSchools members. The result shows that the program distribution was unequal by region, and the courses offered by iSchools concentrated on data analysis skills. Research data management, which concerns data management throughout research life cycle and data curation, constituted less than 10% of the courses.",Scopus,NA,1,2,TRUE,NA
the next wave: we will all be data scientists,10.1002/sam.11476,https://doi.org/10.1002/sam.11476,"Betz M., Gundlach E., Hillery E., Rickus J., Ward M.D.",2020,Article,"In the next wave of educating future data scientists, we need to think of all undergraduate students, regardless of background or major, as future data scientists. We should train them in supportive, interdisciplinary environments. Starting from their first day at college, they should be given the opportunity to apply powerful tools to large data sets, using real-world problems. Partnerships with research computing, academic departments, research centers, companies, government, and nonprofits will all be necessary to fully prepare these students for the breadth of the data science workforce.",Scopus,NA,2,5,TRUE,NA
collaborative learning in data science education: a data expedition as a formative assessment tool,10.1007/978-3-030-11932-4_2,https://doi.org/10.1007/978-3-030-11932-4_2,"Maksimenkova O., Neznanov A., Radchenko I.",2020,Conference Paper,"The paper addresses the questions of data science education of current importance. It aims to introduce and justify the framework that allows flexibly evaluate the processes of a data expedition and a digital media created during it. For these purposes, the authors explore features of digital media artefacts which are specific to data expeditions and are essential to accurate evaluation. The rubrics as a power but hardly formalizable evaluation method in application to digital media artefacts are also discussed. Moreover, the paper documents the experience of rubrics creation according to the suggested framework. The rubrics were successfully adopted to two data-driven journalism courses. The authors also formulate recommendations on data expedition evaluation which should take into consideration structural features of a data expedition, distinctive features of digital media, etc.",Scopus,NA,4,1,TRUE,NA
exploring interdisciplinary data science education for undergraduates: preliminary results,10.1007/978-3-030-71292-1_43,https://doi.org/10.1007/978-3-030-71292-1_43,"Li F., Xiao Z., Ng J.T.D., Hu X.",2021,Conference Paper,NA,Scopus,NA,5,3,TRUE,NA
development of ipsj data science curriculum standard,10.1007/978-3-030-97986-7_13,https://doi.org/10.1007/978-3-030-97986-7_13,"Kakeshita T., Ishii K., Ishikawa Y., Matsubara H., Matsuo Y., Murata T., Nakano M., Nakatani T., Okumura H., Takahashi N., Takahashi N., Uchida G., Uematsu E., Saeki S., Kato H.",2022,Conference Paper,NA,Scopus,NA,3,4,TRUE,NA
embodied agents to scaffold data science education,10.1007/978-3-031-11647-6_26,https://doi.org/10.1007/978-3-031-11647-6_26,"Sinha T., Malhotra S.",2022,Conference Paper,"Arguing and working with data has become commonplace in several study domains. One way to immerse students in hands-on exploration with data is to provide them with problem-solving environments, for example jupyter notebooks, which can scaffold studentsí reasoning and bring them closer to disciplinary ways of thinking. Although the intrinsic affordances of jupyter notebooks (e.g., interaction with multiple data representations, automation of procedural task aspects) allow students to engage in rich learning experiences, students lack crucial social scaffolding that directly targets the process of learning. We are developing an AIED infrastructure†EASEx†for use in higher education contexts that brings in the affordances of embodied pedagogical agents to significantly advance educational practice by scaffolding students in a personalized manner as they work through problems using jupyter notebooks.",Scopus,NA,1,5,TRUE,NA
ivis4bigdata: a reference model for advanced visual interfaces supporting big data analysis in virtual research environments,10.1007/978-3-319-50070-6_1,https://doi.org/10.1007/978-3-319-50070-6_1,"Bornschlegl M.X., Berwind K., Kaufmann M., Engel F.C., Walsh P., Hemmje M.L., Riestra R.",2016,Conference Paper,"This paper introduces an approach to develop an up-to-date reference model that can support advanced visual user interfaces for distributed Big Data Analysis in virtual labs to be used in e-Science, industrial research, and Data Science education. The paper introduces and motivates the current situation in this application area as a basis for a corresponding problem statement that is utilized to derive goals and objectives of the approach. Furthermore, the relevant state-of-the-art is revisited and remaining challenges are identified. An exemplar set of use cases, corresponding user stereotypes as well as a conceptual design model to address these challenges are introduced. A corresponding architectural system model is suggested as a conceptual reference architecture to support proof-of-concept implementations as well as to support interoperability in distributed infrastructures. Conclusions and an outlook on future work complete the paper.",Scopus,NA,2,4,TRUE,NA
