reviewer_1,reviewer_2,our_id,document_title,doi,document_link,authors,publication_year,abstract,database,open_access,new_doc_type,journal,conference,book,affiliation_country,content_area,research_question,data_collection_type,main_field,big_pic_notes,interesting_facts,keywords,keep,why_not_keep
1,2,Raj_2019_empirical_approach,an empirical approach to understanding data science and engineering education,10.1145/3344429.3372503,https://doi.org/10.1145/3344429.3372503,"Raj R.K., Parrish A., Impagliazzo J., Romanowski C.J., Aly S.G., Bennett C.C., Davis K.C., McGettrick A., Pereira T.S.M., Sundin L.",2019,"As data science is an evolving field, existing definitions reflect this uncertainty with overloaded terms and inconsistency. As a result of the field's fluidity, there is often a mismatch between what data-related programs teach, what employers expect, and the actual tasks data scientists are performing. In addition, the tools available to data scientists are not necessarily the tools being taught; textbooks do not seem to meet curricular needs; and empirical evidence does not seem to support existing program design. Currently, the field appears to be bifurcating into data science (DS) and data engineering (DE), with specific but overlapping roles in the combined data science and engineering (DSE) lifecycle. However, curriculum design has not yet caught up to this evolution. This working group report shows an empirical and data-driven view of the data-related education landscape, and includes several recommendations for both academia and industry that are based on this analysis.",Scopus,FALSE,conference article,NA,ITiCSE-WGR '19: Working Group Reports on Innovation and Technology in Computer Science Education,NA,"United States of America, United States of America, United States of America, United States of America, Egypt, United States of America, United States of America, United Kingdom, Portugal, United Kingdom",call to action,FALSE,mixed,nonspecific,"Analysis of data science programs, with the distinction of data science and data engineering. Discusses need for clear program outcomes with balance in curriculum subject areas.",NA,"ITiCSE 2019 working group, data science education, data engineering education, multidisciplinary education, global standards, accreditation",TRUE,NA
1,2,Alexander_2022_beyond_ethics,beyond ethics: considerations for centering equity-minded data science,10.5642/jhummath.OCYS6929,https://doi.org/10.5642/jhummath.OCYS6929,"Alexander, N; Eaton, CD; Shrout, AH; Tsinnajinnie, B; Tsosie, K",2022,"In this paper, we utilize duoethnography - a research method in which prac-titioners discursively interrogate the relationships between culture, context, and the mechanisms which shape individual autobiographical experiences - to ex-plore what may be beyond ethics in the context of data science. Although ethical frameworks have the ability to reflect cultural priorities, a singular view of ethics, as we explore, often fails to speak to the multiple and diverse priorities held both within and across institutional spaces. To that end, this paper explores multiple perspectives, epistemologies, and worldviews that can collectively push researchers towards considerations of a data science education that is equity -minded both in concept and practice. Through a set of dialogues which examine our positionalities, journeys, ethics, local cultures, and accountabilities, this pa-per explores the contextual realities rooted in the authors' educational settings. These conversations focus on the humanity of our students, the communities from which we come from and serve, as well as the unintentional harms and possibilities associated with the development of data science programs across institutional types. We take a set of five core questions to examine how we made, and continue to make, sense of our diverse cultural perspectives on data science education and equity with/in relation to others' realities. Broadly, this paper seeks to offer reflections on the related but differing functions of ethics and equity in data science education.",web of science,TRUE,journal article,Journal of Humanistic Mathematics,NA,NA,"United States of America, United States of America, United States of America, United States of America, United States of America",informal panel discussion,TRUE,qualitative,nonspecific,Discussion from different perspectives of ethics in data science education and their experiences.,NA,"data ethics, equity, data science, education, social justice",FALSE,panel
1,2,Van_2015_computer_science,computer science meets social studies: embedding cs in the study of locally grounded civic issues,10.1145/2787622.2787751,https://doi.org/10.1145/2787622.2787751,Van Wart S.,2015,"Data science is an emerging 21st century literacy that promises to support learning in a wide variety of disciplines, from science, to social science, to the humanities. It also provides an engaging context in which to learn computational thinking skills in existing classroom contexts. For my dissertation research, I will explore whether and how data science can support inquiry-based learning in social studies. I conjecture that data science could provide students with an opportunity to use computational thinking to better understand their social world, while also allowing students to draw from and make sense of their own experiences. I plan to explore this idea by enhancing and evaluating a software tool, Local Ground, and creating a curriculum that helps young people identify and describe salient characteristics of their lived realities, moving from unstructured to structured data representations (e.g., photos to tags to databases). This process may generate a rich, motivating data source to explore subsequent ideas in computational thinking and social science.",Scopus,TRUE,conference article,NA,ICER '15: Eleventh annual International Conference on International Computing Education Research,NA,United States of America,NA,TRUE,NA,social studies,NA,NA,"Data science education, broadening participation, computational thinking, interdisciplinary approaches",FALSE,K-12
1,2,Felicia_2021_data_science,data science in education: applications and challenges,10.1109/icdabi53623.2021.9655969,https://doi.org/10.1109/icdabi53623.2021.9655969,A. Felicia; W. K. Wong; W. N. Loh; F. H. Juwono,2021,"In today's technology environment, big data is a catchphrase that everyone is talking about. Most traditional pedagogies offer students limited timely feedback, require lecturers and teachers to spend hours grading routine assignments. These pedagogies fail in integrating ample digital resources and are not potent to enhance studentsâ€™ understanding. Data has enormous potential to enhance research, decision making, and lifelong learning. The combination of complex disciplines of computer science and statistics with social science philosophy in education data science aims to study more about how students learn and interact in the educational environment with real-time data collection. Despite its infancy, the wide availability of educational data has spurred an interest in analyzing relevant knowledge to guide educational policy and practice. This paper discusses the applications of data science in education field as well as the challenges for future development.",IEEE,FALSE,conference article,NA,2021 International Conference on Data Analytics for Business and Industry (ICDABI),NA,"Malaysia, Malaysia, Malaysia, Malaysia",NA,NA,NA,NA,NA,NA,NA,FALSE,K-12
1,2,Doudesis_2022_data_science,data science in undergraduate medicine: course overview and student perspectives,10.1016/j.ijmedinf.2021.104668,https://doi.org/10.1016/j.ijmedinf.2021.104668,"Doudesis D, Manataki A.",2022,"Background
 
 Despite the growing interest in health data science education, it is not embedded in undergraduate medical curricula and little is known about best teaching practices. This paper presents a highly innovative course in a UK university that introduces undergraduate medical students to data science. It also discusses a study on student perspectives on the learning and teaching of health data science.
 
 
 
 Methods
 
 The pedagogical design elements of the Data Science in Medicine course are discussed, along with its syllabus, assessment methodology and flipped classroom delivery. The course has been offered to approximately 630 students over three years. Student perspectives were investigated through three focus groups with the participation of 19 students across different study years in medicine. An experiment was conducted regarding instructor-led vs. video-based modalities of online programming labs, with the participation of 8 students.
 
 
 
 Results
 
 The course has led to improved data competency among medical students and to a positive change in their opinions about data science. Motivating the course and showing relevance to clinical practice was one of the biggest challenges. Statistics was perceived by focus group participants as an essential data skill. Including data science in the medical curriculum was perceived as important by Year 1 students, while opinions varied between Year 4/5 participants. Video-based online labs were preferred over instructor-led online labs, and they were found to be more useful and enjoyable, without leading to any significant difference in academic performance.
 
 
 
 Conclusions
 
 Teaching data science to undergraduate medicine students is highly desirable and feasible. We recommend including statistics in the curriculum and practical skill development through simple and clinically-relevant data science tasks, supported through video-based online labs. Further reporting on similar courses is needed, as well as larger-scale studies on student perspectives.",pubmed,TRUE,journal article,International Journal of Medical Informatics,NA,NA,"United Kingdom, United Kingdom",course example,TRUE,mixed,medical,Data science course example for students in medical undergraduate studies at Edinburgh.,NA,"Data science, Health, Medicine, Education, Training, Health informatics",TRUE,NA
1,2,Horton_2022_what,"what to teach, how to teach, and when to teach: musings on data science education",10.1080/26939169.2022.2097563,https://doi.org/10.1080/26939169.2022.2097563,Horton N.J.,2022,NULL,Scopus,TRUE,editorial material,Journal of Statistics and Data Science Education,NA,NA,United States of America,editorial note,FALSE,no data,nonspecific,Editor's musings on 2022 eCOTS and brief summary of articles in jounal's new issue,NA,NA,TRUE,NA
1,3,Marttila_2014_advanced_data,advanced data analytics education for students and companies,10.1145/2591708.2591746,https://doi.org/10.1145/2591708.2591746,"Marttila-Kontio M., Kontio M., Hotti V.",2014,"In this paper we introduce a regional education project and a positive experience of quick implementation of a new training package enabled by public funding from the European Social Fund. The project focuses on advanced data analytics (ADA) in business management.
 
 
 
 In the project, advanced data analytics is taught to both students at University of Eastern Finland and to their potential employers at the local organizations. The university teaching favors effective teaching techniques instead of conventional teaching methods, and the same topics are taught to participants from local organizations as shorter versions. The organizations also have an important role in calibrating the teaching via discussions and maturity reviews.
 
 
 
 Even-though the project is regional there has been great nationwide interest in the project. This indicates the general need for improving know-how on ADA both at universities and in companies and organizations.",Scopus,TRUE,conference article,NA,ITiCSE '14:  2014 conference on Innovation & technology in computer science education,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,graduate
1,3,Vance_2022_integrating,integrating the humanities into data science education: reimagining the introductory data science course,10.52041/serj.v21i2.42,https://doi.org/10.52041/serj.v21i2.42,"Vance E.A., Glimp D.R., Pieplow N.D., Garrity J.M., Melbourne B.A.",2022,"Despite growing calls to develop data science students’ ethical awareness and expand human-centered approaches to data science education, introductory courses in the field remain largely technical. A new interdisciplinary data science program aims to merge STEM and humanities perspectives starting at the very beginning of the data science curriculum. Existing literature suggests that humanities integration can make STEM courses more appealing to a wider range of students, including women and students of color, and enhance student learning of essential concepts and foundational reasoning skills, such as those collectively known as data acumen. Cultivating students’ data acumen requires a more inclusive vision of how the knowledge and insights generated through computational methods and statistical analysis relates to other ways of knowing.",Scopus,TRUE,journal article,Statistics Education Research Journal,NA,NA,"United States of America, United States of America, United States of America, United States of America, United States of America",course example,FALSE,no data,interdisciplinary,Describes introductory data science course for all students grounded in humanities and data science education research.,"This course can sitisfy General Education Arts and Humanities divisional distribution requirement or the Quantitative Reasoning skills requirement in the College of Arts and
Sciences at CU Boulder.","Statistics Education Research, Data Acumen, Data Science Education Research, Humanities Education Research, Statistical Literacy, Data Literacy",TRUE,NA
1,3,Green_2019_livedatalab,livedatalab: a cloud-based platform to facilitate hands-on data science education at scale,10.1145/3330430.3333665,https://doi.org/10.1145/3330430.3333665,"Green A., Zhai C.",2019,"We present LiveDataLab, a novel general cloud-based platform that facilitates data science education at scale by enabling instructors to offer hands-on data science assignments using large real-world datasets. Using real course assignments as examples, our demonstration will walk attendees through the process of an instructor deploying an assignment, students working on and submitting assignments, and leaderboard-based competition and automated grading to demonstrate the major functions and beneits of LiveDataLab.",Scopus,TRUE,conference article,NA,L@S '19: Proceedings of the Sixth (2019) ACM Conference on Learning @ Scale,NA,"United States of America, United States of America",education technology,FALSE,no data,computer science,"Discusses the cloud-based platform, LiveDataLab, which ""facilitates data science education at scale by enabling instructors to offer hands-on data science assignments using large real-world data sets"".",NA,"Data Science Education, Cloud Computing, Virtual Lab",TRUE,NA
1,3,Hee_2017_tailored_data,tailored data science education using gamification,10.1109/cloudcom.2016.0108,https://doi.org/10.1109/cloudcom.2016.0108,K. Hee; R. V. Zicari; K. Tolle; A. Manieri,2017,"The interest to become a data scientist or related professions in data science domain is rapidly growing. To meet such a demand, we propose a novel educational service that aims to provide a tailored learning paths for data science. Our target user is one who aims to be an expert in data science. Our approach is to analyze the background of the practitioner and match the learning units. A critical feature is that we use gamification to reinforce the practitioner engagement. We believe that our work provides a practical guideline for those who wants to learn data science.",IEEE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,not about undergraduate data science education
