reviewer_1,reviewer_2,our_id,document_title,doi,document_link,authors,publication_year,abstract,database,open_access,new_doc_type,journal,conference,book,affiliation_country,content_area,research_question,data_collection_type,main_field,big_pic_notes,interesting_facts,keywords,keep,why_not_keep
4,5,Ceccucci_2014_effectiveness,the effectiveness of data science as a means to achieve proficiency in scientific literacy,NA,http://isedj.org/2015-13/n4/ISEDJv13n4p64.html,"Ceccucci W., Tamarkin D., Jones K.",2014,"Data Science courses are becoming more prevalent in recent years. Increasingly more universities are offering individual courses and majors in the field of Data Science. This study evaluates data science education as a means to become proficient in scientific literacy. The results demonstrate how the educational goals of a Data Science course meet the scientific literacy criteria in regards to the process of science. Based on the commonality between data science and scientific literacy courses, the paper concludes that a data science course can be used as an alternative way for students in any major to gain scientific literacy skills.",Scopus,TRUE,conference paper,Information Systems Education Journal,NA,NA,"United States of America, United States of America, United States of America",review of current state of DSE,TRUE,qual,nonspecific,Investigates the parallels between the scientific process and the data science pipeline to argue that data science education improves scientific literacy.,NA,"Data Science, Scientific Literacy, Scientific Process",TRUE,NA
4,2,Wang_2019_survey,a survey of data science programs and courses in the ischools,10.1002/pra2.184,https://doi.org/10.1002/pra2.184,"Wang Y.-Y., Lin C.-S.",2019,"In this poster, we examined the current data science programs and courses in the 102 iSchools members. The result shows that the program distribution was unequal by region, and the courses offered by iSchools concentrated on data analysis skills. Research data management, which concerns data management throughout research life cycle and data curation, constituted less than 10% of the courses.",Scopus,FALSE,article,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,poster
4,3,Li_2021_exploring_interdisciplinary,exploring interdisciplinary data science education for undergraduates: preliminary results,10.1007/978-3-030-71292-1_43,https://doi.org/10.1007/978-3-030-71292-1_43,"Li F., Xiao Z., Ng J.T.D., Hu X.",2021,NA,Scopus,TRUE,conference paper,NA,"International Conference on Information, 2021",NA,"Hong Kong, Hong Kong, Hong Kong, Hong Kong",review of current state of data science education,TRUE,mixed,interdisciplinary,"Survey paper which methodologically pulls a set of publications on data science education for undergraduates, and looks at disciplines, learning outcomes, prerequisites etc. for undergraduate data science courses.",NA,"Data science education, Undergraduate, Interdisciplinarity, Curriculum design",TRUE,NA
4,1,Mikroyannidis_2018_designing,designing and delivering a curriculum for data science education across europe,10.1007/978-3-319-73204-6_59,https://doi.org/10.1007/978-3-319-73204-6_59,"Mikroyannidis A., Domingue J., Phethean C., Beeston G., Simperl E.",2018,NA,Scopus,TRUE,conference paper,NA,20th International Conference on Interactive Collaborative Learning 2018,NA,"United Kingdom, United Kingdom, United Kingdom, United Kingdom, United Kingdom",pedagogical approach,FALSE,no data,interdisciplinary,Outlines best practices for teaching data science and proposes a dashboard for connecting data science talent to demand.,NA,"Data science, Curricula, Courseware, Skills, Demand analysis Personalised learning pathways",TRUE,NA
1,4,Miah_2020_designbased_research,a design-based research approach for developing data-focussed business curricula,10.1007/s10639-019-09981-5,https://doi.org/10.1007/s10639-019-09981-5,"Miah S.J., Solomonides I., Gammack J.G.",2020,"Although existing data science educational programmes develop talent and produce graduates, business-focused data science curricula comprising essential skills oriented to business and managerial data with associated analysis, remain underserved. Current pedagogy has focused either on data science or on purely analytic technical aspects. There is therefore, an opportunity to rethink how institutions can develop innovative data-focussed education programmes, addressing both modern industry and community demands. As both academia and industry strive to integrate applied learning, transferable and enterprise skills into business and sciences, this paper proposes a design based research approach (DBR) for designing such a new interdisciplinary data science teaching curriculum as a foundation to deliver business undergraduate degrees in Business Data Science. Adopting a design science method our proposed DBR illustrates effective utilities for conceptualising and evaluating a fully functional new degree programme - Bachelor of Business Data Science. Ten senior business information systems academics and five analytics industry practitioners in Victoria, Australia were interviewed in three iterative prototyping phases followed by a final focus group session with business information systems students that evaluated the proposed structure. The findings suggest that proposed DBR ensures the design of an innovative data science degree that may meet growing industry and interdisciplinary demands. The paper concludes by discussing overall feasibility of the proposal in the Australian higher education sector, particularly for the case context of an Australian University.",Scopus,TRUE,article,Education and Information Technologies,NA,NA,"Australia, Australia, United Arab Emirates",pedagogical approach,TRUE,qual,business,NA,NA,"Businesscurriculum, Informationsystemseducation, Datascienceeducation, Higher education",TRUE,NA
3,4,Robeva_2020_changing,changing the nature of quantitative biology education: data science as a driver,10.1007/s11538-020-00785-0,https://doi.org/10.1007/s11538-020-00785-0,"Robeva RS, Jungck JR, Gross LJ.",2020,"We live in a data-rich world with rapidly growing databases with zettabytes of data. Innovation, computation, and technological advances have now tremendously accelerated the pace of discovery, providing driverless cars, robotic devices, expert healthcare systems, precision medicine, and automated discovery to mention a few. Even though the definition of the term data science continues to evolve, the sweeping impact it has already produced on society is undeniable. We are at a point when new discoveries through data science have enormous potential to advance progress but also to be used maliciously, with harmful ethical and social consequences. Perhaps nowhere is this more clearly exemplified than in the biological and medical sciences. The confluence of (1) machine learning, (2) mathematical modeling, (3) computation/simulation, and (4) big data have moved us from the sequencing of genomes to gene editing and individualized medicine; yet, unsettled policies regarding data privacy and ethical norms could potentially open doors for serious negative repercussions. The data science revolution has amplified the urgent need for a paradigm shift in undergraduate biology education. It has reaffirmed that data science education interacts and enhances mathematical education in advancing quantitative conceptual and skill development for the new generation of biologists. These connections encourage us to strive to cultivate a broadly skilled workforce of technologically savvy problem-solvers, skilled at handling the unique challenges pertaining to biological data, and capable of collaborating across various disciplines in the sciences, the humanities, and the social sciences. To accomplish this, we suggest development of open curricula that extend beyond the job certification rhetoric and combine data acumen with modeling, experimental, and computational methods through engaging projects, while also providing awareness and deep exploration of their societal implications. This process would benefit from embracing the pedagogy of experiential learning and involve students in open-ended explorations derived from authentic inquiries and ongoing research. On this foundation, we encourage development of flexible data science initiatives for the education of life science undergraduates within and across existing models.",pubmed,FALSE,unknown,Bulletin of Mathematical Biology,NA,NA,"United States of America, United States of America, United States of America",call to action,FALSE,no data,biology,"Discusses the need for data science in undergraduate biology education, overviews the intersection between these topics and the emerging need, and suggest how these two topic areas might be integrated.",NA,"Mathematical biology education, Data science education, Education reform, Big data",TRUE,NA
5,4,Brooks_2021_towards_culturally,towards culturally relevant personalization at scale: experiments with data science learners,10.1007/s40593-021-00262-2,https://doi.org/10.1007/s40593-021-00262-2,"Brooks, Christopher;Quintana, Rebecca M.;Choi, Heeryung;Quintana, Chris;NeCamp, Timothy;Gardner, Joshua",2021,"In this article we describe our experiences building a large-scale data science program aimed at supporting diversity in online data science learning. This program was built to support a set of introductory skills-based, higher education courses. We are motivated by work done in project-based learning contexts and culturally responsive pedagogies and are particularly keen to understand how we can scale such kinds of approaches to large and diverse global classrooms. Specifically, we consider the country from which a learner is accessing the course as the key context for our work and discuss two interrelated investigations we have undertaken to understand how this feature interacts with learners' motivation and learning. Our findings provide insights on how learners respond to location-specific problem-based personalizations in data science education and provides an initial exploration as to how this form of personalization differs depending on the geo-political context of the learners.",ERIC,TRUE,article,International Journal of Artificial Intelligence in Education,NA,NA,"United States of America, United States of America, United States of America, United States of America, United States of America, United States of America",pedagogical approach,TRUE,both,nonspecific,"In the context of MOOCs, investigates whether personalized data sets/projects contribute to improved motivation, retention, and enjoyment",NA,"Culturally relevant pedagogy, Data science education, Personalization, Learning at scale",TRUE,NA
2,4,Wilkerson_2020_situating_data,situating data science: exploring how relationships to data shape learning,10.1080/10508406.2019.1705664,https://doi.org/10.1080/10508406.2019.1705664,"Wilkerson, Michelle Hoda;Polman, Joseph L.",2020,"The emerging field of Data Science has had a large impact on science and society. This has led to over a decade of calls to establish a corresponding field of Data Science Education. There is still a need, however, to more deeply conceptualize what a field of Data Science Education might entail in terms of scope, responsibility, and execution. This special issue explores how one distinguishing feature of Data Science--its focus on data collected from social and environmental contexts within which learners often find themselves deeply embedded--suggests serious implications for learning and education. The learning sciences is uniquely positioned to investigate how such contextual embeddings impact learners' engagement with data including conceptual, experiential, communal, racialized, spatial, and political dimensions. This special issue demonstrates the richly layered relationships learners build with data and reveals them to be not merely utilitarian mechanisms for learning about data, but a critical part of navigating data as social text and understanding Data Science as a discipline. Together, the contributions offer a vision of how the learning sciences can contribute to a more expansive, agentive and socially aware Data Science Education.",ERIC,FALSE,article,Journal of the Learning Sciences,NA,NA,"United States of America, United States of America",pedagogical approach,TRUE,no data,NA,This article is the forward of a special issue all about students' relationships with dataa and how they inform learning.,NA,not specified,TRUE,NA
4,5,Donoghue_2021_teaching_creative,teaching creative and practical data science at scale,10.1080/10691898.2020.1860725,https://doi.org/10.1080/10691898.2020.1860725,"Donoghue T., Voytek B., Ellis S.E.",2021,"Nolan and Temple Langís†Computing in the Statistics Curricula†(2010) advocated for a shift in statistical education to broadly include computing. In the time since, individuals with training in both computing and statistics have become increasingly employable in the burgeoning data science field. In response, universities have developed new courses and programs to meet the growing demand for data science education. To address this demand, we created Data Science in Practice, a large-enrollment undergraduate course. Here, we present our goals for teaching this course, including: (1) conceptualizing data science as creative problem solving, with a focus on project-based learning, (2) prioritizing practical application, teaching and using standardized tools and best practices, and (3) scaling education through coursework that enables hands-on and classroom learning in a large-enrollment course. Throughout this course we also emphasize social context and data ethics to best prepare students for the interdisciplinary and impactful nature of their work. We highlight creative problem solving and strategies for teaching automation-resilient skills, while providing students the opportunity to create a unique data science project that demonstrates their technical and creative capacities.",Scopus,TRUE,article,Journal of Statistics and Data Science Education,NA,NA,"United States of America, United States of America, United States of America",course example,FALSE,no data,cognitive science,Investigates the course design and educational goals of a practical data science course taught at UCSD.,NA,"Computing, Course design, Data science, Programming, Project-based learning, Python",TRUE,NA
4,2,Hoyt_2020_overview,an overview of two open interactive computing environments useful for data science education,10.1093/jamiaopen/ooy040,https://doi.org/10.1093/jamiaopen/ooy040,"Hoyt R, Wangia-Anderson V.",2020,NA,pubmed,TRUE,unknown,Journal of the American Medical Informatics Association,NA,NA,"United States of America, United States of America",education technology,FALSE,no data,nonspecific,"This paper is an application note, acting as a short tutorial for the uses of two coding environments for data science education.",NA,"data science, data mining, data interpretation statistical",TRUE,NA
