reviewer_1,reviewer_2,our_id,document_title,doi,document_link,authors,publication_year,abstract,database,open_access,new_doc_type,journal,conference,book,affiliation_country,content_area,research_question,data_collection_type,main_field,big_pic_notes,interesting_facts,keywords,keep,why_not_keep
4,5,Ceccucci_2014_effectiveness,the effectiveness of data science as a means to achieve proficiency in scientific literacy,NA,http://isedj.org/2015-13/n4/ISEDJv13n4p64.html,"Ceccucci W., Tamarkin D., Jones K.",2015,"Data Science courses are becoming more prevalent in recent years. Increasingly more universities are offering individual courses and majors in the field of Data Science. This study evaluates data science education as a means to become proficient in scientific literacy. The results demonstrate how the educational goals of a Data Science course meet the scientific literacy criteria in regards to the process of science. Based on the commonality between data science and scientific literacy courses, the paper concludes that a data science course can be used as an alternative way for students in any major to gain scientific literacy skills.",Scopus,NA,article,Information Systems Education Journal,NA,NA,"United States of America, United States of America, United States of America",NA,TRUE,qual,interdisciplinary,They are trying to answer whether a data science course would suffice as a scientific literacy course. They collect syllabi but they do not go at all into analysis of this data. They answer the research question solely based on theoretical framework in the literature.,"1. The manuscript claims that the term ""data scientist"" was couned in 2008 2. When they talk about data science courses being offered by different departments, they do not list statistics as one of the departments.","Data Science, Scientific Literacy, Scientific Process",TRUE,NA
3,5,Betz_2020_next_wave,the next wave: we will all be data scientists,10.1002/sam.11476,https://doi.org/10.1002/sam.11476,"Betz M., Gundlach E., Hillery E., Rickus J., Ward M.D.",2020,"In the next wave of educating future data scientists, we need to think of all undergraduate students, regardless of background or major, as future data scientists. We should train them in supportive, interdisciplinary environments. Starting from their first day at college, they should be given the opportunity to apply powerful tools to large data sets, using real-world problems. Partnerships with research computing, academic departments, research centers, companies, government, and nonprofits will all be necessary to fully prepare these students for the breadth of the data science workforce.",Scopus,NA,article,Statistical Analysis and Data Mining: The ASA Data Science Journal,NA,NA,"United States of America, United States of America, United States of America, United States of America, United States of America",program example,FALSE,no data,interdisciplinary,They summarize the Data Mine program.,This program takes place in a residence hall.,"active learning, data science education, high-performance computing, learning community, undergraduate",TRUE,NA
5,3,Maksimenkova_2020_collaborative_learning,collaborative learning in data science education: a data expedition as a formative assessment tool,10.1007/978-3-030-11932-4_2,https://doi.org/10.1007/978-3-030-11932-4_2,"Maksimenkova O., Neznanov A., Radchenko I.",2020,"The paper addresses the questions of data science education of current importance. It aims to introduce and justify the framework that allows flexibly evaluate the processes of a data expedition and a digital media created during it. For these purposes, the authors explore features of digital media artefacts which are specific to data expeditions and are essential to accurate evaluation. The rubrics as a power but hardly formalizable evaluation method in application to digital media artefacts are also discussed. Moreover, the paper documents the experience of rubrics creation according to the suggested framework. The rubrics were successfully adopted to two data-driven journalism courses. The authors also formulate recommendations on data expedition evaluation which should take into consideration structural features of a data expedition, distinctive features of digital media, etc.",Scopus,NA,article,International Journal of Emerging Technologies in Learning,NA,NA,"Russia, Russia",NA,NA,NA,NA,NA,NA,"Data expedition, data science, collaborative technologies, formative assessment, higher education",FALSE,graduate
5,2,Kakeshita_2022_development,development of ipsj data science curriculum standard,10.1007/978-3-030-97986-7_13,https://doi.org/10.1007/978-3-030-97986-7_13,"Kakeshita T., Ishii K., Ishikawa Y., Matsubara H., Matsuo Y., Murata T., Nakano M., Nakatani T., Okumura H., Takahashi N., Takahashi N., Uchida G., Uematsu E., Saeki S., Kato H.",2022,"The Information Processing Society of Japan (IPSJ) published a curriculum standard for university-level education majoring in data science (DS) (An English translation of the IPSJ Data Science Curriculum Standard is available at: https://www.ipthree.org/wp-content/uploads/IPSJ-DS-Curriculum_202104_en.pdf). In this paper, we shall report strategy and development of the DS curriculum standards. Data science education and the development of data scientists are recognised to be quite important in both social and business contexts. The IPSJ DS curriculum standard is developed by integrating various related initiatives and has the following unique features. (1) The DS curriculum standard covers a wide range of related fields to ensure international compatibility through mapping to the ACM Data Science curriculum and the European EDISON Data Science Framework. (2) It collaborates with the IPSJ Data Scientist certification (under development) by referring to the Data Scientist skill checklist (assistant level) developed by the Data Scientist Society of Japan. (3) It clarifies the knowledge and skills required of students majoring in data science. (4) It assigns a time to each educational content so that the curriculum size becomes approximately 675 class hours (60 credits in the Japanese credit system). (5) It collaborates with the Model Curriculum for Mathematics, Data Science and AI Education (literacy level) developed by the Japan Inter-University Consortium for Mathematics and Data Science, supported by the Japanese government.",Scopus,NA,conference paper,NA,IFIP TC 3 Open Conference on Computers in Education,NA,"Japan, Japan, Japan, Japan, Japan, Japan, Japan, Japan, Japan, Japan, Japan, Japan, Japan, Japan, Japan",program example,FALSE,no data,computer science,They build national data science curricular standards in Japan with some reliance on ACM and Edison frameworks.,The curriculum includes statistical topics unlike the ACM guidelines.,"Data science, Curriculum development, Statistics, Artificial intelligence, Computer science, Data management, Software engineering, Data scientist certification",TRUE,NA
1,5,Bornschlegl_2016_ivisbigdata,ivis4bigdata: a reference model for advanced visual interfaces supporting big data analysis in virtual research environments,10.1007/978-3-319-50070-6_1,https://doi.org/10.1007/978-3-319-50070-6_1,"Bornschlegl M.X., Berwind K., Kaufmann M., Engel F.C., Walsh P., Hemmje M.L., Riestra R.",2016,"This paper introduces an approach to develop an up-to-date reference model that can support advanced visual user interfaces for distributed Big Data Analysis in virtual labs to be used in e-Science, industrial research, and Data Science education. The paper introduces and motivates the current situation in this application area as a basis for a corresponding problem statement that is utilized to derive goals and objectives of the approach. Furthermore, the relevant state-of-the-art is revisited and remaining challenges are identified. An exemplar set of use cases, corresponding user stereotypes as well as a conceptual design model to address these challenges are introduced. A corresponding architectural system model is suggested as a conceptual reference architecture to support proof-of-concept implementations as well as to support interoperability in distributed infrastructures. Conclusions and an outlook on future work complete the paper.",Scopus,NA,conference paper,NA,Advanced Visual Interfaces,NA,"Germany, Germany, Switzerland, Geramny, Ireland, Germany, Spain",NA,NA,NA,NA,NA,NA,NA,NA,NA
5,4,Brooks_2021_towards_culturally,towards culturally relevant personalization at scale: experiments with data science learners,10.1007/s40593-021-00262-2,https://doi.org/10.1007/s40593-021-00262-2,"Brooks, Christopher;Quintana, Rebecca M.;Choi, Heeryung;Quintana, Chris;NeCamp, Timothy;Gardner, Joshua",2021,"In this article we describe our experiences building a large-scale data science program aimed at supporting diversity in online data science learning. This program was built to support a set of introductory skills-based, higher education courses. We are motivated by work done in project-based learning contexts and culturally responsive pedagogies and are particularly keen to understand how we can scale such kinds of approaches to large and diverse global classrooms. Specifically, we consider the country from which a learner is accessing the course as the key context for our work and discuss two interrelated investigations we have undertaken to understand how this feature interacts with learners' motivation and learning. Our findings provide insights on how learners respond to location-specific problem-based personalizations in data science education and provides an initial exploration as to how this form of personalization differs depending on the geo-political context of the learners.",ERIC,NA,article,International Journal of Artificial Intelligence in Education,NA,NA,"United States of America, United States of America, United States of America, United States of America",pedagogical approach,TRUE,mixed,"United States of America, United States of America, United States of America, United States of America",The researchers want to if personalized and culturally relevant datasets/examples have impact on student outcomes in an online MOOC.,"""Thus providing personalized problems in the form of different
applied domains of study (e.g. healthcare, automotive, financial) may have a stronger
effect than that of socio-culturally or regionally targeted datasets. That is, the learners
might be better motivated if we activated and served their career identity rather than
their national identity.""","Culturally relevant pedagogy, data science education, personalization, learning at scale",FALSE,MOOC
2,5,Li_2020_statistical_hypothesis,statistical hypothesis testing versus machine learning binary classification: distinctions and guidelines,10.1016/j.patter.2020.100115,https://doi.org/10.1016/j.patter.2020.100115,"Li JJ,Tong X",2020,"Summary Making binary decisions is a common data analytical task in scientific research and industrial applications. In data sciences, there are two related but distinct strategies: hypothesis testing and binary classification. In practice, how to choose between these two strategies can be unclear and rather confusing. Here, we summarize key distinctions between these two strategies in three aspects and list five practical guidelines for data analysts to choose the appropriate strategy for specific analysis needs. We demonstrate the use of those guidelines in a cancer driver gene prediction example.",science direct,NA,article,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,methodology
4,5,Donoghue_2021_teaching_creative,teaching creative and practical data science at scale,10.1080/10691898.2020.1860725,https://doi.org/10.1080/10691898.2020.1860725,"Donoghue T., Voytek B., Ellis S.E.",2021,"Nolan and Temple Langís†Computing in the Statistics Curricula†(2010) advocated for a shift in statistical education to broadly include computing. In the time since, individuals with training in both computing and statistics have become increasingly employable in the burgeoning data science field. In response, universities have developed new courses and programs to meet the growing demand for data science education. To address this demand, we created Data Science in Practice, a large-enrollment undergraduate course. Here, we present our goals for teaching this course, including: (1) conceptualizing data science as creative problem solving, with a focus on project-based learning, (2) prioritizing practical application, teaching and using standardized tools and best practices, and (3) scaling education through coursework that enables hands-on and classroom learning in a large-enrollment course. Throughout this course we also emphasize social context and data ethics to best prepare students for the interdisciplinary and impactful nature of their work. We highlight creative problem solving and strategies for teaching automation-resilient skills, while providing students the opportunity to create a unique data science project that demonstrates their technical and creative capacities.",Scopus,"All Open Access, Gold",article,Journal of Statistics and Data Science Education,NA,NA,"United States of America, United States of America, United States of America",course example,FALSE,no data,interdisciplinary,"They focus on a course that is interdisciplinary, teaching best practices at scale.",NA,"Computing, course design, data science, programming, project-based learning, python",TRUE,NA
5,1,Tucker_2022_teaching_statistics,teaching statistics and data analysis with r,10.1080/26939169.2022.2089410,https://doi.org/10.1080/26939169.2022.2089410,"Tucker M.C., Shaw S.T., Son J.Y., Stigler J.W.",2022,"We developed an interactive online textbook that interleaves R programming activities with text as a way to facilitate studentsí understanding of statistical ideas while minimizing the cognitive and emotional burden of learning programming. In this exploratory study, we characterize the attitudes and experiences of 672 undergraduate students as they used our online textbook as part of a 10-week introductory course in statistics. Students expressed negative attitudes and concerns related to R at the beginning of the course, but most developed more positive attitudes after engaging with course materials, regardless of demographic characteristics or prior programming experience. Analysis of a subgroup of students revealed that change in attitudes toward R may be linked to studentsí patterns of engagement over time and studentsí perceptions of the learning environment.",Scopus,"All Open Access, Gold",article,Journal of Statistics and Data Science Education,NA,NA,"United States of America, United States of America, United States of America, United States of America",course example,FALSE,no data,statistics,Teaching introductory statistics with easier R implementation,NA,"Data science education, higher education, R, statistics education research",FALSE,statistics not data science
3,5,Virkus_2019_data_science,data science from a library and information science perspective,10.1108/dta-05-2019-0076,https://doi.org/10.1108/dta-05-2019-0076,"Virkus S., Garoufallou E.",2019,"Purpose
Data science is a relatively new field which has gained considerable attention in recent years. This new field requires a wide range of knowledge and skills from different disciplines including mathematics and statistics, computer science and information science. The purpose of this paper is to present the results of the study that explored the field of data science from the library and information science (LIS) perspective.

Design/methodology/approach
Analysis of research publications on data science was made on the basis of papers published in the Web of Science database. The following research questions were proposed: What are the main tendencies in publication years, document types, countries of origin, source titles, authors of publications, affiliations of the article authors and the most cited articles related to data science in the field of LIS? What are the main themes discussed in the publications from the LIS perspective?

Findings
The highest contribution to data science comes from the computer science research community. The contribution of information science and library science community is quite small. However, there has been continuous increase in articles from the year 2015. The main document types are journal articles, followed by conference proceedings and editorial material. The top three journals that publish data science papers from the LIS perspective are the Journal of the American Medical Informatics Association, the International Journal of Information Management and the Journal of the Association for Information Science and Technology. The top five countries publishing are USA, China, England, Australia and India. The most cited article has got 112 citations. The analysis revealed that the data science field is quite interdisciplinary by nature. In addition to the field of LIS the papers belonged to several other research areas. The reviewed articles belonged to the six broad categories: data science education and training; knowledge and skills of the data professional; the role of libraries and librarians in the data science movement; tools, techniques and applications of data science; data science from the knowledge management perspective; and data science from the perspective of health sciences.

Research limitations/implications
The limitations of this research are that this study only analyzed research papers in the Web of Science database and therefore only covers a certain amount of scientific papers published in the field of LIS. In addition, only publications with the term ìdata scienceî in the topic area of the Web of Science database were analyzed. Therefore, several relevant studies are not discussed in this paper that are not reflected in the Web of Science database or were related to other keywords such as ìe-science,î ìe-research,î ìdata service,î ìdata curationî or ìresearch data management.î

Originality/value
The field of data science has not been explored using bibliographic analysis of publications from the perspective of the LIS. This paper helps to better understand the field of data science and the perspectives for information professionals.",Scopus,NA,article,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,literature review not related to education
