reviewer_1,reviewer_2,our_id,document_title,doi,document_link,authors,publication_year,abstract,database,open_access,new_doc_type,journal,conference,book,affiliation_country,content_area,research_question,data_collection_type,main_field,big_pic_notes,interesting_facts,keywords,keep,why_not_keep
1,3,Yun_2020_social_media,the social media macroscope: a science gateway for research using social media data,10.1016/j.future.2019.10.029,https://doi.org/10.1016/j.future.2019.10.029,"Yun JT,Vance N,Wang C,Marini L,Troy J,Donelson C,Chin CL,Henderson MD",2020,"In recent years, the explosion of social media platforms and the public collection of social data has brought forth a growing desire and need for research capabilities in the realm of social media and social data analytics. Research on this scale, however, requires a high level of computational and data-science expertise, limiting the researchers who are capable of undertaking social media data-driven research to those with significant computational expertise or those who have access to such experts as part of their research team. The Social Media Macroscope (SMM) is a science gateway with the goal of removing that limitation and making social media data, analytics, and visualization tools accessible to researchers and students of all levels of expertise. The SMM provides a single point of access to a suite of intuitive web interfaces for performing social media data collection, analysis, and visualization via for open-source and commercial tools. Within the SMM social scientists are able to process and store large datasets and collaborate with other researchers by sharing ideas, data, and methods. This document functions as a brief primer on the initial build of the SMM and we end this paper discussing future directions for the SMM.",science direct,FALSE,journal article,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,not data science education
3,1,Horton_2021_integrating_computing,"integrating computing in the statistics and data science curriculum: creative structures, novel skills and habits, and ways to teach computational thinking",10.1080/10691898.2020.1870416,https://doi.org/10.1080/10691898.2020.1870416,"Horton N.J., Hardin J.S.",2021,"Nolan and Temple Lang argued for the fundamental role of computing in the statistics curriculum. In the intervening decade, the statistics education community has acknowledged that computational skills are as important to statistics and data science practice as mathematics. There remains a notable gap, however, between our intentions and our actions. In this special issue of the†Journal of Statistics and Data Science Education, we have assembled a collection of articles that (1) suggest creative structures to integrate computing, (2) describe novel data science skills and habits, and (3) propose ways to teach computational thinking. We believe that it is critical for the community to redouble our efforts to embrace sophisticated computing in the statistics and data science curriculum. We hope that these articles provide useful guidance for the community to move these efforts forward.",Scopus,TRUE,editorial material,Journal of Statistics and Data Science Education,NA,NA,"United States of America, United States of America",NA,NA,NA,NA,NA,NA,NA,FALSE,just a summary of the issue
3,4,Chung_2022_machine_learning,machine learning to the rescue: ml-assisted framework for equity-driven education,10.1109/educon52537.2022.9766530,https://doi.org/10.1109/educon52537.2022.9766530,W. Chung; X. Zhang; Z. Ahmad; H. Sayadi; S. Rafatirad,2022,"Data Science has recently experienced a significant surge in producing undergraduate degree/certificate and course enrollments. This growth has resulted in straining program resources at many institutions and causing concern about how to most effectively respond to the rapidly growing demand and provide equal opportunities for all students to pursue their degree. The primary goal of this work is to provide an intelligent solution to automatically identify biases related to race and gender in the content of Data Science related courses such as Machine Learning (ML), Natural Language Processing (NLP), Data Mining, Data Analytics, and Knowledge Discovery just to name a few. While machine learning allows to build powerful predicting tools, it hasn‚Äôt been used sufficiently to detect biases rooted in gender and race in educational material. Hence, using effective machine learning techniques we aim to enhance the success rate of undergraduate students in Data Science education and programs while promoting engagement through identifying and mitigating potential gender and racial biases. To this end, we propose a novel bias detection approach which uses a combination of gender identification and sentiment classification for characterization of gender and race in educational contents. Our proposed framework can help educators and course developers to mitigate race and gender biases in their course materials and create an equitable learning experience for students of minority and under-represented groups.",IEEE,FALSE,conference article,NA,2022 IEEE Global Engineering Education Conference (EDUCON),NA,"United States of America, United States of America,United States of America, United States of America, United States of America",education technology,FALSE,mixed,interdisciplinary,"Our study detected that male
gender is more likely to be associated with ìscience engineerî,
ìscience technologyî, and ìphysical scienceî compared to
female.  r-Racial minority
groups were far less likely to receive positive sentiment than
ìWhitesî with ìAsiansî as outliers.",NA,"Gender and Racial Equity, Machine Learning,
Data Science, Education",TRUE,NA
2,3,Mikroyannidis_2019_smart_blockchain,smart blockchain badges for data science education,10.1109/FIE.2018.8659012,https://doi.org/10.1109/FIE.2018.8659012,A. Mikroyannidis; J. Domingue; M. Bachler; K. Quick,2019,"Blockchain technology has the potential to revolutionise education in a number of ways. In this paper, we explore the applications of Smart Blockchain Badges on data science education. In particular, we investigate how Smart Blockchain Badges can support learners that want to advance their careers in data science, by offering them personalised recommendations based on their learning achievements. This work aims at enhancing data science accreditation by introducing a robust system based on the Blockchain technology. Learners will benefit from a sophisticated, open and transparent accreditation system, as well as from receiving job recommendations that match their skills and can potentially progress their careers. As a result, this work contributes towards closing the data science skills gap by linking data science education to the industry.",IEEE,FALSE,conference article,NA,2018 IEEE Frontiers in Education Conference (FIE),NA,"United Kingdom, United Kingdom, United Kingdom, United Kingdom",education technology,FALSE,qual,data science,"This work is addressing the data science skills gap by
following a Blockchain-driven approach in linking data
science education to the industry.","A McKinsey study estimated already in 2011 that the United States will soon require 60 percent more graduates able to handle large amounts of data as part of their daily jobs. With an economy of comparable size (by GDP) and growth prospects, Europe will most likely be confronted with a similar talent shortage of hundreds of thousands of qualified data scientists, and an even greater need of executives and support staff with basic data literacy.","Blockchain, Data Science, Open Badges, Smart
Blockchain Badges, Accreditation",TRUE,NA
3,5,Song_2016_big_data,big data and data science: what should we teach?,10.1111/exsy.12130,https://doi.org/10.1111/exsy.12130,"Song I., Zhu Y.",2016,"The era of big data has arrived. Big data bring us the data-driven paradigm and enlighten us to challenge new classes of problems we were not able to solve in the past. We are beginning to see the impacts of big data in every aspect of our lives and society. We need a science that can address these big data problems. Data science is a new emerging discipline that was termed to address challenges that we are facing and going to face in the big data era. Thus, education in data science is the key to success, and we need concrete strategies and approaches to better educate future data scientists. In this paper, we discuss general concepts on big data, data science, and data scientists and show the results of an extensive survey on current data science education in United States. Finally, we propose various approaches that data science education should aim to accomplish.",Scopus,FALSE,journal article,Expert Systems,NA,NA,"United States of America, United States of America",call to action,FALSE,mixed,data science,"The biggest bottleneck in the big data era is
the production of capable data scientists. Tools and
languages can be learned, but people who can manage
real-world data science projects and who own the necessary
big data analytic skills and knowledge are rare ñ producing
such capable people takes time. Hence, we need multiple
approaches within data science education.",NA,"big data, data science, data scientist, chief data officer, data science education",TRUE,NA
4,3,Burr_2021_computational_skills,computational skills by stealth in introductory data science teaching,10.1111/test.12277,https://doi.org/10.1111/test.12277,"Burr W., Chevalier F., Collins C., Gibbs A.L., Ng R., Wild C.J.",2021,"In 2010, Nolan and Temple Lang proposed ìintegration of computing concepts into statistics curricula at all levels.î The unprecedented growth in data and emphasis on data science has provided an impetus to finally realizing full implementations of this in new statistics and data science programs and courses. We discuss a proposal for the stealth development of computational skills in students' exposure to introductory data science through careful, scaffolded exposure to computation and its power. Our intent is to support students, regardless of interest and self-efficacy in coding, in becoming data-driven learners, who are capable of asking complex questions about the world around them, and then answering those questions through the use of data-driven inquiry. Reference is made to the computer science and statistics consensus curriculum frameworks the International Data Science in Schools Project (IDSSP) recently published for secondary school data science or introductory tertiary programs, designed to optimize data-science accessibility.",Scopus,FALSE,journal article,Teaching Statistics,NA,NA,"Canada, Canada, Canada, Canada, Canada, New Zealand",class activity example and education technology,FALSE,no data,data science,"Statistics and data science students also need to know
that ìdo it yourselfî is a very bad practice when welltested
software exists. It is not just an inefficient use of
time, it also leads to large numbers of unnecessary errors","The purpose of the IDSSP is to promote and support
the teaching of introductory data science everywhere, not
to be fine-tuned for any particular country.","accessibility, computational thinking, data science education, statistical thinking, statistics
education, teaching statistics",TRUE,NA
3,4,Shapiro_2020_reshape,re-shape: a method to teach data ethics for data science education,10.1145/3313831.3376251,https://doi.org/10.1145/3313831.3376251,"Shapiro B.R., Meng A., O'Donnell C., Lou C., Zhao E., Dankwa B., Hostetler A.",2020,"Data has become central to the technologies and services that human-computer interaction (HCI) designers make, and the ethical use of data in and through these technologies should be given critical attention throughout the design process. However, there is little research on ethics education in computer science that explicitly addresses data ethics. We present and analyze Re-Shape, a method to teach students about the ethical implications of data collection and use. Re-Shape, as part of an educational environment, builds upon the idea of cultivating care and allows students to collect, process, and visualize their physical movement data in ways that support critical reflection and coordinated classroom activities about data, data privacy, and human-centered systems for data science. We also use a case study of Re-Shape in an undergraduate computer science course to explore prospects and limitations of instructional designs and educational technology such as Re-Shape that leverage personal data to teach data ethics.",Scopus,FALSE,conference article,NA,CHI '20: Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems,NA,"United States of America, United States of America",education technology and class activity example,TRUE,qual,computer science,NA,NA,"Data ethics, care ethics, data science education, information
visualization, data literacy, data privacy, computer science
education, re-shape, interaction geography slicer",TRUE,NA
2,3,Bhavya_2020_collective_development,collective development of large scale data science products via modularized assignments: an experience report,10.1145/3328778.3366961,https://doi.org/10.1145/3328778.3366961,"Bhavya, Boughoula A., Green A., Zhai C.X.",2020,"Many universities are offering data science (DS) courses to fulfill the growing demands for skilled DS practitioners. Assignments and projects are essential parts of the DS curriculum as they enable students to gain hands-on experience in real-world DS tasks. However, most current assignments and projects are lacking in at least one of two ways: 1) they do not comprehensively teach all the steps involved in the complete workflow of DS projects; 2) students work on separate problems individually or in small teams, limiting the scale and impact of their solutions. To overcome these limitations, we envision novel synergistic modular assignments where a large number of students work collectively on all the tasks required to develop a large-scale DS product. The resulting product can be continuously improved with students' contributions every semester. We report our experience with developing and deploying such an assignment in an Information Retrieval course. Through the assignment, students collectively developed a search engine for finding expert faculty specializing in a given field. This shows the utility of such assignments both for teaching useful DS skills and driving innovation and research. We share useful lessons for other instructors to adopt similar assignments for their DS courses.",Scopus,TRUE,conference article,NA,SIGCSE '20: Proceedings of the 51st ACM Technical Symposium on Computer Science Education,NA,"United States of America, United States of America, United States of America, United States of America",course example and pedagogical approach,FALSE,mixed,nonspecific,"The overall idea is to decompose the development of a novel application related to a data science course into
assignment modules and have students work collaboratively on
each module. Unlike existing DS assignments and projects which
have limited scope and impact, such assignments enable students
to collaboratively participate in and learn the complete workflow
of building a large scale novel DS product.",NA,"practical data science education, synergistic modular assignments,
experience report",TRUE,NA
5,3,Nguyen_2021_exploring_metrics,exploring metrics for the analysis of code submissions in an introductory data science course,10.1145/3448139.3448209,https://doi.org/10.1145/3448139.3448209,"Nguyen H., Lim M., Moore S., Nyberg E., Sakr M., Stamper J.",2021,"While data science education has gained increased recognition in both academic institutions and industry, there has been a lack of research on automated coding assessment for novice students. Our work presents a first step in this direction, by leveraging the coding metrics from traditional software engineering (Halstead Volume and Cyclomatic Complexity) in combination with those that reflect a data science projectís learning objectives (number of library calls and number of common library calls with the solution code). Through these metrics, we examined the code submissions of 97 students across two semesters of an introductory data science course. Our results indicated that the metrics can identify cases where students had overly complicated codes and would benefit from scaffolding feedback. The number of library calls, in particular, was also a significant predictor of changes in submission score and submission runtime, which highlights the distinctive nature of data science programming. We conclude with suggestions for extending our analyses towards more actionable intervention strategies, for example by tracking the fine-grained submission grading outputs throughout a studentís submission history, to better model and support them in their data science learning process.",Scopus,TRUE,conference article,NA,"
LAK21: 11th International Learning Analytics and Knowledge Conference",NA,"United States of America, United States of America, United States of America, United States of America, United States of America, United States of America",class activity example,TRUE,quan,NA,NA,NA,"Coding Metrics, Linear Mixed Model, Data Science Education, Programming
Analysis",FALSE,graduate
4,3,Fisler_2022_datacentricity_rethinking,data-centricity: rethinking introductory computing to support data science,10.1145/3531072.3535317,https://doi.org/10.1145/3531072.3535317,Fisler K.,2022,"On a growing number of campuses, data science programs offer introductory courses that include a non-trivial amount of programming. The content of such courses overlaps that of traditional computer science introductory courses, but neither course subsumes the other. This talk argues that a common introductory course that covers both data science and data structures supports students and provides curricular flexibility, while also bringing social impacts of computing into the early curriculum. We‚Äôll discuss both the design and implementation of such a course, including the programming language features that support it and the educational research that informs it.",Scopus,TRUE,conference article,NA,DataEd '22: 1st International Workshop on Data Systems Education,NA,United States of America,course example,FALSE,no data,interdisciplinary,NA,The cognitive science literature establishes that people construct new programs by recalling other programs they have written before and adapting the high-level solution structure to the current problem. We found that novices retrieve relevant prior programs using narrow criteria that can lead them down unproductive paths.,"computing education, data science education",TRUE,NA
