reviewer_1,reviewer_2,our_id,document_title,doi,document_link,authors,publication_year,abstract,database,open_access,new_doc_type,journal,conference,book,affiliation_country,content_area,research_question,data_collection_type,main_field,big_pic_notes,interesting_facts,keywords,keep,why_not_keep
1,2,Alexander_2022_beyond_ethics,beyond ethics: considerations for centering equity-minded data science,10.5642/jhummath.OCYS6929,https://doi.org/10.5642/jhummath.OCYS6929,"Alexander, N; Eaton, CD; Shrout, AH; Tsinnajinnie, B; Tsosie, K",2022,"In this paper, we utilize duoethnography - a research method in which practitioners discursively interrogate the relationships between culture, context, and the mechanisms which shape individual autobiographical experiences - to ex-plore what may be beyond ethics in the context of data science. Although ethical frameworks have the ability to reflect cultural priorities, a singular view of ethics, as we explore, often fails to speak to the multiple and diverse priorities held both within and across institutional spaces. To that end, this paper explores multiple perspectives, epistemologies, and worldviews that can collectively push researchers towards considerations of a data science education that is equity -minded both in concept and practice. Through a set of dialogues which examine our positionalities, journeys, ethics, local cultures, and accountabilities, this pa-per explores the contextual realities rooted in the authors' educational settings. These conversations focus on the humanity of our students, the communities from which we come from and serve, as well as the unintentional harms and possibilities associated with the development of data science programs across institutional types. We take a set of five core questions to examine how we made, and continue to make, sense of our diverse cultural perspectives on data science education and equity with/in relation to others' realities. Broadly, this paper seeks to offer reflections on the related but differing functions of ethics and equity in data science education.",web of science,TRUE,journal article,Journal of Humanistic Mathematics,NA,NA,"United States of America, United States of America, United States of America, United States of America, United States of America",pedagogical approach,TRUE,qual,data science,"This paper offers reflections on the meanings - and pedagogical practices employed for - ethics and equity in undergraduate data science education. It uses a research approach called duoethnography methodology. The five authors hold initial group sessions where they co-composed a set of 5 questions that would allow them to explore the relationships between positionality, community, data science and ethics. Next, they each respond to these questions, first asynchronously and then verbally discussing their overlapping interests or emerging themes. Finally, they digested and synthesized key themes and outcomes. In the paper, they report their answers, their dialogues and their summaries. One of their summaries is that ethics in mathematics and data science need not be one fixed idea or approach, but rather reflective of the multiple approaches, epistemologies worldviews and communities of data science practitioners.","This paper is quire unique, it reports dialogues and encourages the reader to engage in it. It includes personal reflections such as 'are our institutions, our colleagues, our students giving us the space, the time, the support, the encouragement to keep us going or are they too tied to the strings of white supremacy that they do not know how to dream the dreams we see?'","data ethics, equity, data science, education, social justice",TRUE,NA
2,1,Cuadrado_2021_classification,classification and analysis of techniques and tools for data visualization teaching,10.1109/educon46332.2021.9453917,https://doi.org/10.1109/educon46332.2021.9453917,J. J. Cuadrado-Gallego; Y. Demchenko; M. A. Losada; O. Ormandjieva,2021,"Data Visualization addresses the use of graphics with the purpose to obtain or transmit the knowledge in a easier and faster way, this is it main, and in many cases unique purpose. Since their invention Data graphics has evolved and many techniques has been developed, and in the last decades, with the definition and evolution of the Data Science, Data Visualization has become to be used profusely, in that manner that, by one side, the Data Science Body of Knowledge, DS-BoK, define five knowledge area groups that should be taught when learning Data Science, in all of them Data Visualization is taken a main role for different reasons applying each knowledge area; and by other side all the Data Science development environments, open source or proprietary, include tools for performing Data Visualizations. This paper presents the results of a research carried out with the main objective of improving the teaching of data visualization using two ways: propose a new system to classify the large amount of different graphical techniques for presenting data that can be found in the literature; and analyze using different attributes quite all the most important different tools, open source and private, that are available to develop data graphics mainly form a data visualization teaching point of view.",IEEE,TRUE,conference article,NA,2021 IEEE Global Engineering Education Conference (EDUCON),NA,"Spain, Netherlands, Spain, Canada",education technology,FALSE,no data,data science,This paper proposes a classification for data visualization tools and presents an analysis of some popular data visualization tools (both open source and proprietary) that can be used to teach data visualization.,NA,"Data Science, Data Visualizaion, Data Science Education, Data Visualization Education, Engineering Education, Explanatory Graphs, Explorative Graphs, Open Software Visualization Tools, Propietary Software Visualization Tools",TRUE,NA
2,1,Hardin_2021_computing,computing in the statistics curricula: a 10-year retrospective,10.1080/10691898.2020.1862609,https://doi.org/10.1080/10691898.2020.1862609,"Hardin J., Horton N.J., Nolan D., Lang D.T.",2021,"The Journal of Statistics and Data Science Education special issue on â€œComputing in the Statistics and Data Science Curriculumâ€ features a set of papers that provide a mosaic of curricular innovations and approaches that embrace computing. As we reviewed the papers we felt that this collection would benefit from the perspective of the authors of the landmark â€œComputing in the Statistics Curriculaâ€ (TAS 2010) paper. We asked Deb and Duncan to take this opportunity to reflect on the landscape when they wrote the paper, to comment on the current situation, and to speculate on the future.",Scopus,TRUE,interview,Journal of Statistics and Data Science Education,NA,NA,NA,review of current state of data science education,FALSE,no data,nonspecific,"10 years prior to this interview Deborah Nolan and Duncan Temple Lang published a paper ""Computing in the Statistics Curricula"". This paper is a reflection on the landscape at the time of their paper, comment on the current landscap (including the special JSDSE issue), and a discussion of the future.","""Fundamentally, the potential for data science is much more than the union or the intersection of Computer Science and Statistics and Math. It would be a shame to miss this opportunity to create the field that Statistics could and should have become a decade or more ago.""",NA,FALSE,interview
1,2,Horton_2022_what,"what to teach, how to teach, and when to teach: musings on data science education",10.1080/26939169.2022.2097563,https://doi.org/10.1080/26939169.2022.2097563,Horton N.J.,2022,NULL,Scopus,TRUE,editorial material,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,note from journal's editor
2,1,Kross_2019_practitioners_teaching,"practitioners teaching data science in industry and academia: expectations, workflows, and challenges",10.1145/3290605.3300493,https://doi.org/10.1145/3290605.3300493,"Kross S., Guo P.J.",2019,"Data science has been growing in prominence across both academia and industry, but there is still little formal consensus about how to teach it. Many people who currently teach data science are practitioners such as computational researchers in academia or data scientists in industry. To understand how these practitioner-instructors pass their knowledge onto novices and how that contrasts with teaching more traditional forms of programming, we interviewed 20 data scientists who teach in settings ranging from small-group workshops to large online courses. We found that: 1) they must empathize with a diverse array of student backgrounds and expectations, 2) they teach technical workflows that integrate authentic practices surrounding code, data, and communication, 3) they face challenges involving authenticity versus abstraction in software setup, finding and curating pedagogically-relevant datasets, and acclimating students to live with uncertainty in data analysis. These findings can point the way toward better tools for data science education and help bring data literacy to more people around the world.",Scopus,TRUE,conference article,NA,Proceedings of the 2019 CHI conference on human factors in computing systems,NA,"United States of America, United States of America",review of current state of data science education,TRUE,mixed,multidisciplinary,"This paper presents an interview study of 20 data scientists (practitioners) who teach in diverse settings across industry and academia.We found that: 1) they must empathize with a diverse array of student backgrounds and expectations, 2) they teach technical workflows that integrate authentic practices surrounding code, data, and communication, 3) they face challenges involving authenticity versus abstraction in software setup, finding and curating pedagogically-relevant datasets, and acclimating students to live with uncertainty in data analysis.",NA,"data science education, teaching programming",TRUE,NA
2,1,Ryan_2016_from_selfservice,chapter 3 - from self-service to self-sufficiency,10.1016/b978-0-12-803844-4.00003-0,https://doi.org/10.1016/b978-0-12-803844-4.00003-0,Ryan L,2016,"This chapter explores the expansion of self-service to self-sufficiency, the changing role of information technology (IT) to enablement technology (ET), and emerging data science education in academia.",science direct,FALSE,book chapter,NA,NA,The Visual Imperative,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,practitioners
2,1,Anderson_2019_keeping,keeping the human in the data scientist: shaping human-centered data science education,10.1002/pra2.103,https://doi.org/10.1002/pra2.103,"Anderson T.D., Parker N.",2019,"Human-centered approaches are still relatively novel for data science practice, where data-driven analytics are often framed as ways to supersede human judgments. This poster presents core design principles devised by the authors to build a data science curriculum foregrounding ethics and valuing creative human capacities alongside strong data analytic skills. The curriculum design transforms human-centered principles into practice. The poster visually illustrates the trajectory of these principles in relation to three specific graduate attributes, using a selection of deep dives into the learning design. To illustrate the specific power information theory and practice has to shape data science training, the poster uses evocative quotes from information science theorists and displays how their work significantly influenced the overall philosophy of the program, student activities and assessments. Using ‘gamestorming’ techniques during the poster session, the audience is invited to contribute further insights about ways to nurture the deeply human capacities of the data scientists we train.",Scopus,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,poster
1,2,Felicia_2021_data_science,data science in education: applications and challenges,10.1109/icdabi53623.2021.9655969,https://doi.org/10.1109/icdabi53623.2021.9655969,A. Felicia; W. K. Wong; W. N. Loh; F. H. Juwono,2021,"In today’s technology environment, big data is a catchphrase that everyone is talking about. Most traditional pedagogies offer students limited timely feedback, require lecturers and teachers to spend hours grading routine assignments. These pedagogies fail in integrating ample digital resources and are not potent to enhance students’ understanding. Data has enormous potential to enhance research, decision making, and lifelong learning. The combination of complex disciplines of computer science and statistics with social science philosophy in education data science aims to study more about how students learn and interact in the educational environment with real-time data collection. Despite its infancy, the wide availability of educational data has spurred an interest in analyzing relevant knowledge to guide educational policy and practice. This paper discusses the applications of data science in education field as well as the challenges for future development.",IEEE,FALSE,unknown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,not about data science education (about using data science to analyze education-related data)
2,1,Jiang_2020_data_wrangling,data wrangling practices and collaborative interactions with aggregated data,10.1007/s11412-020-09327-1,https://doi.org/10.1007/s11412-020-09327-1,"Jiang, Shiyan;Kahn, Jennifer",2020,"Data visualization technologies are powerful tools for telling evidence-based narratives about oneself and the world. This paper contributes to the literature on data science education by examining the sociotechnical practices of data wrangling--strategies for selecting and managing large, aggregated datasets to produce a model and story. We examined the learning opportunities related to data wrangling practices by investigating youth's talk-in-interaction while assembling models and stories about family migration using interactive data visualization tools and large socioeconomic datasets. We first identified ten sociotechnical practices that characterize youth's interaction with tools and collaboration in data wrangling. We then suggest four categories of activities to describe patterns of learning related to the practices, including addressing missing data, understanding data aggregation, exploring social or historical events that constitute the formation of data patterns, and varying data visual encoding for storytelling. These practices and activities are important to understand for supporting future data science education opportunities that facilitate learning and discussion about scientific and socioeconomic issues. This study also sheds light on how the family migration modeling context positions the youth as having agency and authority over the data and contributes to the design of CSCL environments that tackle the challenges of data wrangling.",ERIC,FALSE,article,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,middle school and high school
1,2,Van_2015_computer_science,computer science meets social studies: embedding cs in the study of locally grounded civic issues,10.1145/2787622.2787751,https://doi.org/10.1145/2787622.2787751,Van Wart S.,2015,"Data science is an emerging 21st century literacy that promises to support learning in a wide variety of disciplines, from science, to social science, to the humanities. It also provides an engaging context in which to learn computational thinking skills in existing classroom contexts. For my dissertation research, I will explore whether and how data science can support inquiry-based learning in social studies. I conjecture that data science could provide students with an opportunity to use computational thinking to better understand their social world, while also allowing students to draw from and make sense of their own experiences. I plan to explore this idea by enhancing and evaluating a software tool, Local Ground, and creating a curriculum that helps young people identify and describe salient characteristics of their lived realities, moving from unstructured to structured data representations (e.g., photos to tags to databases). This process may generate a rich, motivating data source to explore subsequent ideas in computational thinking and social science.",Scopus,TRUE,conference paper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,dissertation abstract
