reviewer_1,reviewer_2,our_id,document_title,doi,document_link,authors,publication_year,abstract,database,open_access,new_doc_type,journal,conference,book,affiliation_country,content_area,research_question,data_collection_type,main_field,big_pic_notes,interesting_facts,keywords,keep,why_not_keep
1,4,Ambite_2019_linking_educational,linking educational resources on data science,10.1609/aaai.v33i01.33019404,https://doi.org/10.1609/aaai.v33i01.33019404,"Ambite J.L., Gordon J., Fierro L., Burns G., Mathew J.",2019,"The availability of massive datasets in genetics, neuroimaging, mobile health, and other subfields of biology and medicine promises new insights but also poses significant challenges. To realize the potential of big data in biomedicine, the National Institutes of Health launched the Big Data to Knowledge (BD2K) initiative, funding several centers of excellence in biomedical data analysis and a Training Coordinating Center (TCC) tasked with facilitating online and inperson training of biomedical researchers in data science. A major initiative of the BD2K TCC is to automatically identify, describe, and organize data science training resources available on the Web and provide personalized training paths for users. In this paper, we describe the construction of ERuDIte, the Educational Resource Discovery Index for Data Science, and its release as linked data. ERuDIte contains over 11,000 training resources including courses, video tutorials, conference talks, and other materials. The metadata for these resources is described uniformly using Schema.org. We use machine learning techniques to tag each resource with concepts from the Data Science Education Ontology, which we developed to further describe resource content. Finally, we map references to people and organizations in learning resources to entities in DBpedia, DBLP, and ORCID, embedding our collection in the web of linked data. We hope that ERuDIte will provide a framework to foster open linked educational resources on the Web.",Scopus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,practitioners
4,1,Kross_2020_democratization,the democratization of data science education,10.1080/00031305.2019.1668849,https://doi.org/10.1080/00031305.2019.1668849,"Kross S., Peng R.D., Caffo B.S., Gooding I., Leek J.T.",2020,"Over the last three decades, data have become ubiquitous and cheap. This transition has accelerated over the last five years and training in statistics, machine learning, and data analysis has struggled to keep up. In April 2014, we launched a program of nine courses, the Johns Hopkins Data Science Specialization, which has now had more than 4 million enrollments over the past five years. Here, the program is described and compared to standard data science curricula as they were organized in 2014 and 2015. We show that novel pedagogical and administrative decisions introduced in our program are now standard in online data science programs. The impact of the Data Science Specialization on data science education in the U.S. is also discussed. Finally, we conclude with some thoughts about the future of data science education in a data democratized world.",Scopus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,MOOCs
4,1,Mikroyannidis_2018_designing,designing and delivering a curriculum for data science education across europe,10.1007/978-3-319-73204-6_59,https://doi.org/10.1007/978-3-319-73204-6_59,"Mikroyannidis A., Domingue J., Phethean C., Beeston G., Simperl E.",2018,NA,Scopus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,practitioners
1,4,Bile_2020_comparative_study,a comparative study of the academic programs between informatics/bioinformatics and data science in the u.s.,10.1109/compsac48688.2020.00030,https://doi.org/10.1109/compsac48688.2020.00030,I. Bile Hassan; J. Liu,2020,"As Data Science has recently become a trend of the innovation of building new academic programs in the U.S. higher education, a holistic review and analysis of the curriculum development in a close field called Informatics or Bioinformatics, occurred more than a decade ago, seems to be beneficial and necessary in helping and supporting the healthy growth of Data Science programs. In this paper, a thorough comparative study between Informatics and Data Science was presented through comparing and investigating the similarities and differences of their curriculum structures, bodies of domain knowledge, technical skill sets, research areas, faculty preparation, student background, as well as the lessons learnt from the development of Informatics programs and challenges in developing Data Science programs. It is believed that the recommendations drawn from this study will assist educators to build their Data Science programs with the confidence and determination but without hesitation and fear of misstepping along the way in promoting and building their new programs.",IEEE,FALSE,conference article,NA,"2020 IEEE 44th Annual Computers, Software, and Applications Conference",NA,"United States of America, United States of America",review of current state of data science education,TRUE,quant,informatics,Compares data science and informatics programs,NA,"Informatics, Data Science, Comparative Study, Curriculum Design, Informatics and Data Science Education",TRUE,NA
4,1,Demchenko_2017_customisable_data,customisable data science educational environment: from competences management and curriculum design to virtual labs on-demand,10.1109/cloudcom.2017.59,https://doi.org/10.1109/cloudcom.2017.59,Y. Demchenko; A. Belloum; C. de Laat; C. Loomis; T. Wiktorski; E. Spekschoor,2017,"Data Science is an emerging field of science, which requires a multi-disciplinary approach and is based on the Big Data and data intensive technologies that both provide a basis for effective use of the data driven research and economy models. Modern data driven research and industry require new types of specialists that are capable to support all stages of the data lifecycle from data production and input to data processing and actionable results delivery, visualisation and reporting, which can be jointly defined as the Data Science professions family. The education and training of Data Scientists currently lacks a commonly accepted, harmonized instructional model that reflects all multi-disciplinary knowledge and competences that are required from the Data Science practitioners in modern, data driven research and the digital economy. The educational model and approach should also solve different aspects of the future professionals that includes both theoretical knowledge and practical skills that must be supported by corresponding education infrastructure and educational labs environment. In modern conditions with the fast technology change and strong skills demand, the Data Science education and training should be customizable and delivered in multiple form, also providing sufficient data labs facilities for practical training. This paper discussed both aspects: building customizable Data Science curriculum for different types of learners and proposing a hybrid model for virtual labs that can combine local university facility and use cloud based Big Data and Data analytics facilities and services on demand. The proposed approach is based on using the EDISON Data Science Framework (EDSF) developed in the EU funded Project EDISON and CYCLONE cloud automation systems being developed in another EU funded project CYCLONE.",IEEE,TRUE,conference article,NA,2017 IEEE International Conference on Cloud Computing Technology and Science (CloudCom),NA,"Netherlands, Netherlands, Netherlands, Switzerland, Norway, Netherlands",program example and education technology,FALSE,no data,data science,"Defines EDISON Data Science Framework and ""provides advice on the required Data Science Education Environment to facilitate fast practical knowledge and skills aquisition by students and learners.""",NA,"Data Science, Data Scientist Professional, Big Data, EDISON Data Science Framework (EDSF), Data Science Competences Framework, Data Science Body of Knowledge, Data Science Model Curriculum, FAIR principles in Open Education, Virtual Data Labs (VDLabs), CYCLONE Cloud Automation platform, SlipStream",TRUE,NA
1,4,Dill_2021_integrated_modular,"an integrated, modular approach to data science education in microbiology",10.1371/journal.pcbi.1008661,https://doi.org/10.1371/journal.pcbi.1008661,"Dill-McFarland KA, Konig SG, Mazel F, Oliver DC, McEwen LM, Hong KY, Hallam SJ.",2021,"We live in an increasingly data-driven world, where high-throughput sequencing and mass spectrometry platforms are transforming biology into an information science. This has shifted major challenges in biological research from data generation and processing to interpretation and knowledge translation. However, postsecondary training in bioinformatics, or more generally data science for life scientists, lags behind current demand. In particular, development of accessible, undergraduate data science curricula has the potential to improve research and learning outcomes as well as better prepare students in the life sciences to thrive in public and private sector careers. Here, we describe the Experiential Data science for Undergraduate Cross-Disciplinary Education (EDUCE) initiative, which aims to progressively build data science competency across several years of integrated practice. Through EDUCE, students complete data science modules integrated into required and elective courses augmented with coordinated cocurricular activities. The EDUCE initiative draws on a community of practice consisting of teaching assistants (TAs), postdocs, instructors, and research faculty from multiple disciplines to overcome several reported barriers to data science for life scientists, including instructor capacity, student prior knowledge, and relevance to discipline-specific problems. Preliminary survey results indicate that even a single module improves student self-reported interest and/or experience in bioinformatics and computer science. Thus, EDUCE provides a flexible and extensible active learning framework for integration of data science curriculum into undergraduate courses and programs across the life sciences.",pubmed,TRUE,journal article,PLOS Computational Biology,NA,NA,"Canada, Canada, Canada, Canada, Canada, Canada, Canada",program example,TRUE,quant,biology,"Discusses the development of the Experiential Data science for Undergraduate Cross-Disciplinary Education (EDUCE) initiative at UBC, aimed at increasing data competency in the life sciences. Describes modular integration of data science education in existing microbiology undergraduate program at the University of British Columbia.",Modeular integration targeted at a specific major instead of its own class.,not specified,TRUE,NA
1,4,Geigle_2018_clads,clads: a cloud-based virtual lab for the delivery of scalable hands-on assignments for practical data science education,10.1145/3197091.3197135,https://doi.org/10.1145/3197091.3197135,"Geigle C., Sundaram H., Lourentzou I., Zhai C.",2018,"The rise of the â€œbig dataâ€ era has created a pressing demand for educating many data scientists and engineers quickly at low cost. It is essential they learn by working on assignments that involve real world data sets to develop the skills needed to be successful in the workplace. However, enabling instructors to flexibly deliver all kinds of data science assignments using real world data sets to large numbers of learners (both on-campus and off-campus) at low cost is a significant open challenge. To address this emerging challenge generally, we develop and deploy a novel Cloud-based Lab for Data Science (CLaDS) to enable many learners around the world to work on real-world data science problems without having to move or otherwise distribute prohibitively large data sets. Leveraging ver- sion control and continuous integration, CLaDS provides a general infrastructure to enable any instructor to conveniently deliver any hands-on data science assignment that uses large real world data sets to as many learners as our cloud-computing infrastructure allows at very low cost. In this paper, we present the design and implementation of CLaDS and discuss our experience with using CLaDS to deploy seven major text data assignments for students in both an on-campus course and an online course to work on for learning about text data retrieval and mining techniques; this shows that CLaDS is a very promising novel general infrastructure for efficiently delivering a wide range of hands-on data science assignments to a large number of learners at very low cost.",Scopus,TRUE,conference article,NA,ITiCSE 2018: Proceedings of the 23rd Annual ACM Conference on Innovation and Technology in Computer Science Education,NA,"United States of America, United States of America, United States of America, United States of America",education technology,TRUE,mixed,computer science,"This paper proposes new infrastructure for handling access to large-scale data sets, allowing students to work during class without having to upload/download/transport huge amounts of data.","""We can see that students remained engaged with the assignment and its material even after the comple- tion of the main assignment goal; indeed, even the 25th percentile submitted between three to five more times after completing the main assignment, with half of the class submitting 10 or more times post-completion.""","data science education, cloud computing, virtual lab",TRUE,NA
1,4,Miah_2020_designbased_research,a design-based research approach for developing data-focussed business curricula,10.1007/s10639-019-09981-5,https://doi.org/10.1007/s10639-019-09981-5,"Miah S.J., Solomonides I., Gammack J.G.",2020,"Although existing data science educational programmes develop talent and produce graduates, business-focused data science curricula comprising essential skills oriented to business and managerial data with associated analysis, remain underserved. Current pedagogy has focused either on data science or on purely analytic technical aspects. There is therefore, an opportunity to rethink how institutions can develop innovative data-focussed education programmes, addressing both modern industry and community demands. As both academia and industry strive to integrate applied learning, transferable and enterprise skills into business and sciences, this paper proposes a design based research approach (DBR) for designing such a new interdisciplinary data science teaching curriculum as a foundation to deliver business undergraduate degrees in Business Data Science. Adopting a design science method our proposed DBR illustrates effective utilities for conceptualising and evaluating a fully functional new degree programme - Bachelor of Business Data Science. Ten senior business information systems academics and five analytics industry practitioners in Victoria, Australia were interviewed in three iterative prototyping phases followed by a final focus group session with business information systems students that evaluated the proposed structure. The findings suggest that proposed DBR ensures the design of an innovative data science degree that may meet growing industry and interdisciplinary demands. The paper concludes by discussing overall feasibility of the proposal in the Australian higher education sector, particularly for the case context of an Australian University.",Scopus,FALSE,journal article,Education and Information Technologies,NA,NA,"Australia, Australia, United Arab Emirates",review of current state of data science education and program example,TRUE,qual,business,"Summarized motivation, proposal, and finidings from designed-based research approach for developing data science curricula for business-focussed majors",NA,"Business curriculum, Information systems education, Data science education, Higher education",TRUE,NA
4,1,Ruckcharti_2017_hadoop,hadoop as a service for academic purposes,10.1145/3167020.3167032,https://doi.org/10.1145/3167020.3167032,"Ruckcharti U., Atiratana N., Krathu W., Arpnikanondt C.",2017,"The growth of data science education at both graduate and undergraduate levels has increase dramatically. Need for computing platforms that are well-equip with the appropriate tools for students and instructors, and that are readily accessible and flexibly configurable has subsequently become more conspicuous. Using lots of sandboxes that would consume tremendous resources is not an effective solution. This paper propose a solution that design and implement Hadoop as a private online service that could effectively meet the design characteristics of an academic data science computing platform. The propose design emphasise a quick deployment solution based on available resources and technologies. The case study that follow demonstrate and cultivate our approach as a proof of concept for any academic institutions to implement their own services. This paper contains many aspects of service implementation from managing resources to choosing the right Hadoop platform components and solution to accounting for user authentication and authorisation as well as security and network design.",Scopus,FALSE,conference article,NA,MEDES '17: Proceedings of the 9th International Conference on Management of Digital EcoSystems,NA,"Thailand, Thailand, Thailand, Thailand",education technology,FALSE,no data,data science,Outlines Hadoop as a Serivce (HaaS) which it proposes as a way to gives students hands-on experience of the Hadoop data platform without requiring intense resource management by instructors.,NA,"Big Data, Data Science, Hadoop, Service",TRUE,NA
4,1,Takemura_2018_new_era,a new era of statistics and data science education in japanese universities,10.1007/s42081-018-0005-7,https://doi.org/10.1007/s42081-018-0005-7,"Takemura, A",2018,"In April 2017, Shiga University launched an undergraduate program in the new faculty of data science. This faculty emphasizes the study and application of statistics and is the first of its kind in Japan. Shiga University also plans to launch a master's program in data science starting in April 2019. The inauguration of the faculty marks a new era of statistics and data science education in Japanese universities, in view of the fact that there were virtually no statistics faculties in Japanese universities before that of Shiga University. In April 2018, Yokohama City University will follow Shiga University with the opening of a new school of data science. We discuss the background of these developments and the prospects of statistics and data science in Japan.",web of science,TRUE,journal article,Japanese Journal of Statistics and Data Science,NA,NA,Japan,review of current state of data science education,FALSE,no data,stat,"Describes historic deficit of statistics and data science as a science in Japanese education. Briefly discusses new data science program established by Shiga University in 2017, and its prospects.",Before Shiga University there were no data science programs and almost no statistics programs. Statistics was only taught in fields where it was necessary and even then only relevant topics were taught.,"Data as economic resource, Data scientist, Internet of Things, Project-based learning, Statistical science",TRUE,NA
