reviewer_1,reviewer_2,our_id,document_title,doi,document_link,authors,publication_year,abstract,database,open_access,new_doc_type,journal,conference,book,affiliation_country,content_area,research_question,data_collection_type,main_field,big_pic_notes,interesting_facts,keywords,keep,why_not_keep
2,4,Diaz_2022_smart_education,smart education and future trends,NA,https://ijcopi.org/ojs/article/view/294,"Diaz-Parra, O; Fuentes-Penna, A; Barrera-Camara, RA; Trejo-Macotela, FR; Ramos-Fernandez, JC; Ruiz-Vanoye, JA; Zezzatti, AO; Rodriguez-Flores, J",2022,"Smart Education is the influence of diverse technologies (Combinatorial Optimization, Machine Learning, Big Data, data visualisation, Internet of Education Things, Learning analytics, and others) to enhance the quality of education. In other words, Smart Education is the process of optimally managing human, economic and technological resources from educational institutions and research centres. Smart Education is part of the Smart Society (a component of a Smart City). The Smart Education components are the Internet of Education Things (Wireless Sensor Networks, RFID Technology), management of the education physical, infrastructure, smart classroom, smart campus, smart learning, Learning analytics, Smart Analysis, data science, Education Impact, and Educational Policy. This paper is a guide for understanding Smart Education components by presenting a survey of the characteristics, taxonomy (Education-Hard problems and Education-Soft problems), smart education indicators, history and future trends.",web of science,TRUE,article,International Journal of Combinatorial Optimization Problems and Informatics,NA,NA,"Mexico, Mexico, Mexico, Mexico, Mexico, Mexico, Mexico, Mexico",NA,NA,NA,NA,NA,NA,"Smart Cities, Smart Education, Internet of Things, Sensors.",FALSE,not about data science education
2,4,Horton_2022_years,30 years of the journal of statistics and data science education,10.1080/26939169.2022.2041325,https://doi.org/10.1080/26939169.2022.2041325,Horton N.J.,2022,NULL,Scopus,TRUE,editorial material,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,note from journal's editor
2,4,Mike_2020_data_science,data science education: curriculum and pedagogy,10.1145/3372782.3407110,https://doi.org/10.1145/3372782.3407110,Mike K.,2020,"Data science is a new field of research focuses on extracting knowledge and value from data. The radical growth in recent years in the availability of data and of the computational resources required to process them, has led to a corresponding increase in demand for data scientists. As a result, new data science education programs are opening at a growing rate. Over the past few years, several papers on data science programs were published, focusing on their curricular aspects. The pedagogy of those programs, however, has received only little attention. To partially close this gap, my doctoral research focuses on the pedagogical aspects of data science. The pilot phase of the research was carried out in graduate, undergraduate, and high school data science programs. The results of the pilot research are organized by a framework of ten challenges of data science education whose purpose is to improve our understanding of the pedagogical challenges of data science education for various populations and to develop pedagogical methods for coping with them. The current stage of research aims to validate this framework.",Scopus,FALSE,NA,NA,ICER '20: Proceedings of the 2020 ACM Conference on International Computing Education Research,NA,Israel,NA,NA,NA,NA,NA,NA,NA,FALSE,Doctoral Consortium Abstract
2,4,Wilkerson_2020_situating_data,situating data science: exploring how relationships to data shape learning,10.1080/10508406.2019.1705664,https://doi.org/10.1080/10508406.2019.1705664,"Wilkerson, Michelle Hoda;Polman, Joseph L.",2020,"The emerging field of Data Science has had a large impact on science and society. This has led to over a decade of calls to establish a corresponding field of Data Science Education. There is still a need, however, to more deeply conceptualize what a field of Data Science Education might entail in terms of scope, responsibility, and execution. This special issue explores how one distinguishing feature of Data Science--its focus on data collected from social and environmental contexts within which learners often find themselves deeply embedded--suggests serious implications for learning and education. The learning sciences is uniquely positioned to investigate how such contextual embeddings impact learners' engagement with data including conceptual, experiential, communal, racialized, spatial, and political dimensions. This special issue demonstrates the richly layered relationships learners build with data and reveals them to be not merely utilitarian mechanisms for learning about data, but a critical part of navigating data as social text and understanding Data Science as a discipline. Together, the contributions offer a vision of how the learning sciences can contribute to a more expansive, agentive and socially aware Data Science Education.",ERIC,NA,article,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,introduction to a journal's special issue
4,2,Wang_2019_survey,a survey of data science programs and courses in the ischools,10.1002/pra2.184,https://doi.org/10.1002/pra2.184,"Wang Y.-Y., Lin C.-S.",2019,"In this poster, we examined the current data science programs and courses in the 102 iSchools members. The result shows that the program distribution was unequal by region, and the courses offered by iSchools concentrated on data analysis skills. Research data management, which concerns data management throughout research life cycle and data curation, constituted less than 10% of the courses.",Scopus,FALSE,article,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,poster
2,4,Xiao_2021_letter,a letter to the journal of statistics and data science education — a call for review of “okcupid data for introductory statistics and data science courses” by albert y. kim and adriana escobedo-land,10.1080/26939169.2021.1930812,https://doi.org/10.1080/26939169.2021.1930812,"Xiao T., Ma Y.",2021,NULL,Scopus,TRUE,editorial material,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,letter to journal editor
4,2,Allen_2021_experiential_learning,"experiential learning in data science: developing an interdisciplinary, client-sponsored capstone program",10.1145/3408877.3432536,https://doi.org/10.1145/3408877.3432536,Allen G.I.,2021,"Interest in data science education and degree programs has rapidly expanded over the past several years. An integral part of many degree programs is a capstone experience, where students complete a major research or real-world project at the culmination of their educational program. In engineering and computer science, many have shown that client-sponsored projects lead to better student engagement and improved training. In this paper, we discuss experiences with developing an interdisciplinary, client-sponsored capstone program in data science and machine learning. We show how we set up the capstone program, including how the program is structured, how projects are set up, how the course is managed, how students are assessed, and outline the newly developed capstone curriculum. Finally, we report results from a cohort of students participating in this capstone program and discuss lessons learned as well as best practices when developing data science capstone programs.",Scopus,TRUE,conference article,NA,SIGCSE '21: Proceedings of the 52nd ACM Technical Symposium on Computer Science Education,NA,United States of America,course example,TRUE,mixed,multidisciplinary,"The author discusses experiences with developing an interdisciplinary, client-sponsored capstone program in data science and machine learning. They report results from a cohort of students participating in this capstone program and discuss lessons learned as well as best practices when developing data science capstone programs. Although a single research question/aim is not stated, data is collected with a very clear goal: assessing whether the project objectives were met and which factors played a large role in it.",NA,"data science, machine learning, capstone, experiential learning, client-sponsored projects, team-based projects",TRUE,NA
4,2,Banadaki_2022_enabling_data,enabling data science education in stem disciplines through supervised undergraduate research experiences,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138273525&partnerID=40&md5=4bcc15cec803e71371d05123abe0108f,Banadaki Y.,2022,"Data Science plays a vital role in sciences and engineering disciplines to discover meaningful information and predict the outcome of real-world problems. Despite the significance of this field and high demand, knowledge of how to effectively provide data science research experience to STEM students is scarce. This paper focuses on the role of data science and analytics education to improve the students' computing and analytical skills across a range of domain-specific problems. The paper studies four examples of data-intensive STEM projects for supervised undergraduate research experiences (SURE) in Mechanical Engineering, Biomedical science, Quantum Physics, and Cybersecurity. The developed projects include the applications of data science for improving additive manufacturing, automating microscopy images analysis, identifying the quantum optical modes, and detecting network intrusion. The paper aims to provide some guidelines to effectively educate the next generation of STEM undergraduate and graduate students and prepare STEM professionals with interdisciplinary knowledge, skills, and competencies in data science. The paper includes a summary of activities and outcomes from our research and education in the field of data science and machine learning. We will evaluate the student learning outcomes in solving big data interdisciplinary projects to confront the new challenges in a computationally-driven world.�",Scopus,TRUE,conference article,NA,ASEE 2022: American Society for Engineering Education Annual Conference and Exposition,NA,United States of America,class activity example,FALSE,no data,multidisciplinary,"This paper aims to encourage the implementation of interdisciplinary data-intensive projects for STEM students by providing four examples of supervised undergraduate research experiences in Mechanical Engineering, Biomedical science, Quantum Physics, and Cybersecurity.",NA,"Data science, supervised undergraduate research experiences, computing, analytical skills",TRUE,NA
4,2,Hicks_2019_guide,a guide to teaching data science,10.1080/00031305.2017.1356747,https://doi.org/10.1080/00031305.2017.1356747,"Hicks SC, Irizarry RA.",2019,"Demand for data science education is surging and traditional courses offered by statistics departments are not meeting the needs of those seeking training. This has led to a number of opinion pieces advocating for an update to the Statistics curriculum. The unifying recommendation is that computing should play a more prominent role. We strongly agree with this recommendation, but advocate the main priority is to bring applications to the forefront as proposed by Nolan and Speed in 1999. We also argue that the individuals tasked with developing data science courses should not only have statistical training, but also have experience analyzing data with the main objective of solving real-world problems. Here, we share a set of general principles and offer a detailed guide derived from our successful experience developing and teaching a graduate-level, introductory data science course centered entirely on case studies. We argue for the importance of statistical thinking, as defined by Wild and Pfannkuch in 1999 and describe how our approach teaches students three key skills needed to succeed in data science, which we refer to as creating, connecting, and computing. This guide can also be used for statisticians wanting to gain more practical knowledge about data science before embarking on teaching an introductory course. Supplementary materials for this article are available online.",pubmed,TRUE,journal article,The American Statistician,NA,NA,"United States of America, United States of America",course example,FALSE,mixed,biostatistics,"This article advocates for data science courses that better meet the needs of those seeking training, by involving more computing and also, especially, by making them develop statistical thinking. They describe how their data science classes entirely based on case studies teaches students three key skills needed to succeed in data science, which they refer to as creating, connecting, and computing. These classes are for upper-level undergraduate and graduate students.",NA,"Active learning, Applied statistics, Computing data science, Reproducibility, Teaching principles",TRUE,NA
4,2,Hoyt_2020_overview,an overview of two open interactive computing environments useful for data science education,10.1093/jamiaopen/ooy040,https://doi.org/10.1093/jamiaopen/ooy040,"Hoyt R, Wangia-Anderson V.",2020,"Objective: To discuss and illustrate the utility of two open collaborative data science platforms, and how they
would benefit data science and informatics education.
Methods and Materials: The features of two online data science platforms are outlined. Both are useful for new
data projects and both are integrated with common programming languages used for data analysis. One platform focuses more on data exploration and the other focuses on containerizing, visualization, and sharing code
repositories.
Results: Both data science platforms are open, free, and allow for collaboration. Both are capable of visual,
descriptive, and predictive analytics
Discussion: Data science education benefits by having affordable open and collaborative platforms to conduct a
variety of data analyses.
Conclusion: Open collaborative data science platforms are particularly useful for teaching data science skills to
clinical and nonclinical informatics students. Commercial data science platforms exist but are cost-prohibitive
and generally limited to specific programming languages.",pubmed,TRUE,journal article,Journal of the American Medical Informatics Association,NA,NA,"United States of America, United States of America",education technology,FALSE,no data,biomedical,"The goal of this article was to discuss data science platforms currently available, from simple to complex, focusing in particular on Data World and Jupyter Notebooks. The authors illustrate these two platforms and explain how they can support biomedical data science education.","Data science has been defined as “the scientific study of the creation, validation and transformation of data to create meaning.” according to the Data Science Association http://www.datascienceassn.org","data science, data mining, data interpretation statistical",TRUE,NA
