reviewer_1,reviewer_2,our_id,document_title,doi,document_link,authors,publication_year,abstract,database,open_access,new_doc_type,journal,conference,book,affiliation_country,content_area,research_question,data_collection_type,main_field,big_pic_notes,interesting_facts,keywords,keep,why_not_keep
1,5,Anslow_2016_datathons,datathons: an experience report of data hackathons for data science education,10.1145/2839509.2844568,https://doi.org/10.1145/2839509.2844568,"Anslow C., Brosz J., Maurer F., Boyes M.",2016,Large amounts of data are becoming increasingly available through open data repositories as well as companies and governments collecting data to improve decision making and efficiencies. Consequently there is a need to increase the data literacy of computer science students. Data science is a relatively new area within computer science and the curriculum is rapidly evolving along with the tools required to perform analytics which students need to learn how to effectively use. To address the needs of students learning key data science and analytics skills we propose augmenting existing data science curriculums with hackathon events that focus on data also known as datathons. In this paper we present our experience at hosting and running four datathons that involved students and members from the community coming together to solve challenging problems with data from not-for-profit social good organizations and publicly open data. Our reported experience from our datathons will help inform other academics and community groups who also wish to host datathons to help facilitate their students and members to learn key data science and analytics skills.,Scopus,TRUE,conference article,NA,SIGCSE '16: Proceedings of the 47th ACM Technical Symposium on Computing Science Education,NA,"United Kingdom, Canada, Canada, Canada",extra curricular activity example,FALSE,no data,computer science,Describes case studies of datathons for practice with interdisiplinary collaboration on real projects.,NA,"Analytics, Community Engagement, Datathon, Data Science, Hackathon, Open Data",TRUE,NA
5,1,Blair_2021_establishing_abet,establishing abet accreditation criteria for data science,10.1145/3408877.3432445,https://doi.org/10.1145/3408877.3432445,"Blair J.R.S., Jones L., Leidig P., Murray S., Raj R.K., Romanowski C.J.",2021,"Prompted by the skyrocketing demand for data scientists, progress made by the ACM Data Science Task Force on defining data science competencies, and inquiries about data science accreditation, ABET is in the process of developing accreditation criteria for undergraduate data science programs. The effort is led by members of a joint data science criteria subcommittee appointed by ABET's Computing Accreditation Commission (CAC) and CSAB (the lead society for computing accreditation). Establishing data science accreditation criteria is a notable milestone in the maturing data science discipline, indicating the presence of an accepted body of knowledge, standards of practice, and ethical codes for practitioners. This position paper motivates the effort and discusses prior work towards defining data science education requirements. It describes the ongoing process for creating and obtaining approval of the accreditation criteria, and how feedback was and will be solicited from the computing and statistical communities. The current draft data science criteria, which was approved in July 2020 by the relevant ABET bodies for a year of public review and comment, is presented. These criteria emphasize the three pillars of data science: computing foundations, mathematical/statistical foundations, and experience in at least one data application domain. This report thus serves both to inform and to stimulate the academic discussion needed to finalize appropriate data science accreditation by ABET.",Scopus,TRUE,conference article,NA,SIGCSE '21: Proceedings of the 52nd ACM Technical Symposium on Computer Science Education,NA,"United States of America, United States of America, United States of America, United States of America, United States of America, United States of America",guidelines,FALSE,no data,computer science,The process of how ABET data science accreditation criteria are decided is explained.,NA,"Data science programs, data analytics programs, computing education, program accreditation
",TRUE,NA
1,5,Bornschlegl_2016_ivisbigdata,ivis4bigdata: a reference model for advanced visual interfaces supporting big data analysis in virtual research environments,10.1007/978-3-319-50070-6_1,https://doi.org/10.1007/978-3-319-50070-6_1,"Bornschlegl M.X., Berwind K., Kaufmann M., Engel F.C., Walsh P., Hemmje M.L., Riestra R.",2016,"This paper introduces an approach to develop an up-to-date reference model that can support advanced visual user interfaces for distributed Big Data Analysis in virtual labs to be used in e-Science, industrial research, and Data Science education. The paper introduces and motivates the current situation in this application area as a basis for a corresponding problem statement that is utilized to derive goals and objectives of the approach. Furthermore, the relevant state-of-the-art is revisited and remaining challenges are identified. An exemplar set of use cases, corresponding user stereotypes as well as a conceptual design model to address these challenges are introduced. A corresponding architectural system model is suggested as a conceptual reference architecture to support proof-of-concept implementations as well as to support interoperability in distributed infrastructures. Conclusions and an outlook on future work complete the paper.",Scopus,TRUE,conference article,NA,AVI-BDA 2016: Advanced Visual Interfaces. Supporting Big Data Applications,NA,"Germany, Germany, Switzerland, Germany, Ireland, Germany, Spain",education technology,FALSE,no data,computer science,This paper introduces an approach to develop an up-to-date reference model that can support advanced visual user interfaces for distributed Big Data Analysis in virtual labs,NA,"Advanced visual user interfaces, Distributed Big Data Analysis, Information visualization, User empowerment, Virtual Research Environments",TRUE,NA
1,5,Dinov_2019_quant_data,quant data science meets dexterous artistry,10.1007/s41060-018-0138-6,https://doi.org/10.1007/s41060-018-0138-6,Dinov ID.,2019,"Data science is a bridge discipline connecting fundamental science, applied disciplines, and the arts. The demand for novel data science methods is well established. However, there is much less agreement on the core aspects of representation, modeling, and analytics that involve huge and heterogeneous datasets. The scientific community needs to build consensus about data science education and training curricula, including the necessary entry matriculation prerequisites and the expected learning competency outcomes needed to tackle complex Big Data challenges. To meet the rapidly increasing demand for effective evidence-based practice and data analytic methods, research teams, funding agencies, academic institutions, politicians, and industry leaders should embrace innovation, promote high-risk projects, join forces to expand the technological capacity, and enhance the workforce skills.",pubmed,TRUE,journal article,International Journal of Data Science and Analytics,NA,NA,United States of America,call to action,FALSE,no data,data science,Need for defined curiculum for data science which can address real big data problems and have real world impacts.,NA,"Data science, Predictive analytics, Artistry, Qualitative and quantitative skills, Big data",TRUE,NA
1,5,Engel_2017_statistical_literacy,statistical literacy for active citizenship: a call for data science education,10.52041/serj.v16i1.213,https://doi.org/10.52041/serj.v16i1.213,"Engel, Joachim",2017,"Data are abundant, quantitative information about the state of society and the wider world is around us more than ever. Paradoxically, recent trends in the public discourse point towards a post-factual world that seems content to ignore or misrepresent empirical evidence. As statistics educators we are challenged to promote understanding of statistics about society. In order to re-root public debate to be based on facts instead of emotions and to promote evidence-based policy decisions, statistics education needs to embrace two areas widely neglected in secondary and tertiary education: understanding of multivariate phenomena and the thinking with and learning from complex data.",ERIC,TRUE,journal article,Statistics Education Research Journal,NA,NA,Germany,call to action,FALSE,no data,statistics,About need for statistical literacy from all students as citizens of a society to understand statistics about society. Statistics education needs to embrace thinking and learning from complex data.,NA,"Statistical literacy, Data science education, Multivariate reasoning, Open data",TRUE,NA
5,1,Ionascu_2021_ds_lab,ds lab notebook: a new tool for data science applications,10.1109/synasc51798.2020.00056,https://doi.org/10.1109/synasc51798.2020.00056,A. Ionascu; S. -A. Stefaniga,2020,"The main focus of the technical application of this research relies on a web and mobile-based solution identified as Data Science Notebook named as DS Lab Notebook. Specifically, the main focus will be on tackling already present challenges in data science education and a solution presented around DS Lab, an interactive computational notebook. The core ideas are represented by the concept of extending the traditional computing notebooks, especially from the Jupyter family, with live visualizations, debugging, widgets, and interactivity during the educational process across all the major platforms: web, Android, and IOS. The features are outlined in several use cases that can be useful in the data-science teaching process, with a primary focus in matrix manipulations, scatter plots, and image filters. Python 3 was used as the main programming runtime and the back-end for providing access to variable values and type information is being described in the form of a runtime-independent pipeline relying on code parsing and injection.",IEEE,TRUE,conference article,NA,2020 22nd International Symposium on Symbolic and Numeric Algorithms for Scientific Computing (SYNASC),NA,"Romania, Romania",education technology,FALSE,no data,computer science,"Describes Data Science Notebook that can be used in data science classes, a web and mobile-based interactive computational notebook, and compares it to other computing notebooks.",NA,"Data Science, Jupyter, Real-Time, Interactive systems and tools, Human computer interaction, Development frameworks and environments",TRUE,NA
5,1,Nelson_2019_turning_health,turning health systems data into actionable information,10.1097/nna.0000000000000734,https://doi.org/10.1097/nna.0000000000000734,"Nelson-Brantley HV, Jenkins P, Chipps E.",2019,"Health systems produce vast amounts of complex, multidimensional data. Health systems nurse leaders, informaticians, and nurse researchers must partner to turn these data into actionable information to drive quality clinical outcomes. The authors review health systems in the era of big data, identify opportunities for health systems-nursing research partnerships, and introduce emerging approaches to data science education in nursing.",pubmed,FALSE,journal article,JONA: The Journal of Nursing Administration,NA,NA,"United States of America, United States of America, United States of America",call to action,NA,no data,nursing,The authors discuss need for education and collaboration of data scientists in nursing health care fields for actionable research results.,Discussed major decit of any data science education in nursing PhD programs,NA,FALSE,graduate
5,1,Tucker_2022_teaching_statistics,teaching statistics and data analysis with r,10.1080/26939169.2022.2089410,https://doi.org/10.1080/26939169.2022.2089410,"Tucker M.C., Shaw S.T., Son J.Y., Stigler J.W.",2022,"We developed an interactive online textbook that interleaves R programming activities with text as a way to facilitate students’ understanding of statistical ideas while minimizing the cognitive and emotional burden of learning programming. In this exploratory study, we characterize the attitudes and experiences of 672 undergraduate students as they used our online textbook as part of a 10-week introductory course in statistics. Students expressed negative attitudes and concerns related to R at the beginning of the course, but most developed more positive attitudes after engaging with course materials, regardless of demographic characteristics or prior programming experience. Analysis of a subgroup of students revealed that change in attitudes toward R may be linked to students’ patterns of engagement over time and students’ perceptions of the learning environment.",Scopus,TRUE,journal article,Journal of Statistics and Data Science Education,NA,NA,"United States of America, United States of America, United States of America, United States of America",course example,TRUE,mixed,psychology,"They ""were interested in whether integrating R programming in a way that facilitates student understanding of statistics would lead psychology students taking an introductory statistics course to develop more positive attitudes toward R and improve their motivation to learn statistics.""","Their textbook did not require software installation (e.g. R, RStudio)","Data science education, Higher education, R, Statistics education research",TRUE,NA
1,5,Yu_2019_toward_training,toward training and assessing reproducible data analysis in data science education,10.1162/dint_a_00053,https://doi.org/10.1162/dint_a_00053,"Yu B., Hu X.",2019,"Reproducibility is a cornerstone of scientific research. Data science is not an exception. In recent years scientists were concerned about a large number of irreproducible studies. Such reproducibility crisis in science could severely undermine public trust in science and science-based public policy. Recent efforts to promote reproducible research mainly focused on matured scientists and much less on student training. In this study, we conducted action research on students in data science to evaluate to what extent students are ready for communicating reproducible data analysis. The results show that although two-thirds of the students claimed they were able to reproduce results in peer reports, only one-third of reports provided all necessary information for replication. The actual replication results also include conflicting claims; some lacked comparisons of original and replication results, indicating that some students did not share a consistent understanding of what reproducibility means and how to report replication results. The findings suggest that more training is needed to help data science students communicating reproducible data analysis.",Scopus,TRUE,journal article,Data Intelligence,NA,NA,"United States of America, China",NA,NA,NA,NA,NA,NA,NA,FALSE,graduate
5,1,Suthar_2021_real_data,real data and application-based interactive modules for data science education in engineering,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124546523&partnerID=40&md5=ed00569a6049c4f397399743b6de40ef,"Suthar K., Mitchell T., Hartwig A.C., Wang J., Mao S., Parson L., Zeng P., Liu B., He P.",2021,"The importance of data science and engineering (DSE) education cannot be overstated and undergraduate education offers a critical link in providing more DSE exposure to students and expanding the supply of DSE talent. Currently significant progress has been made in classwork, while progress in hands-on research experience is still lacking. To help fill this gap, we propose to create data-enabled engineering project (DEEP) modules in the form of interactive Jupyter Notebooks based on real data and applications. We hypothesize that this web-based interactive development and learning environment (IDLE) will enable easy and wide adoption of the DEEP modules by other educators and institutions. In this work, we will present our ideas, the rationale behind the proposed approach, the work in progress, and the future plans for the project.",Scopus,TRUE,conference article,NA,2021 ASEE Virtual Annual Conference,NA,"United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America",education technology,FALSE,no data,engineering,"Discusses motivation behind creating data-enabled engineering project modeules in the form of interactive Jupyter Notebooks based on real data and applications about missing value, noise, and outlier.",NA,"Data science, workforce development, data-enabled engineering project, experiential learning, course-based undergraduate research experience",TRUE,NA
