reviewer_1,reviewer_2,our_id,document_title,doi,document_link,authors,publication_year,abstract,database,open_access,new_doc_type,journal,conference,book,affiliation_country,content_area,research_question,data_collection_type,main_field,big_pic_notes,interesting_facts,keywords,keep,why_not_keep
3,2,Davis_2017_scaling_data,scaling data warehousing course projects,10.1109/csci.2016.0054,https://doi.org/10.1109/csci.2016.0054,K. C. Davis; D. Aggarwal; S. Baskin,2017,"In this paper, we discuss the evolution of assignments in a data warehousing course to address the burgeoning interest and enrollment of students in data science programs. We focus on our experience incorporating the Teradata University Network (TUN) Data Challenge competition project as a class assignment. Students worked in small teams to answer questions posed by a non-profit organization, Hire Heroes USA, using their data about activities to help veterans and their spouses find employment. Students had free access to cutting edge industry visualization and analytics tools via TUN and its partner organizations. Course learning objectives were met successfully and students were enthusiastic about using real-world data to help a humanitarian organization better serve its clientele.",IEEE,TRUE,conference article,NA,2016 International Conference on Computational Science and Computational Intelligence (CSCI),NA,"United States of America, United States of America",NA,NA,NA,NA,NA,NA,"data science education, data warehouses, data visualization",FALSE,graduate
3,2,Huppenkothen_2018_hack_weeks,hack weeks as a model for data science education and collaboration,10.1073/pnas.1717196115,https://doi.org/10.1073/pnas.1717196115,"Huppenkothen D, Arendt A, Hogg DW, Ram K, VanderPlas JT, Rokem A.",2018,"Across many scientific disciplines, methods for recording, storing, and analyzing data are rapidly increasing in complexity. Skillfully using data science tools that manage this complexity requires training in new programming languages and frameworks as well as immersion in new modes of interaction that foster data sharing, collaborative software development, and exchange across disciplines. Learning these skills from traditional university curricula can be challenging because most courses are not designed to evolve on time scales that can keep pace with rapidly shifting data science methods. Here, we present the concept of a hack week as an effective model offering opportunities for networking and community building, education in state-of-the-art data science methods, and immersion in collaborative project work. We find that hack weeks are successful at cultivating collaboration and facilitating the exchange of knowledge. Participants self-report that these events help them in both their day-to-day research as well as their careers. Based on our results, we conclude that hack weeks present an effective, easy-to-implement, fairly low-cost tool to positively impact data analysis literacy in academic disciplines, foster collaboration, and cultivate best practices.",pubmed,TRUE,journal article,Proceedings of the National Academy of Sciences of the United States of America,NA,NA,"United States of America, United States of America, Germany, United States of America, United States of America, United States of America",extra curricular activity example,TRUE,quantitative,multidisciplinary,"The authors present the concept of a hack week as a model offering opportunities for networking and community  building,  education in state-of-the-art data science methods, and immersion in collaborative project work. They report quantitative results on ... based on post-attendance surveys (six-point likert-type scale) of participants to one hack week focused on astronomy, one focused on neuroscience and one focused on geo-science. They found that ind the hack weeks have been largely successful in promoting positive attitudes toward reproducibility and open science. They report results on differences in answers based on gender,",NA,"data science, education, interdisciplinary collaboration, reproducibility",FALSE,practitioners and researchers
2,3,Jiang_2019_data_wrangling,data wrangling practices and process in modeling family migration narratives with big data visualization technologies,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85073350469&partnerID=40&md5=f61f1a050269ba4fb3cd50b42f04a8e5,"Jiang S., Kahn J.B.",2019,"Big data technologies are powerful tools for telling evidence-based narratives about oneself and the world. In this paper, we examine the sociotechnical practices of data wrangling—strategies for selecting and managing datasets to produce a model and story in a big data interface—for youth assembling models and stories about family migration using interactive data visualization tools. Through interaction analysis of video data, we identified ten data wrangling practices and developed a conceptual model of the data wrangling process that contains four interrelated recursive stages. These data wrangling practices and the process of data wrangling are important to understand for supporting future data science education opportunities that facilitate learning and discussion about scientific and socioeconomic issues. This study also sheds light on how the family migration modeling context positioned the youth as having agency and authority over big data.",Scopus,TRUE,conference paper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,middle school and high school
3,2,Danyluk_2019_acm_task,acm task force on data science education draft report and opportunity for feedback,10.1145/3287324.3287522,https://doi.org/10.1145/3287324.3287522,"Danyluk A., Cassel L., Leidig P., Servin C.",2019,"The ACM Data Science Task Force was established by the ACM Education Council and tasked with articulating the role of computing discipline-specific contributions to this emerging field. This special session seeks to introduce the work of the ACM Data Science Task Force as well as to engage the SIGCSE community in this effort. Members of the task force will introduce key components of a draft report, including a summary of data science curricular efforts to date, results of ACM academic and industry surveys on data science, as well as the initial articulation of computing competencies for undergraduate programs in data science. This session should be of interest to all SIGCSE attendees, but especially faculty developing college-level curricula in Data Science.",Scopus,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,panel
2,3,Mikroyannidis_2019_smart_blockchain,smart blockchain badges for data science education,10.1109/FIE.2018.8659012,https://doi.org/10.1109/FIE.2018.8659012,A. Mikroyannidis; J. Domingue; M. Bachler; K. Quick,2019,"Blockchain technology has the potential to revolutionise education in a number of ways. In this paper, we explore the applications of Smart Blockchain Badges on data science education. In particular, we investigate how Smart Blockchain Badges can support learners that want to advance their careers in data science, by offering them personalised recommendations based on their learning achievements. This work aims at enhancing data science accreditation by introducing a robust system based on the Blockchain technology. Learners will benefit from a sophisticated, open and transparent accreditation system, as well as from receiving job recommendations that match their skills and can potentially progress their careers. As a result, this work contributes towards closing the data science skills gap by linking data science education to the industry.",IEEE,TRUE,conference article,NA,2018 IEEE Frontiers in Education Conference (FIE),NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,practitioners
2,3,Bhavya_2020_collective_development,collective development of large scale data science products via modularized assignments: an experience report,10.1145/3328778.3366961,https://doi.org/10.1145/3328778.3366961,"Bhavya, Boughoula A., Green A., Zhai C.X.",2020,"Many universities are offering data science (DS) courses to fulfill the growing demands for skilled DS practitioners. Assignments and projects are essential parts of the DS curriculum as they enable students to gain hands-on experience in real-world DS tasks. However, most current assignments and projects are lacking in at least one of two ways: 1) they do not comprehensively teach all the steps involved in the complete workflow of DS projects; 2) students work on separate problems individually or in small teams, limiting the scale and impact of their solutions. To overcome these limitations, we envision novel synergistic modular assignments where a large number of students work collectively on all the tasks required to develop a large-scale DS product. The resulting product can be continuously improved with students' contributions every semester. We report our experience with developing and deploying such an assignment in an Information Retrieval course. Through the assignment, students collectively developed a search engine for finding expert faculty specializing in a given field. This shows the utility of such assignments both for teaching useful DS skills and driving innovation and research. We share useful lessons for other instructors to adopt similar assignments for their DS courses.",Scopus,TRUE,conference article,NA,SIGCSE '20: Proceedings of the 51st ACM Technical Symposium on Computer Science Education,NA,"United States of America, United States of America, United States of America, United States of America",class activity example and pedagogical approach,TRUE,mixed,computer science,"The authors design a novel assignment whose goals are (1) building a large-scale DS product that motivates students to innovate collectively and iteratively; and (2) each student should comprehensively understand and work on most (if not all) steps involved in the complete workflow of the product. This assignment is modular, i.e. it is decomposed into sub-tasks that can be performed by a large number of students in parallel. They report their experience designing and deploying such sinergistic modular assignment in a in an upper-level course on introductory Text Mining and Information Retrieval class with more than 200 students. They detail 4 objectives, how the assignment was designed to meet the objectives and how the achievement of the objectives was measured through grading. The overall idea is to decompose the development of a novel application related to a data science course into
assignment modules and have students work collaboratively on
each module. Unlike existing DS assignments and projects which
have limited scope and impact, such assignments enable students
to collaboratively participate in and learn the complete workflow
of building a large scale novel DS product.","very interesting and ambitious assignment, very good way of presenting a novel assignment (how each goal relates to a design and to a grading method)","practical data science education, synergistic modular assignments, experience report",TRUE,NA
2,3,De_2022_toward_holistic,toward holistic data science education,10.52041/serj.v21i2.40,https://doi.org/10.52041/serj.v21i2.40,"De Veaux R., Hoerl R., Snee R., Velleman P.",2022,"Holistic data science  education  places  data  science  in  the  context  of real-worldapplications, emphasizing  the  purpose  for  which  data  were  collected,  the  pedigree  of  the  data,  the  meaning inherent in the data, the deploying of sustainable solutions, and the communication of key findings for  addressing the  original problem. As such it spends  less  emphasis on coding, computing, and high-end black-box algorithms. We argue that data science education must move toward a holistic curriculum,andweprovide examples and reasons for this emphasis.",Scopus,TRUE,journal article,Statistics Education Research Journal,NA,NA,"United States of America, United States of America, United States of America, United States of America",program example,FALSE,no data,data science,"The authors acknowledge the anxiety coming from within the field of data science regarding the lack of direction of the field. They argue that more  holistic data science education can help the field find that direction. Their proposed holistic approach applies the scientific method to each phase of the problem-solving life cycle, from problem definition through verification of solution sustainability. They detail each area that the proposed holistic approach should address.","With respect to teaching  'coding, machine learning algorithms, and big  data issues' they argue that: 'Yes, we should teach (...) But they should not be the main focus of a Data Science syllabus any more than calculus should be the main focus of a physics curriculum.'","Statistics education research, Data science, Data provenance, Human-machine interaction , Data analysis ethics, Problem-solving",TRUE,NA
3,2,Pieterman_2022_integration,integration of philosophy of science in biomedical data science education to foster better scientific practice,10.1007/s11191-022-00363-x,https://doi.org/10.1007/s11191-022-00363-x,"Pieterman-Bos A., van Mil M.H.W.",2022,"Biomedical data science education faces the challenge of preparing students for conducting rigorous research with increasingly complex and large datasets. At the same time, philosophers of science face the challenge of making their expertise accessible for scientists in such a way that it can improve everyday research practice. Here, we investigate the possibility of approaching these challenges together. In current and proposed approaches to biomedical data science education, we identify a dominant focus on only one aspect of conducting scientific research: understanding and using data, research methods, and statistical methods. We argue that this approach cannot solve biomedical data science’s challenge and we propose to shift the focus to four other aspects of conducting research: making and justifying decisions in research design and implementation, explaining their epistemic and non-epistemic effects, balancing varying responsibilities, and reporting scientific research. Attending to these aspects requires learning on different dimensions than solely learning to apply techniques (first dimension). It also requires learning to make choices (second dimension) and to understand the rationale behind choices (third dimension). This could be fostered by integrating philosophical training in biomedical data science education. Furthermore, philosophical training fosters a fourth dimension of learning, namely, understanding the nature of science. In this article, we explain how we identified the five aspects of conducting research and the four dimensions of learning, and why attending to the fourth dimension is essential. We discuss educational approaches to attend to all aspects and dimensions, and present initial design principles to implement these approaches.",Scopus,TRUE,journal article,Science & Education,NA,NA,"Netherlands, Netherlands",pedagogical approach and course example,TRUE,no data,biomedical,"They argue that integrating the course of Philosophy of Science in the course of Biomedical Data Science would increase the achievability of both subjects' learning goals (i.e. these disciplines are 'mutually reinforcing'). Their arguments are based on a review of the literature on approaches to biomedical data science education, through which they identify the dimensions that are lacking in the current way in which it is thought, and explaining how this lack could be remedied by integrating philosophical training in biomedical data science education.",NA,not specified,TRUE,NA
3,2,Ryan_2016_the_data,chapter 5 - the data science education and leadership landscape,10.1016/b978-0-12-803844-4.00005-4,https://doi.org/10.1016/b978-0-12-803844-4.00005-4,Ryan L,2016,"This primarily people-oriented chapter takes a next step forward from the previous chapter on big data ethics to discuss the current data science education landscape, and how we are preparing next-generation knowledge workers to be the new leaders of IT.",science direct,FALSE,book chapter,NA,NA,The Visual Imperative,United States of America,review of current state of data science education,FALSE,no data,business,"Discusses new data science programs (in academia and industry), how they relate to the characteristics of the new generations and what qualities leaders should have in the current world.","""Today's leaders must be hungry. They must be eager, growth-oriented, and willing to go the extra mile to make a difference. Leaders are not spoon-fed opportunities. "" McKinsey Global Institute (2014) study estimates that there will be 140,000�180,000 unfilled data scientist positions in the market in 2018.","data Science, education, data scientist university, academia, millennial, jobs, gender",TRUE,NA
2,3,Shao_2021_exploring_potential,exploring potential roles of academic libraries in undergraduate data science education curriculum development,10.1016/j.acalib.2021.102320,https://doi.org/10.1016/j.acalib.2021.102320,"Shao G,Quintana JP,Zakharov W,Purzer S,Kim E",2021,"Undergraduate data science education is receiving increasing interest in many higher education institutions in the U.S., with the proliferation of data and data related work and research. As an emerging interdisciplinary study field, data science curriculum is typically a collection of individual data science related courses from different schools and departments, most of which are teaching data science in a siloed fashion. Therefore, it is necessary to map the landscape of existing curricula and explore how academic libraries can collaborate and contribute to undergraduate data science education. In this study, we analyzed teaching content and topics of over 100 data science related courses at Purdue University to map the landscape and explore roles of academic libraries to support data science education curriculum. Our results indicate most existing courses focused on ‘hard-core’ scientific analytic principles, such as computer science, statistics, and domain-specific skills. Courses of data-oriented skills, such as data management, data ethics, and data communications were limited across disciplines. In addition, data science courses were more likely targeting STEM students at upper levels (3rd and 4th year students). Academic libraries can enrich data science education efforts, by supporting credit courses, certificate programs, and other co-curricular activities to provide learning opportunities to all students, particularly 1st and 2nd year students and non-STEM majors.",science direct,TRUE,journal article,The Journal of Academic Librarianship,NA,NA,"United States of America, United States of America, United States of America, United States of America, United States of America",review of current state of data science education and pedagogical approach,TRUE,qual,multidisciplinary,"The authors want to summarize the landscape of the undergraduate data science curriculum at Purdue University and identify the roles that academic libraries can have in undergraduate data science education curriculum development. They analyzed teaching content and topics of 111 data science related courses at Purdue University. They identify three principles related to the ‘hard science’ part of data science (Statistics, Computer Science, and Domain Expertise), and three principles related to the ‘data’ part of data science (Data management, Communication and Visualization, and Ethics). They assess which principles among the six are taught based on the analysis of course descriptions. They find that ‘Science’ related principles are the focal areas in the current course landscape. They identify gaps in the current undergraduate data science curriculum, where academic libraries have the opportunity to make an impact.","Thet found that STEM majors  (Science, Technology, Engineering, and Mathematics) offered 78.4% (87 out of 111) of the data science related courses at Purdue","Data science, Libraries, Curriculum, Education, Data management, College, Data ethics",TRUE,NA
