reviewer_1,reviewer_2,our_id,document_title,doi,document_link,authors,publication_year,abstract,database,open_access,new_doc_type,journal,conference,book,affiliation_country,content_area,research_question,data_collection_type,main_field,big_pic_notes,interesting_facts,keywords,keep,why_not_keep
4,3,Burr_2021_computational_skills,computational skills by stealth in introductory data science teaching,10.1111/test.12277,https://doi.org/10.1111/test.12277,"Burr W., Chevalier F., Collins C., Gibbs A.L., Ng R., Wild C.J.",2021,"In 2010, Nolan and Temple Lang proposed ìintegration of computing concepts into statistics curricula at all levels.î The unprecedented growth in data and emphasis on data science has provided an impetus to finally realizing full implementations of this in new statistics and data science programs and courses. We discuss a proposal for the stealth development of computational skills in students' exposure to introductory data science through careful, scaffolded exposure to computation and its power. Our intent is to support students, regardless of interest and self-efficacy in coding, in becoming data-driven learners, who are capable of asking complex questions about the world around them, and then answering those questions through the use of data-driven inquiry. Reference is made to the computer science and statistics consensus curriculum frameworks the International Data Science in Schools Project (IDSSP) recently published for secondary school data science or introductory tertiary programs, designed to optimize data-science accessibility.",Scopus,TRUE,journal article,Teaching Statistics,NA,NA,"Canada, Canada, Canada, Canada, Canada, New Zealand",class activity example and education technology,FALSE,no data,statistics,"Outlines how to introduce computing skills to data science students through `stealth` approaches, especially via GUI-based and high level interfaces. Statistics and data science students also need to know
that ìdo it yourselfî is a very bad practice when welltested
software exists. It is not just an inefficient use of
time, it also leads to large numbers of unnecessary errors","The purpose of the IDSSP is to promote and support
the teaching of introductory data science everywhere, not
to be fine-tuned for any particular country.","accessibility, computational thinking, data science education, statistical thinking, statistics education, teaching statistics",TRUE,NA
3,4,Chung_2022_machine_learning,machine learning to the rescue: ml-assisted framework for equity-driven education,10.1109/educon52537.2022.9766530,https://doi.org/10.1109/educon52537.2022.9766530,W. Chung; X. Zhang; Z. Ahmad; H. Sayadi; S. Rafatirad,2022,"Data Science has recently experienced a significant surge in producing undergraduate degree/certificate and course enrollments. This growth has resulted in straining program resources at many institutions and causing concern about how to most effectively respond to the rapidly growing demand and provide equal opportunities for all students to pursue their degree. The primary goal of this work is to provide an intelligent solution to automatically identify biases related to race and gender in the content of Data Science related courses such as Machine Learning (ML), Natural Language Processing (NLP), Data Mining, Data Analytics, and Knowledge Discovery just to name a few. While machine learning allows to build powerful predicting tools, it hasn‚Äôt been used sufficiently to detect biases rooted in gender and race in educational material. Hence, using effective machine learning techniques we aim to enhance the success rate of undergraduate students in Data Science education and programs while promoting engagement through identifying and mitigating potential gender and racial biases. To this end, we propose a novel bias detection approach which uses a combination of gender identification and sentiment classification for characterization of gender and race in educational contents. Our proposed framework can help educators and course developers to mitigate race and gender biases in their course materials and create an equitable learning experience for students of minority and under-represented groups.",IEEE,FALSE,conference article,NA,2022 IEEE Global Engineering Education Conference (EDUCON),NA,"United States of America, United States of America, United States of America, United States of America, United States of America",education technology,FALSE,no data,multidisciplinary,"Proposes a model framework for investigating classification and sentiment bias, useful in teaching data science. Their study detected that male
gender is more likely to be associated with ìscience engineerî,
ìscience technologyî, and ìphysical scienceî compared to
female.  r-Racial minority
groups were far less likely to receive positive sentiment than
ìWhitesî with ìAsiansî as outliers.",NA,"Gender and Racial Equity, Machine Learning, Data Science, Education",TRUE,NA
4,3,Fisler_2022_datacentricity_rethinking,data-centricity: rethinking introductory computing to support data science,10.1145/3531072.3535317,https://doi.org/10.1145/3531072.3535317,Fisler K.,2022,"On a growing number of campuses, data science programs offer introductory courses that include a non-trivial amount of programming. The content of such courses overlaps that of traditional computer science introductory courses, but neither course subsumes the other. This talk argues that a common introductory course that covers both data science and data structures supports students and provides curricular flexibility, while also bringing social impacts of computing into the early curriculum. We‚Äôll discuss both the design and implementation of such a course, including the programming language features that support it and the educational research that informs it.",Scopus,FALSE,conference article,NA,DataEd '22: 1st International Workshop on Data Systems Education,NA,United States of America,course example,FALSE,no data,multidisciplinary,This paper cites several computer science education papers with research studies and clear research questions,The cognitive science literature establishes that people construct new programs by recalling other programs they have written before and adapting the high-level solution structure to the current problem. We found that novices retrieve relevant prior programs using narrow criteria that can lead them down unproductive paths.,"computing education, data science education",TRUE,NA
3,4,Hagen_2020_teaching_undergraduate,teaching undergraduate data science for information schools,10.3233/efi-200372,https://doi.org/10.3233/efi-200372,Hagen L.,2020,"Using the Conway model of data science education as a guide, this paper introduces a model for undergraduate data science education for information schools. The core idea of the suggested model is that data science programs in information schools are unique due to their particular substantive expertise, which includes data management, information behavior, and ethics. This paper also suggests that, to create a data science program within an information school, it may be useful to expand curriculums by adding programming, statistics, and machine learning requirements.",Scopus,FALSE,journal article,Education for Information,NA,NA,United States of America,program example and course example,TRUE,no data,information science,NA,Asks the question of how informations schools' data science programs differ from other other disciplines' approaches.,"Data science, data science education, iSchools, information science, information science education, Conway, data science curriculum",TRUE,NA
4,3,Li_2021_exploring_interdisciplinary,exploring interdisciplinary data science education for undergraduates: preliminary results,10.1007/978-3-030-71292-1_43,https://doi.org/10.1007/978-3-030-71292-1_43,"Li F., Xiao Z., Ng J.T.D., Hu X.",2021,"This paper reports a systematic literature review on undergraduate data
science education followed by semi-structured interviews with two frontier data
science educators. Through analyzing the hosting departments, design principles,
curriculum objectives, and curriculum design of existing programs, our findings
reveal that (1) the data science field is inherently interdisciplinary and requires
joint collaborations between various departments. Multi-department administration
was one of the solutions to offer interdisciplinary training, but some problems
have also been identified in its practical implementation; (2) data science education
should emphasize hands-on practice and experiential learning opportunities to
prepare students for data analysis and problem-solving in real-world contexts; and
(3) although the importance of comprehensive coverage of various disciplines in
data science curricula is widely acknowledged, howto achieve an effective balance
between various disciplines and how to effectively integrate domain knowledge
into the curriculum still remain open questions. Findings of this study can provide
insights for the design and development of emerging undergraduate data science
programs.",Scopus,FALSE,conference article,NA,"iConference 2021: Diversity, Divergence, Dialogue",NA,"Hong Kong S.A.R., Hong Kong S.A.R., China, China",review of current state of data science education,TRUE,qual,multidisciplinary,"Survey paper which methodologically pulls a set of publications on data science education for undergraduates, and looks at disciplines, learning outcomes, prerequisites etc. for undergraduate data science courses. Multi-department administration was one of the solutions to offer
interdisciplinary training, but some problems has also been identified in its practical
implementation.",NA,"Data science education, Undergraduate, Interdisciplinarity, Curriculum design",TRUE,NA
4,3,Liu_2020_how,how to use stock data for data science education: a simulated trading platform in classroom,10.1109/csei50228.2020.9142534,https://doi.org/10.1109/csei50228.2020.9142534,Y. Liu; X. Wei,2020,"The research hereby presents an innovate practice to enhance data science education by integrating an in-house-developed stock trading platform. Students of Data Science area usually face the difficulty of understanding the complex of real-time data and sophisticated statistical indicators and models. Another difficulty is students are easy to lost interests and patience during the process of learning programming and analysis process, such as R-language. Stock market, as a huge data source and an important data disciplinary, is comparatively easy to attract student attentions. Thus, we developed an intuitive trading platform for education purpose. The platform contains three components: an exploring window, a control windows and a report window. The exploring window shows current and historical stock price trends and related indicators. Several representative stocks from different sectors can be picked and specific time frames can be assigned. The control window allows students to develop their own trading strategies. A trading strategy can be created by either intuitive way, or through single or combinations of indicators, or be built generically though plug-in R-programing module. The report window demonstrates the expected return of a stock in a specific time frame through a specific strategy. A more comprehensive report with detailed transaction information is also provided for back-testing purpose. Students are involved into the development of the software and get experience for R-programming. Preliminary version of the product has been tested and surveyed in a data science classroom. About ten junior Data Science students have practiced and provided feedback. The positive survey results show the feasibility of the approach. In the future, artificial intelligent component will be integrated into the platform.",IEEE,FALSE,conference article,NA,2020 IEEE 2nd International Conference on Computer Science and Educational Informatization (CSEI),NA,"United States of America, United States of America",education technology,FALSE,quant,data science,Using historic stock prices to teach data science,NA,"Data Science, Trading Platform, R Programming",TRUE,NA
3,4,Manzella_2022_six,chapter six - how can ocean science observations contribute to humanity?,10.1016/b978-0-12-823427-3.00005-0,https://doi.org/10.1016/b978-0-12-823427-3.00005-0,"Manzella GM,Emery W",2022,"Experience is needed to prepare young ocean researchers to work in interdisciplinary environments and to teach them how to deal with complex processes. Such experience can be provided in courses/internships aimed at preparing qualified personnel to work on solution-oriented projects. These lessons are designed to deepen understanding in particular elements of ocean data science education: oceanography as a science in evolution, mutual understanding, the enrichment of data, and the process of moving from data to information. Such lessons combine the history of ocean science with ocean data methodologies and technologies, data quality elements, ‚Äúfitness for use‚Äù/‚Äúfitness for purpose‚Äù and analyses. The approach consists of a significant mentoring program aimed at strengthening ‚Äúthinking skills‚Äù‚Äîcritical and creative thinking‚Äîand therefore the ability to solve complex problems.",science direct,FALSE,book chapter,NA,NA,"Ocean Science Data: Collection, Management, Networking, and Services","Italy, United States of America",call to action,FALSE,no data,oceanography and interdisciplinary,"Student should work together across disciplines, ask hard questions about data quality/processing, and tie learning to real-world experiences",NA,"Data management, Interdisciplinarity, Knowledge, Mutual understanding, Ocean data science, Solution-oriented education",TRUE,NA
3,4,Perach_2022_blendedlearning_program,a blended-learning program for implementing a rigorous machine-learning curriculum in high-schools,10.1145/3491140.3528291,https://doi.org/10.1145/3491140.3528291,"Perach S., Alexandron G.",2022,"AI, and, more specifically, deep learning, is profoundly impacting our industries and societies [1]. In recent years, machine learning (ML) 's surging impact has sparked discourse about the importance of AI education for young people, and in recent years, several initiatives and projects pursuing the mission of K-12 AI education have emerged. In 2020 Israel's Ministry of Education (MoE) approved a new comprehensive and rigorous ML curriculum targeting 11 and 12th-grade pupils majoring in computer science (CS). The curriculum is meant to be taught by the existing CS teacher workforce. However, since ML theory and practice are fundamentally different from traditional CS [2], implementing this thorough ML curriculum poses substantial challenges in developing an effective teaching workforce to deliver it. In this research, we suggest a solution for this challenge in the form of a blended-learning (BL) program. The online component of this program is based mainly on Coursera's Deep Learning Specialization MOOCs series [3]. The BL program, enhanced with pedagogical training, is also used for the professional development (PD) of the teachers who deliver the program. Out of fourteen CS teachers who participated in the PD in the summer of 2021, ten teach the BL program this year to 273 high-school pupils. Initial results demonstrate the achievement of the curriculum learning goals and provide compelling preliminary evidence that this program enables CS teachers who are new to machine learning to teach this thorough curriculum effectively",Scopus,NA,conference paper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE,K-12
3,4,Robeva_2020_changing,changing the nature of quantitative biology education: data science as a driver,10.1007/s11538-020-00785-0,https://doi.org/10.1007/s11538-020-00785-0,"Robeva RS, Jungck JR, Gross LJ.",2020,"We live in a data-rich world with rapidly growing databases with zettabytes of data. Innovation, computation, and technological advances have now tremendously accelerated the pace of discovery, providing driverless cars, robotic devices, expert healthcare systems, precision medicine, and automated discovery to mention a few. Even though the definition of the term data science continues to evolve, the sweeping impact it has already produced on society is undeniable. We are at a point when new discoveries through data science have enormous potential to advance progress but also to be used maliciously, with harmful ethical and social consequences. Perhaps nowhere is this more clearly exemplified than in the biological and medical sciences. The confluence of (1) machine learning, (2) mathematical modeling, (3) computation/simulation, and (4) big data have moved us from the sequencing of genomes to gene editing and individualized medicine; yet, unsettled policies regarding data privacy and ethical norms could potentially open doors for serious negative repercussions. The data science revolution has amplified the urgent need for a paradigm shift in undergraduate biology education. It has reaffirmed that data science education interacts and enhances mathematical education in advancing quantitative conceptual and skill development for the new generation of biologists. These connections encourage us to strive to cultivate a broadly skilled workforce of technologically savvy problem-solvers, skilled at handling the unique challenges pertaining to biological data, and capable of collaborating across various disciplines in the sciences, the humanities, and the social sciences. To accomplish this, we suggest development of open curricula that extend beyond the job certification rhetoric and combine data acumen with modeling, experimental, and computational methods through engaging projects, while also providing awareness and deep exploration of their societal implications. This process would benefit from embracing the pedagogy of experiential learning and involve students in open-ended explorations derived from authentic inquiries and ongoing research. On this foundation, we encourage development of flexible data science initiatives for the education of life science undergraduates within and across existing models.",pubmed,TRUE,journal article,Bulletin of Mathematical Biology,NA,NA,"United States of America, United States of America, United States of America",call to action,TRUE,no data,biology,"Discusses the need for data science in undergraduate biology education, overviews the intersection between these topics and the emerging need, and suggest how these two topic areas might be integrated. They suggested a development of open curricula that extend beyond the
job certification rhetoric and combine data acumen with modeling, experimental, and
computational methods through engaging projects, while also providing awareness
and deep exploration of their societal implications.",NA,"Mathematical biology education, Data science education, Education reform, Big data",TRUE,NA
3,4,Shapiro_2020_reshape,re-shape: a method to teach data ethics for data science education,10.1145/3313831.3376251,https://doi.org/10.1145/3313831.3376251,"Shapiro B.R., Meng A., O'Donnell C., Lou C., Zhao E., Dankwa B., Hostetler A.",2020,"Data has become central to the technologies and services that human-computer interaction (HCI) designers make, and the ethical use of data in and through these technologies should be given critical attention throughout the design process. However, there is little research on ethics education in computer science that explicitly addresses data ethics. We present and analyze Re-Shape, a method to teach students about the ethical implications of data collection and use. Re-Shape, as part of an educational environment, builds upon the idea of cultivating care and allows students to collect, process, and visualize their physical movement data in ways that support critical reflection and coordinated classroom activities about data, data privacy, and human-centered systems for data science. We also use a case study of Re-Shape in an undergraduate computer science course to explore prospects and limitations of instructional designs and educational technology such as Re-Shape that leverage personal data to teach data ethics.",Scopus,TRUE,conference article,NA,CHI '20: Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems,NA,"United States of America, United States of America, United States of America, United States of America, United States of America, United States of America, United States of America",education technology and class activity example,TRUE,qual,computer science,This paper focuses on an activity where students track their GPS location over days and analyze it as an exercise in data colleciton and processing ethics and data privacy,NA,"Data ethics; care ethics, data science education, information visualization, data literacy, data privacy, computer science education, re-shape, interaction geography slicer",TRUE,NA
