our_id,document_link,reviewer_1,reviewer_2,first_published
Alexander_2022_beyond_ethics,https://doi.org/10.5642/jhummath.OCYS6929,1,2,2022
Cuadrado_2021_classification,https://doi.org/10.1109/educon46332.2021.9453917,2,1,2021
Kross_2019_practitioners_teaching,https://doi.org/10.1145/3290605.3300493,2,1,2019
Yamamoto_2021_development,https://doi.org/10.18178/ijiet.2021.11.4.1505,2,1,2021
Doudesis_2022_data_science,https://doi.org/10.1016/j.ijmedinf.2021.104668,1,2,2021
Raj_2019_empirical_approach,https://doi.org/10.1145/3344429.3372503,1,2,2019
Mike_2020_interdisciplinary_education,https://doi.org/10.1109/EDUCON45650.2020.9125200,1,2,2020
Bile_2020_comparative_study,https://doi.org/10.1109/compsac48688.2020.00030,1,4,2020
Demchenko_2017_customisable_data,https://doi.org/10.1109/cloudcom.2017.59,4,1,2017
Dill_2021_integrated_modular,https://doi.org/10.1371/journal.pcbi.1008661,1,4,2021
Geigle_2018_clads,https://doi.org/10.1145/3197091.3197135,1,4,2018
Miah_2020_designbased_research,https://doi.org/10.1007/s10639-019-09981-5,1,4,2019
Ruckcharti_2017_hadoop,https://doi.org/10.1145/3167020.3167032,4,1,2017
Takemura_2018_new_era,https://doi.org/10.1007/s42081-018-0005-7,4,1,2018
Vance_2021_using_teambased,https://doi.org/10.1080/26939169.2021.1971587,1,4,2021
Zakaria_2022_data_science,https://doi.org/10.1177/03400352221113362,4,1,2022
Anslow_2016_datathons,https://doi.org/10.1145/2839509.2844568,1,5,2016
Blair_2021_establishing_abet,https://doi.org/10.1145/3408877.3432445,5,1,2021
Bornschlegl_2016_ivisbigdata,https://doi.org/10.1007/978-3-319-50070-6_1,1,5,2016
Dinov_2019_quant_data,https://doi.org/10.1007/s41060-018-0138-6,1,5,2018
Engel_2017_statistical_literacy,https://doi.org/10.52041/serj.v16i1.213,1,5,2017
Ionascu_2021_ds_lab,https://doi.org/10.1109/synasc51798.2020.00056,5,1,2021
Tucker_2022_teaching_statistics,https://doi.org/10.1080/26939169.2022.2089410,5,1,2022
Suthar_2021_real_data,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124546523&partnerID=40&md5=ed00569a6049c4f397399743b6de40ef,5,1,2021
Wiktorski_2017_quantitative,https://doi.org/10.1109/cloudcom.2016.0109,1,5,2017
Zhang_2020_self,https://repository.isls.org/handle/1/6745,5,1,2020
Belloum_2019_bridging,https://doi.org/10.1002/cpe.5200,3,1,2019
Davis_2020_ethics,https://doi.org/10.18260/1-2--34589,3,1,2020
Demchenko_2021_edison_data,https://doi.org/10.1109/educon46332.2021.9453997,3,1,2021
Green_2019_livedatalab,https://doi.org/10.1145/3330430.3333665,1,3,2019
Rao_2019_data_science,https://doi.org/10.1109/ISECon.2019.8881970,3,1,2019
Sorensen_2018_evaluating_computational,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103846829&partnerID=40&md5=0ad9e8c92019d355ad332a73d555acf6,3,1,2018
Vance_2022_integrating,https://doi.org/10.52041/serj.v21i2.42,1,3,2022
