our_id,document_link,reviewer_1,reviewer_2,first_published
Bile_2020_comparative_study,https://doi.org/10.1109/compsac48688.2020.00030,1,4,2020
Demchenko_2017_customisable_data,https://doi.org/10.1109/cloudcom.2017.59,4,1,2017
Dill_2021_integrated_modular,https://doi.org/10.1371/journal.pcbi.1008661,1,4,2021
Geigle_2018_clads,https://doi.org/10.1145/3197091.3197135,1,4,2018
Miah_2020_designbased_research,https://doi.org/10.1007/s10639-019-09981-5,1,4,2019
Ruckcharti_2017_hadoop,https://doi.org/10.1145/3167020.3167032,4,1,2017
Takemura_2018_new_era,https://doi.org/10.1007/s42081-018-0005-7,4,1,2018
Vance_2021_using_teambased,https://doi.org/10.1080/26939169.2021.1971587,1,4,2021
Zakaria_2022_data_science,https://doi.org/10.1177/03400352221113362,4,1,2022
Allen_2021_experiential_learning,https://doi.org/10.1145/3408877.3432536,4,2,2021
Banadaki_2022_enabling_data,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138273525&partnerID=40&md5=4bcc15cec803e71371d05123abe0108f,4,2,2022
Hicks_2019_guide,https://doi.org/10.1080/00031305.2017.1356747,4,2,2018
Hoyt_2020_overview,https://doi.org/10.1093/jamiaopen/ooy040,4,2,2018
Konkol'ová_2018_active_learning,https://doi.org/10.1109/ICETA.2018.8572219,2,4,2018
Rao_2018_milo,https://doi.org/10.1109/VLHCC.2018.8506504,4,2,2018
Schmitt_2021_evaluation_edisons,https://doi.org/10.3934/fods.2021031,4,2,2021
Zhang_2017_datalab_introducing,https://doi.org/10.1109/icse-seet.2017.7,4,5,2017
Bilgin_2022_work_integrated,https://doi.org/10.52041/serj.v21i2.26,5,4,2022
Bonnell_2022_challenges,https://doi.org/10.1109/mc.2021.3128734,4,5,2022
Ceccucci_2014_effectiveness,http://isedj.org/2015-13/n4/ISEDJv13n4p64.html,4,5,2015
Demchenko_2019_designing_customisable,https://doi.org/10.1145/3322134.3322143,5,4,2019
Demchenko_2020_edison_data,https://doi.org/10.1109/escience.2019.00076,5,4,2020
Donoghue_2021_teaching_creative,https://doi.org/10.1080/10691898.2020.1860725,4,5,2021
Nair_2020_metadata,https://doi.org/10.1145/3395245.3396409,4,5,2020
Romney_2019_curriculum,https://doi.org/10.1109/ithet46829.2019.8937373,4,5,2019
Burr_2021_computational_skills,https://doi.org/10.1111/test.12277,4,3,2021
Chung_2022_machine_learning,https://doi.org/10.1109/educon52537.2022.9766530,3,4,2022
Fisler_2022_datacentricity_rethinking,https://doi.org/10.1145/3531072.3535317,4,3,2022
Hagen_2020_teaching_undergraduate,https://doi.org/10.3233/efi-200372,3,4,2020
Li_2021_exploring_interdisciplinary,https://doi.org/10.1007/978-3-030-71292-1_43,4,3,2021
Liu_2020_how,https://doi.org/10.1109/csei50228.2020.9142534,4,3,2020
Manzella_2022_six,https://doi.org/10.1016/b978-0-12-823427-3.00005-0,3,4,2021
Robeva_2020_changing,https://doi.org/10.1007/s11538-020-00785-0,3,4,2020
Shapiro_2020_reshape,https://doi.org/10.1145/3313831.3376251,3,4,2020
