our_id,document_link,reviewer_1,reviewer_2,first_published
Anslow_2016_datathons,https://doi.org/10.1145/2839509.2844568,1,5,2016
Blair_2021_establishing_abet,https://doi.org/10.1145/3408877.3432445,5,1,2021
Bornschlegl_2016_ivisbigdata,https://doi.org/10.1007/978-3-319-50070-6_1,1,5,2016
Dinov_2019_quant_data,https://doi.org/10.1007/s41060-018-0138-6,1,5,2018
Engel_2017_statistical_literacy,https://doi.org/10.52041/serj.v16i1.213,1,5,2017
Ionascu_2021_ds_lab,https://doi.org/10.1109/synasc51798.2020.00056,5,1,2021
Tucker_2022_teaching_statistics,https://doi.org/10.1080/26939169.2022.2089410,5,1,2022
Suthar_2021_real_data,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124546523&partnerID=40&md5=ed00569a6049c4f397399743b6de40ef,5,1,2021
Wiktorski_2017_quantitative,https://doi.org/10.1109/cloudcom.2016.0109,1,5,2017
Zhang_2020_self,https://repository.isls.org/handle/1/6745,5,1,2020
Hazzan_2021_journal,https://doi.org/10.1145/3469281,2,5,2021
Price_2020_challenges,https://doi.org/10.1109/cic48465.2019.00015,5,2,2020
Hassan_2019_embedding_data,https://doi.org/10.1109/EIT.2019.8833753,5,2,2019
Haynes_2019_integrating_data,https://doi.org/10.1145/3349266.3351417,2,5,2019
Kakeshita_2022_development,https://doi.org/10.1007/978-3-030-97986-7_13,5,2,2022
Oliver_2021_undergraduate_data,https://doi.org/10.7717/peerj-cs.441,2,5,2021
Zheng_2022_pressure_test,https://doi.org/10.1145/3537674.3554748,5,2,2022
Zhang_2017_datalab_introducing,https://doi.org/10.1109/icse-seet.2017.7,4,5,2017
Bilgin_2022_work_integrated,https://doi.org/10.52041/serj.v21i2.26,5,4,2022
Bonnell_2022_challenges,https://doi.org/10.1109/mc.2021.3128734,4,5,2022
Ceccucci_2014_effectiveness,http://isedj.org/2015-13/n4/ISEDJv13n4p64.html,4,5,2015
Demchenko_2019_designing_customisable,https://doi.org/10.1145/3322134.3322143,5,4,2019
Demchenko_2020_edison_data,https://doi.org/10.1109/escience.2019.00076,5,4,2020
Donoghue_2021_teaching_creative,https://doi.org/10.1080/10691898.2020.1860725,4,5,2021
Nair_2020_metadata,https://doi.org/10.1145/3395245.3396409,4,5,2020
Romney_2019_curriculum,https://doi.org/10.1109/ithet46829.2019.8937373,4,5,2019
Betz_2020_next_wave,https://doi.org/10.1002/sam.11476,3,5,2020
Bhavya_2021_scaling_up,https://doi.org/10.1145/3430895.3460168,3,5,2021
Farahi_2018_michigan_data,https://doi.org/10.1109/DSW.2018.8439915,3,5,2018
Song_2016_big_data,https://doi.org/10.1111/exsy.12130,3,5,2015
