source,doc_type,source_discipline,reason_source_discipline
2018 IEEE Data Science Workshop (DSW),conferences,broad,"""The 2018 IEEE Data Science Workshop is a new workshop that aims to bring together researchers in academia and industry to share the most recent and exciting advances in data science theory and applications. In particular, the event will gather researchers and practitioners in various academic disciplines of data science, including signal processing, statistics, machine learning, data mining and computer science, along with experts in academic and industrial domains, such as personalized health and medicine, earth and environmental science, applied physics, finance and economics, intelligent manufacturing."" https://ieeedsw.signalprocessingsociety.org/2018/"
2019 15th International Conference on eScience (eScience),conferences,broad,"""eScience 2019 welcomes the international community of researchers and software engineers from all disciplines to present and discuss their scientific practices involving data science and computing. Researchers from the humanities to physics, engaged in collaborative data- or compute-intensive research, are invited to attend. The objective of the eScience Conference is to promote innovation in collaborative, computationally- or data-intensive research across all disciplines, throughout the research lifecycle."" https://escience2019.sdsc.edu/"
DataEd '22: 1st International Workshop on Data Systems Education,conferences,broad,"""Both the DB and CS Education communities, and adjacent communities, e.g., in Statistics Education, have complementary perspectives and experiences to share with each other. There is much to be gained by bringing the communities more closely together: to share findings, to cross-pollinate perspectives and methods, and to shed light on opportunities for mutual progress in data systems education. The DataEd workshop is a dedicated venue for these communities to come together, for presentation and discussion of data management systems education experiences and research.."" https://dataedinitiative.github.io/DataEd22/"
ICBDE'19: Proceedings of the 2019 International Conference on Big Data and Education,conferences,broad,"""The conference ICBDE 2019...More than 50 participants joint and shared their latest research with the fields of Data Mining and Analysis, Education Innovation, Digital Technologies in Education, Information Technology and Big Data Applications, etc."" https://www.icbde.org/2019.html"
2016 IEEE 8th International Conference on Cloud Computing Technology and Science (CloudCom),conferences,computer science,""" CloudCom is the premier conference on Cloud Computing worldwide, attracting researchers, developers, users, students and practitioners from the fields of big data, systems architecture, services research, virtualization, security and privacy, high performance computing, always with an emphasis on how to build cloud computing platforms with real impact."" https://2016cloudcom.ux.uis.no/"
2017 IEEE International Conference on Cloud Computing Technology and Science (CloudCom),conferences,computer science,""" CloudCom is the premier conference on Cloud Computing worldwide, attracting researchers, developers, users, students and practitioners from the fields of big data, systems architecture, services research, virtualization, security and privacy, high performance computing, always with an emphasis on how to build cloud computing platforms with real impact."" https://2016cloudcom.ux.uis.no/"
2018 IEEE Symposium on Visual Languages and Human-Centric Computing,conferences,computer science,"""The IEEE Symposium on Visual Languages and Human-Centric Computing (VL/HCC) is the premier international forum for research on this topic. Established in 1984, the mission of the conference is to support the design, theory, application, and evaluation of computing technologies and languages for programming, modeling, and communicating, which are easier to learn, use, and understand by people."" https://vlhcc18.github.io/"
2020 22nd International Symposium on Symbolic and Numeric Algorithms for Scientific Computing (SYNASC),conferences,computer science,"""International Symposium on Symbolic and Numeric Algorithms for Scientific Computing is an international conference that aims to stimulate the interaction between the two scientific communities of symbolic and numeric computing and to exhibit interesting applications of the areas both in theory and in practice. "" https://synasc.ro/2020/"
2020 IEEE 2nd International Conference on Computer Science and Educational Informatization (CSEI),conferences,computer science,"""The IEEE CSEI 2019 is a platform to bring together researchers, educators from academia in all interdisciplinary areas of Social Computing"" http://r.csei.dbw.org.cn/?sid=1438&mid=378&v=100"
"2020 IEEE 44th Annual Computers, Software, and Applications Conference",conferences,computer science,"""COMPSAC is the IEEE Computer Society Signature Conference on Computers, Software and Applications. It is a major international forum for academia, industry, and government to discuss research results and advancements, emerging challenges, and future trends in computer and software technologies and applications."" https://conferences.computer.org/compsac/#!/home"
IFIP Advances in Information and Communication Technology,conferences,computer science,"""The principal aim of the IFIP AICT series is to encourage education and the dissemination and exchange of information about all aspects of computing."" https://www.springer.com/series/6102?srsltid=AfmBOoqJdUX8_oCyibIdEnRR-Y7AdKIAcNMHeU_kRJiPZEN-PDyA_6yS"
Proceedings of the 2019 CHI conference on human factors in computing systems,conferences,computer science,"""The ACM CHI Conference on Human Factors in Computing Systems is the premier international conference of Human-Computer Interaction"" https://chi2019.acm.org/"
International Conference on Artificial Intelligence in Education. 2022,conferences,computer science education,"""AIED is the next in a longstanding series of international conferences for high quality research in intelligent systems and cognitive science for educational computing applications"" https://aied2022.webspace.durham.ac.uk/"
ITiCSE 2018: Proceedings of the 23rd Annual ACM Conference on Innovation and Technology in Computer Science Education,conferences,computer science education,"Clearly expressed in title and sponsor ""ITiCSE 2018, the 23rd Annual Conference on Innovation and Technology in Computer Science Education, will take place in Larnaca, Cyprus, hosted by University of Central Lancashire, Cyprus. The event is sponsored by the ACM Special Interest Group on Computer Science Education (SIGCSE)."" https://iticse.acm.org/ITiCSE2018/"
ITiCSE-WGR '19: Working Group Reports on Innovation and Technology in Computer Science Education,conferences,computer science education,"""A Working Group comprises a team of typically 5 to 10 researchers who work together on a project related to computing education."" https://sigcse.org/events/workinggroups/"
Proceedings of the International Conference on Computational Thinking Education 2018,conferences,computer science education,"""International Conference on Computational Thinking Education 2018 (CTE2018) is the second international conference organized by the CoolThink@JC Programme for worldwide sharing of ideas as well as dissemination of findings and outcomes on the implementation of computational thinking development"" https://www.eduhk.hk/cte2018/"
SIGCSE '16: Proceedings of the 47th ACM Technical Symposium on Computing Science Education,conferences,computer science education,"""ACM SIGCSE is the leading global community of professionals, researchers, educators, teachers, and students interested in understanding and improving computing education."" https://sigcse.org/about/profile.html"
SIGCSE '20: Proceedings of the 51st ACM Technical Symposium on Computer Science Education,conferences,computer science education,"""ACM SIGCSE is the leading global community of professionals, researchers, educators, teachers, and students interested in understanding and improving computing education."" https://sigcse.org/about/profile.html"
SIGCSE '21: Proceedings of the 52nd ACM Technical Symposium on Computer Science Education,conferences,computer science education,"""ACM SIGCSE is the leading global community of professionals, researchers, educators, teachers, and students interested in understanding and improving computing education."" https://sigcse.org/about/profile.html"
CHI '20: Proceedings of the 2020 CHI Conference on Human Factors in Computing Systems,conferences,computer science,"""The ACM CHI Conference on Human Factors in Computing Systems is the premier international conference of Human-Computer Interaction. "" https://chi2020.acm.org/"
14th International Conference of the Learning Sciences (ICLS),conferences,education,"""The International Conference of the Learning Sciences (ICLS), held bi-annually from 1992 to 2020, hosted keynotes, symposia, workshops, panels, submitted paper sessions, poster sessions, and demos covering timely and important issues and reporting research findings across the entire field of the learning sciences."" https://www.isls.org/annual-meeting/icls/"
2017 IEEE/ACM 39th International Conference on Software Engineering: Software Engineering Education and Training Track,conferences,engineering,"""For the first time in its 42 years of history, ICSE – the premier conference in software engineering sponsored by ACM and IEEE CS is coming to Latin America. Please join us in Buenos Aires in May 20-28, 2017 to present, discuss and be inspired at the event where top minds in software engineering research, practice and education discuss the most recent innovations, trends, and experiences."" https://www.aconf.org/conf_104700.html"
2019 IEEE International Conference on Electro Information Technology (EIT),conferences,engineering,"""The 2025 IEEE International Conference on Electro/Information Technology (EIT) sponsored by IEEE Region 4 (R4) and hosted by Valparaiso University, is committed to advancing research and fostering innovation in the fields of electrical and computer engineering."" from the website the 2025 conference: https://www.eit-conference.org/."
