our_id,document_link,reviewer_1,reviewer_2,content_area,audience_discipline,reason_audience_discipline,observational_unit,department,reason_department,deadline
Doudesis_2022_data_science,https://doi.org/10.1016/j.ijmedinf.2021.104668,1,2,course example and pedagogical approach,medicine,repeated stated,medical students,not specified,The department(s) conducting the research were never specified.,22-Oct
Kross_2019_practitioners_teaching,https://doi.org/10.1145/3290605.3300493,2,1,review of current state of data science education,computer science,"Describes data science as a ""form of computing and end-user programing education""",practitioner-instructors of teaching data science,not applicable,The department(s) conducting the research were never specified.,22-Oct
Belloum_2019_bridging,https://doi.org/10.1002/cpe.5200,3,1,education technology and review of current state of data science education,broad,Analysis of documents was not limited to any specific disciplines.,job ad related documents; program descriptions,not applicable,The department(s) conducting the research were never specified.,22-Oct
Bile_2020_comparative_study,https://doi.org/10.1109/compsac48688.2020.00030,1,4,review of current state of data science education,informatics,The point of the paper is to compare ds and informatics programs,data science and informatics programs,not applicable,The department(s) conducting the research were never specified.,22-Oct
Takemura_2018_new_era,https://doi.org/10.1007/s42081-018-0005-7,4,1,review of current state of data science education,statistics,Almost used statistics and data science interchangeably,not applicable,data science,That is the name of the department they discuss establishing,22-Oct
Zhang_2020_self,https://repository.isls.org/handle/1/6745,5,1,pedagogical approach,broad,"Even though they are in an education department teaching students majoring in educational technology, through their introduction and discussion they are addressing the data science education community. They are not addressing those who teach data science within education.",educational technology undergraduate students,not specified,The department(s) conducting the research were never specified.,22-Oct
Alexander_2022_beyond_ethics,https://doi.org/10.5642/jhummath.OCYS6929,1,2,pedagogical approach,broad,The talk about ethics in all data science education.,data science instructors,not applicable,The department(s) conducting the research were never specified.,27-Oct
Cuadrado_2021_classification,https://doi.org/10.1109/educon46332.2021.9453917,2,1,education technology,broad,"Their work is for data visualizing education broadly, not specific to any discipline",data visualization software,not applicable,The department(s) conducting the research were never specified.,27-Oct
Davis_2020_ethics,https://doi.org/10.18260/1-2--34589,3,1,review of current state of data science education,broad,"Studied exisiting codes broadly, and specifically in stats and cs associations","reports, developed from multidisciplinary teams, with curriculum recommendations for data science, focusing on their coverage of teaching ethics",not applicable,due to content area,27-Oct
Dill_2021_integrated_modular,https://doi.org/10.1371/journal.pcbi.1008661,1,4,program example,mircobiology,clearly stated in title,NA,"applied mathematics; botany; centre for teaching, learning & Technology; computer science; electrical & computer engineering; food science; mathematics; medical genetics; microbiology & immunology; statistics",listed in figure 3,27-Oct
Demchenko_2017_customisable_data,https://doi.org/10.1109/cloudcom.2017.59,4,1,education technology and program example,braod,They are trying to be general to all data science,not applicable,not applicable,The department(s) conducting the research were never specified.,27-Oct
Anslow_2016_datathons,https://doi.org/10.1145/2839509.2844568,1,5,extra curricular activity example,computer science,"Describes data sciences as being ""a relatively new area within computer science"". Their focus is on data literacy of computer science students.",Not applicable,computer science,The computer science departmnt organized the datathons and even hosted one in their department.,27-Oct
Bornschlegl_2016_ivisbigdata,https://doi.org/10.1007/978-3-319-50070-6_1,1,5,education technology,computer science,The paper focused on the infastructure of the tool in depth using computer science terminology.,Not applicable,not applicable,The department(s) conducting the research were never specified.,27-Oct
Blair_2021_establishing_abet,https://doi.org/10.1145/3408877.3432445,5,1,guidelines,computer science; engineering,"They are trying to establish accreditation criteria for all bachelor-level data science programs that emphasize computing skills, they are not writing guidelines for all. ""For example, Data Science programs with heavy emphasis on mathematics or statistics might more appropriately be accredited by the Applied and Natural Sciences Accreditation Commission (ANSAC)""",Not applicable,not applicable,Due to content area,27-Oct
Green_2019_livedatalab,https://doi.org/10.1145/3330430.3333665,1,3,education technology,broad,"They are just talking about software for data science education generally, not from developers view. ""LiveDataLab to easily support many more courses and provide learners hands-on data science education at the largest scale possible""",not applicable,not specified,They didn't specify who developed and tested the tech,3-Nov
Geigle_2018_clads,https://doi.org/10.1145/3197091.3197135,1,4,education technology,computer science,The paper talks about the infastructure and launching of a software from a developer viewpoint.,students in a computer science class,computer science,The department code for the classes they launched this in is CS,3-Nov
Miah_2020_designbased_research,https://doi.org/10.1007/s10639-019-09981-5,1,4,program example and review of current state of data science education,business,Stated in title,"Senior academics, industry professionals, information systems students",not applicable,Nothing implemented in a department,3-Nov
Dinov_2019_quant_data,https://doi.org/10.1007/s41060-018-0138-6,1,5,call to action,broad,"They are writing to data science educators broadly. They even say ""Data science pitfalls include equating it disciplinarily to one specific field""",not applicable,not applicable,Due to content area,3-Nov
Engel_2017_statistical_literacy,https://doi.org/10.52041/serj.v16i1.213,1,5,call to action,statistics,In their abstract they make it explicit that they are talking to statistics educators,not applicable,not appliable,Due to content area,3-Nov
Yamamoto_2021_development,https://doi.org/10.18178/ijiet.2021.11.4.1505,2,1,class activity example,broad,"They don't mention any specific field, they say their work is for teaching an advanced topic in data science",fifth-grade students (equivalent to second year of university) in information engineering-related department and two advanced course students (equivalent to fourth year of university),Not specified,They didn't specify who was testing,3-Nov
Demchenko_2021_edison_data,https://doi.org/10.1109/educon46332.2021.9453997,3,1,program example,broad,"No specific other discipline. ""this is a framework developed for different types of learners and target application domains.""",not applicable,not applicable,Due to content area,3-Nov
Ruckcharti_2017_hadoop,https://doi.org/10.1145/3167020.3167032,4,1,education technology,computer science,They are focused on talking about this software from a developer point of view,Students in a Big Data Analytics course,not specified,We only know what class is was implemented in within the School of Information Technology,3-Nov
Ionascu_2021_ds_lab,https://doi.org/10.1109/synasc51798.2020.00056,5,1,education technology,computer science,They are talking about the educational technology for developers,Not applicable,not specified,Did not talk about the department that developed the DS Notebook,3-Nov
Mike_2020_interdisciplinary_education,https://doi.org/10.1109/EDUCON45650.2020.9125200,1,2,pedagogical approach,electrical engineering,"""The research purpose is to develop and evaluate an interdisciplinary intervention program on biomedical signal processing for undergraduate electrical engineering students.""","""undergraduate electrical engineering students. Two are high school students who are participating in the research group as part of a K-12 excellence program. The other eight are undergraduates in the Department of Electrical Engineering: six students are in their 7th semester and two are in their 9th semester. Only one student has previous experience in image processing. None of the participants have previous experience in medical imaging analysis.""",electrical engineering,"""The research is currently taking place at the biomedical image processing lab at the Technion's Faculty of Electrical Engineering,""",10-Nov
Raj_2019_empirical_approach,https://doi.org/10.1145/3344429.3372503,1,2,review of current state of data science education,data engineering,"The purpose of the paper is to define, compare and contrast data science and data engineering","Stack Exchange posts in the Cross Validated branch; bachelor programs categorized by Studyportals as ""data science""; UK job ads on Indeed seeking data scientists; exisiting industry wide surveys; data science engineering textbooks",not applicable,Due to content area,10-Nov
Vance_2022_integrating,https://doi.org/10.52041/serj.v21i2.42,1,3,course example,broad,"They talk about bringing humanities into data science, not the other way around",not applicable,interdisciplinary,"""Was developed by an interdisciplinary team of faculty and students from the humanities and sciences, working with educational specialists in CU Boulder’s Arts and Sciences Teaching with Technology (ASSETT) group""",10-Nov
Vance_2021_using_teambased,https://doi.org/10.1080/26939169.2021.1971587,1,4,course example and pedagogical approach,statistics,statistics and data science are talked about almost synonymously. Even the literature support is about statistics and interpretated as therefore directly applicable to data science.,students in an Introduction to Data Science course,not specified,"We know the class it was implemented in and what major it was meant to target, but, they don't specify the department the course was from.",10-Nov
Wiktorski_2017_quantitative,https://doi.org/10.1109/cloudcom.2016.0109,1,5,review of current state of data science education,broad,"They are talking about all data science programs, not subsetting to specific type/field",Acadmic and inductrial data science programs and courses,not applicable,Due to content area,10-Nov
Rao_2019_data_science,https://doi.org/10.1109/ISECon.2019.8881970,3,1,course example,computer science; engineering,"""This course... is broadly aimed at teaching students in computer science and engineering about different career paths in these fields""",not applicable,not specified,They do not specify what department implemented this course,10-Nov
Sorensen_2018_evaluating_computational,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85103846829&partnerID=40&md5=0ad9e8c92019d355ad332a73d555acf6,3,1,pedagogical approach,broad,"They are focused on education of CS topics in DS, not the other way around",Students in an introductory data science course at Wellesley College (a female population),computer science,They courses were all offered by the CS department,10-Nov
Zakaria_2022_data_science,https://doi.org/10.1177/03400352221113362,4,1,review of current state of data science education,broad,"The Middle Eastern programs they anlyzed had ""data"" and ""analytics"" in the name, from a variety of fields",data science programs offered by Middle Eastern academic institutions,not applicable,due to content area,10-Nov
Suthar_2021_real_data,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124546523&partnerID=40&md5=ed00569a6049c4f397399743b6de40ef,5,1,education technology,engineering,clearly stated in title,not applicable,Not specified,Not stated in body of paper who developed,10-Nov
Tucker_2022_teaching_statistics,https://doi.org/10.1080/26939169.2022.2089410,5,1,course example,statistics,"""Our interest is in how to introduce statistical programming languages (in our case using R) into the teaching of data analysis and in how to teach modern methods of data analysis as a means of helping students create a deep and transferable understanding of the core concepts that underlie statistics.""",Undergraduate students in Introduction to Psychological Statistics classes,Psychology,"Stated in Methods, Study Context",10-Nov
