our_id,document_link,reviewer_1,reviewer_2,content_area,audience_discipline,reason_audience_discipline,data_science_topics,reason_data_science_topics,observational_unit,reason_observational_unit,department,reason_department,deadline
Kross_2019_practitioners_teaching,https://doi.org/10.1145/3290605.3300493,2,1,review of current state of data science education,review of current state of data science education,computer science,"Last paragraph: ""In sum, data science education is now a quickly growing form of computing and end-user programming education"" and ""We view this paper as an invitation to the HCI community...""",not applicable,NA,practitioner-instructors teaching data science,"See Sec. 1: ""We chose to study practitioner-instructors because...""",not applicable,Oct 22
Doudesis_2022_data_science,https://doi.org/10.1016/j.ijmedinf.2021.104668,1,2,course example and pedagogical approach,medicine,This paper presents a course that introduces undergraduate medical students to data science,"summary statistics, data visualization, hypothesis testing, relational databases, graph data, SQL",See Table 1,medical students,"Sec 3.2 "" A total number of 19 medical students across different study years were recruited, ...""",not specified,not specified,Oct 22
Bhavya_2020_collective_development,https://doi.org/10.1145/3328778.3366961,2,3,class activity example and pedagogical approach,broad,"From abstract: ""We share useful lessons for other instructors to adopt similar assignments for their DS courses.""",web scraping; web crawling; text mining; search engine development; python,See Sec 3.1,students of a Text Mining and Information Retrieval course,See Introduction (last paragraph),not specified,not specified,Oct 22
Hicks_2019_guide,https://doi.org/10.1080/00031305.2017.1356747,4,2,course example,statistics,See Titles of Sec 1.2 and 1.3. The paper appears to target statisticians who teach data science.,"computing, exploratory data analysis, data visualization, data wrangling, version control, git, statistical inference, bayesian statistics, machine learning, web scraping, relational databases",See Table 2,graduate and undergraduate students of Introduction to Data Science at a school of public health,See Sec 3 and Fig 1B,biology,Sec 3: course code is BIO 260,Oct 22
Rao_2018_milo,https://doi.org/10.1109/VLHCC.2018.8506504,4,2,education technology,broad,"Sec 1: ""we target faculty and educators, who design introductory courses for non-programmers in the fields of Data Science, Machine Learning and Linear Algebra.""","basic statistics, probability distributions, machine learning, linear algebra, programming",See Sec 1,computer science students,See Sec. 5,not specified,not specified,Oct 22
Hazzan_2021_journal,https://doi.org/10.1145/3469281,2,5,call to action,broad,"In ""Target Audience"": We anticipate professionals and researchers from all disciplines would be interested in the subjects the journal would cover",not applicable,NA,not applicable,not applicable,not applicable,not applicable,Oct 22
Alexander_2022_beyond_ethics,https://doi.org/10.5642/jhummath.OCYS6929,1,2,pedagogical approach,broad,"The closing line of Introduction: ""We close with recommendations for the field.""",ethics; privacy; humanities,"for ethics, title; for humanities, Dialogue 4; for data privacy, KST in Dial. 4",not applicable,not applicable,not applicable,not applicable,Oct 27
Cuadrado_2021_classification,https://doi.org/10.1109/educon46332.2021.9453917,2,1,education technology,broad,"Sec. 4 ""currently of great interest both in the scientific and industrial communities.""",data visualization; programming languages; R; Python; Microsoft Power BI; Tableau; Qlik Sense; Microstrategy Desktop,See Table I,not applicable,not applicable,not applicable,not applicable,Oct 27
De_2022_toward_holistic,https://doi.org/10.52041/serj.v21i2.40,2,3,program example,broad,No reference to a specific target audience,problem solving; ethics; human-machine interaction; inference; data quality; communication,See Sec 2,not applicable,not applicable,not applicable,not applicable,Oct 27
Allen_2021_experiential_learning,https://doi.org/10.1145/3408877.3432536,4,2,course example,broad,No reference to a specific target audience,data wrangling; data exploration; modeling; communication; natural language processing; machine learning; signal processing; operation research,Fig 1 and Table 2,capstone projects; students; graduate students,Table 1 and Table 2,not applicable,not applicable,Oct 27
