our_id,document_link,reviewer_1,reviewer_2,content_area,audience_discipline,reason_audience_discipline,data_science_topics,reason_data_science_topics,observational_unit,reason_observational_unit,department,reason_department,deadline
Davis_2020_ethics,https://doi.org/10.18260/1-2--34589,3,1,review of current state of data science education,broad,"in yhe abstract, she mentioned data science programs explicitly",ethics,research questions,multidisciplinary  teams reports with curriculum recommendations for data science ,"p.2: In this section, we review reports with curriculum recommendations for data science, focusing
on their coverage of teaching ethics. The reports are authored by multi-disciplinary teams under
the auspices of one or more professional, education-oriented organizations",not applicable,NA,27-Oct
De_2022_toward_holistic,https://doi.org/10.52041/serj.v21i2.40,2,3,program example,broad,heading of the article,"Motivation, problem definition and context; Data provenance and pedigree; Scientific  inference; Human machine interaction and decisions; Ethics; Problem Solving",pp.2-3,not applicable,NA,data science,they explicitly mentioned data science curriculum,27-Oct
Burr_2021_computational_skills,https://doi.org/10.1111/test.12277,4,3,class activity example and education technology,statistics; computer science,searching these as keywords,GUI; system-generated code,pp. S38-s39,not applicable,NA,statistics; computer science,searching these as keywords,27-Oct
Chung_2022_machine_learning,https://doi.org/10.1109/educon52537.2022.9766530,3,4,education technology,broad,they named few courses that can be offered in different data-science related departments,Machine Learning (ML); Natural Language Processing (NLP); Data Mining; Data Analytics; Knowledge Discovery,abstract,not applicable,NA,data science,"I was selecting not applicable but to be consistent with De_2022, I chose data science",27-Oct
Belloum_2019_bridging,https://doi.org/10.1002/cpe.5200,3,1,education technology and review of current state of data science education,broad,because they report on some of the exercises done in analyzing current Data Science education offer and matching with the needs of the job markets to propose a scalable matching service,not applicable,NA,job ad related documents; program descriptions,they mentioned within the abstract,not applicable,NA,22-Oct
Bhavya_2020_collective_development,https://doi.org/10.1145/3328778.3366961,2,3,class activity example and pedagogical approach,broad,they share their class activity with DS educators,web scraping; web crawling; text mining; search engine development; phyton,see p 1201,students from a text mining and information retrieval  course,they gave an approximate sample size as more than 200 students,not applicable,NA,22-Oct
Fisler_2022_datacentricity_rethinking,https://doi.org/10.1145/3531072.3535317,4,3,course example,broad,their abstract,data-centric computing; data structures; socially responsible computing; data visualization,see p1,not applicable,NA,computer science,p.1,22-Oct
Betz_2020_next_wave,https://doi.org/10.1002/sam.11476,3,5,program example,broad,because they introduce how they teach in the Data Mine and HPC seminar,linux shell; high-performance linpack; installing and using scientific applications in a HPC environment; cluster design; analyzing big data with HPC; python; R Studio; jupyterHub and communication,available in the article,not applicable,NA,"Actuarial Science; Agriculture; Analyzing Digital Gaming and Culture; Biology; Critical Data Studies; Data Visualization; Discoveries in Chemistry; Earth, Atmospheric, and Planetary Science; Electrical and Computer Engineering; Healthcare Engineering; Human Development and Family Studies; Institutional Assessment, Diversity, and Student Success; Management; Pharmacy/Drug Discovery; Philosophy; Physics; Political Science; Psychology; Statistics.",p.545,22-Oct
Bhavya_2021_scaling_up,https://doi.org/10.1145/3430895.3460168,3,5,pedagogical approach,broad,p.311,"text classification; reproducibility; open-source software; systems, toolkits; free topics",p.312,students and graders from a text information systems course,see findings,data science,p.311,22-Oct
Song_2016_big_data,https://doi.org/10.1111/exsy.12130,3,5,review of current state of data science education,broad,"p. 367 The current state of data science education in the United
States",not applicable,NA,programmes; core courses in BS and MS programmes in the US,Section 3,university/joint departments; computer science; data science; business; information science; statistics; information technology; operational research; professional studies,See Table 1,22-Oct
Rao_2019_data_science,https://doi.org/10.1109/ISECon.2019.8881970,3,1,course example,computer science; engineering,"This course, based on the textbook by Oakes [13], is broadly aimed at teaching students in computer science and engineering about different career paths in these fields, the types of skills needed, and the preparation required for a successful and ethically grounded career",NA,NA,"students in spring 2018, enrolling an undergraduate course titled as Modern Technologies with majors in computer science, electrical engineering, or civil engineering.",p.303,computer science; electrical engineering; civil engineering.,p.303,10-Nov
