our_id,document_link,reviewer_1,reviewer_2,content_area,audience_discipline,reason_audience_discipline,observational_unit,department,reason_department,deadline
Anslow_2016_datathons,https://doi.org/10.1145/2839509.2844568,1,5,extra curricular activity example,computer science,"Describes data sciences as being ""a relatively new area within computer science"". Their focus is on data literacy of computer science students.",Not applicable,computer science,The computer science departmnt organized the datathons and even hosted one in their department.,27-Oct
Blair_2021_establishing_abet,https://doi.org/10.1145/3408877.3432445,5,1,guidelines,computer science; engineering,"They are trying to establish accreditation criteria for all bachelor-level data science programs that emphasize computing skills, they are not writing guidelines for all. ""For example, Data Science programs with heavy emphasis on mathematics or statistics might more appropriately be accredited by the Applied and Natural Sciences Accreditation Commission (ANSAC)""",Not applicable,not applicable,Due to content area,27-Oct
Bornschlegl_2016_ivisbigdata,https://doi.org/10.1007/978-3-319-50070-6_1,1,5,education technology,unclassifiable,"The paper focused on the infastructure of the tool for software developers, not educators.",Not applicable,not applicable,The department(s) conducting the research were never specified.,27-Oct
Dinov_2019_quant_data,https://doi.org/10.1007/s41060-018-0138-6,1,5,call to action,broad,"They are writing to data science educators broadly. They even say ""Data science pitfalls include equating it disciplinarily to one specific field""",Not applicable,not applicable,Due to content area,3-Nov
Engel_2017_statistical_literacy,https://doi.org/10.52041/serj.v16i1.213,1,5,call to action,statistics,In their abstract they make it explicit that they are talking to statistics educators,Not applicable,Not applicable,Due to content area,3-Nov
Ionascu_2021_ds_lab,https://doi.org/10.1109/synasc51798.2020.00056,5,1,education technology,computer science,“may lead as well to other educational or practical use cases as well in different computer science subfields.”,Not applicable,Not specified,Did not talk about the department that developed the DS Notebook,3-Nov
Tucker_2022_teaching_statistics,https://doi.org/10.1080/26939169.2022.2089410,5,1,course example,statistics,"""Our interest is in how to introduce statistical programming languages (in our case using R) into the teaching of data analysis and in how to teach modern methods of data analysis as a means of helping students create a deep and transferable understanding of the core concepts that underlie statistics.""",Undergraduate students in Introduction to Psychological Statistics classes,Psychology,"Stated in Methods, Study Context",10-Nov
Suthar_2021_real_data,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85124546523&partnerID=40&md5=ed00569a6049c4f397399743b6de40ef,5,1,education technology,engineering,clearly stated in title,not applicable,Not specified,Not stated in body of paper who developed,10-Nov
Wiktorski_2017_quantitative,https://doi.org/10.1109/cloudcom.2016.0109,1,5,review of current state of data science education,broad,"They are talking about all data science programs, not subsetting to specific type/field",Acadmic and inductrial data science programs and courses,not applicable,Due to content area,10-Nov
Zhang_2020_self,https://repository.isls.org/handle/1/6745,5,1,pedagogical approach,broad,"Even though they are in an education department teaching students majoring in educational technology, through their introduction and discussion they are addressing the data science education community. They are not addressing those who teach data science within education.",educational technology undergraduate students,not specified,The department(s) conducting the research were never specified.,22-Oct
