our_id,document_title,doi,document_link,authors,abstract,database,reviewer_1,reviewer_2,keep,why_not_keep,prelim_review,open_access,first_published,new_doc_type,journal,conference,book,source,affiliation_country,content_area,research_question,data_collection_type,audience_discipline,reason_audience_discipline,observational_unit,department,reason_department,source_discipline,reason_source_discipline,big_pic_notes,interesting_facts,keywords
Alexander_2022_beyond_ethics,beyond ethics: considerations for centering equity-minded data science,10.5642/jhummath.OCYS6929,https://doi.org/10.5642/jhummath.OCYS6929,"Alexander, N; Eaton, CD; Shrout, AH; Tsinnajinnie, B; Tsosie, K","In this paper, we utilize duoethnography - a research method in which practitioners discursively interrogate the relationships between culture, context, and the mechanisms which shape individual autobiographical experiences - to ex-plore what may be beyond ethics in the context of data science. Although ethical frameworks have the ability to reflect cultural priorities, a singular view of ethics, as we explore, often fails to speak to the multiple and diverse priorities held both within and across institutional spaces. To that end, this paper explores multiple perspectives, epistemologies, and worldviews that can collectively push researchers towards considerations of a data science education that is equity -minded both in concept and practice. Through a set of dialogues which examine our positionalities, journeys, ethics, local cultures, and accountabilities, this pa-per explores the contextual realities rooted in the authors' educational settings. These conversations focus on the humanity of our students, the communities from which we come from and serve, as well as the unintentional harms and possibilities associated with the development of data science programs across institutional types. We take a set of five core questions to examine how we made, and continue to make, sense of our diverse cultural perspectives on data science education and equity with/in relation to others' realities. Broadly, this paper seeks to offer reflections on the related but differing functions of ethics and equity in data science education.",web of science,1,2,TRUE,NA,FALSE,TRUE,2022,journal article,Journal of Humanistic Mathematics,NA,NA,Journal of Humanistic Mathematics,"United States of America, United States of America, United States of America, United States of America, United States of America",pedagogical approach,TRUE,qual,broad,"The closing line of Introduction: ""We close with recommendations for the field.""",data science instructors,not applicable,not applicable,mathematics,"""The Journal of Humanistic Mathematics provides an open forum for both academic and informal discussions on the various threads of mathematical inquiry. "" ""Authors should keep in mind that the Journal publishes work that appeals to a general mathematical audience. This includes people who are seriously interested in mathematics, but may come from a variety of backgrounds both within and beyond academia. We hope to serve the whole mathematical community...""https://scholarship.claremont.edu/jhm/aimsandscope.html","This paper offers reflections on the meanings - and pedagogical practices employed for - ethics and equity in undergraduate data science education. It uses a research approach called duoethnography methodology. The five authors hold initial group sessions where they co-composed a set of 5 questions that would allow them to explore the relationships between positionality, community, data science and ethics. Next, they each respond to these questions, first asynchronously and then verbally discussing their overlapping interests or emerging themes. Finally, they digested and synthesized key themes and outcomes. In the paper, they report their answers, their dialogues and their summaries. One of their summaries is that ethics in mathematics and data science need not be one fixed idea or approach, but rather reflective of the multiple approaches, epistemologies worldviews and communities of data science practitioners.","This paper is quire unique, it reports dialogues and encourages the reader to engage in it. It includes personal reflections such as 'are our institutions, our colleagues, our students giving us the space, the time, the support, the encouragement to keep us going or are they too tied to the strings of white supremacy that they do not know how to dream the dreams we see?'","data ethics, data science, education, equity, social justice"
Allen_2021_experiential_learning,"experiential learning in data science: developing an interdisciplinary, client-sponsored capstone program",10.1145/3408877.3432536,https://doi.org/10.1145/3408877.3432536,Allen G.I.,"Interest in data science education and degree programs has rapidly expanded over the past several years. An integral part of many degree programs is a capstone experience, where students complete a major research or real-world project at the culmination of their educational program. In engineering and computer science, many have shown that client-sponsored projects lead to better student engagement and improved training. In this paper, we discuss experiences with developing an interdisciplinary, client-sponsored capstone program in data science and machine learning. We show how we set up the capstone program, including how the program is structured, how projects are set up, how the course is managed, how students are assessed, and outline the newly developed capstone curriculum. Finally, we report results from a cohort of students participating in this capstone program and discuss lessons learned as well as best practices when developing data science capstone programs.",Scopus,4,2,TRUE,NA,FALSE,TRUE,2021,conference article,NA,SIGCSE '21: Proceedings of the 52nd ACM Technical Symposium on Computer Science Education,NA,SIGCSE '21: Proceedings of the 52nd ACM Technical Symposium on Computer Science Education,United States of America,course example,TRUE,mixed,broad,"Quote: ""Our next major objective was to set up an interdisciplinary capstone program, consisting of vertically and horizontally integrated teams, that could serve as a capstone for several different degree programs.""",capstone projects; undergraduate students; graduate students,multiple departments,"From 2.3: ""serves as an elective to fulfill a capstone requirement for statistics, computer science, electrical engineering,"" and From 2.4 ""We have found that having a team of interdisciplinary instructors works best, especially if there are a large number of projects and teams.""",computer science education,"""ACM SIGCSE is the leading global community of professionals, researchers, educators, teachers, and students interested in understanding and improving computing education."" https://sigcse.org/about/profile.html","The author discusses experiences with developing an interdisciplinary, client-sponsored capstone program in data science and machine learning. They report results from a cohort of students participating in this capstone program and discuss lessons learned as well as best practices when developing data science capstone programs. Although a single research question/aim is not stated, data is collected with a very clear goal: assessing whether the project objectives were met and which factors played a large role in it.",NA,"capstone, client-sponsored projects, data science, experiential learning, machine learning, team-based projects"
Ambite_2019_linking_educational,linking educational resources on data science,10.1609/aaai.v33i01.33019404,https://doi.org/10.1609/aaai.v33i01.33019404,"Ambite J.L., Gordon J., Fierro L., Burns G., Mathew J.","The availability of massive datasets in genetics, neuroimaging, mobile health, and other subfields of biology and medicine promises new insights but also poses significant challenges. To realize the potential of big data in biomedicine, the National Institutes of Health launched the Big Data to Knowledge (BD2K) initiative, funding several centers of excellence in biomedical data analysis and a Training Coordinating Center (TCC) tasked with facilitating online and inperson training of biomedical researchers in data science. A major initiative of the BD2K TCC is to automatically identify, describe, and organize data science training resources available on the Web and provide personalized training paths for users. In this paper, we describe the construction of ERuDIte, the Educational Resource Discovery Index for Data Science, and its release as linked data. ERuDIte contains over 11,000 training resources including courses, video tutorials, conference talks, and other materials. The metadata for these resources is described uniformly using Schema.org. We use machine learning techniques to tag each resource with concepts from the Data Science Education Ontology, which we developed to further describe resource content. Finally, we map references to people and organizations in learning resources to entities in DBpedia, DBLP, and ORCID, embedding our collection in the web of linked data. We hope that ERuDIte will provide a framework to foster open linked educational resources on the Web.",Scopus,1,4,FALSE,practitioners,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson_2014_data_science,data science as an undergraduate degree,10.1145/2538862.2538868,https://doi.org/10.1145/2538862.2538868,"Anderson P., McGuffee J., Uminsky D.",NA,Scopus,5,2,FALSE,panel,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anderson_2019_keeping,keeping the human in the data scientist: shaping human-centered data science education,10.1002/pra2.103,https://doi.org/10.1002/pra2.103,"Anderson T.D., Parker N.","Human-centered approaches are still relatively novel for data science practice, where data-driven analytics are often framed as ways to supersede human judgments. This poster presents core design principles devised by the authors to build a data science curriculum foregrounding ethics and valuing creative human capacities alongside strong data analytic skills. The curriculum design transforms human-centered principles into practice. The poster visually illustrates the trajectory of these principles in relation to three specific graduate attributes, using a selection of deep dives into the learning design. To illustrate the specific power information theory and practice has to shape data science training, the poster uses evocative quotes from information science theorists and displays how their work significantly influenced the overall philosophy of the program, student activities and assessments. Using ‚Äògamestorming‚Äô techniques during the poster session, the audience is invited to contribute further insights about ways to nurture the deeply human capacities of the data scientists we train.",Scopus,2,1,FALSE,poster,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anslow_2016_datathons,datathons: an experience report of data hackathons for data science education,10.1145/2839509.2844568,https://doi.org/10.1145/2839509.2844568,"Anslow C., Brosz J., Maurer F., Boyes M.",Large amounts of data are becoming increasingly available through open data repositories as well as companies and governments collecting data to improve decision making and efficiencies. Consequently there is a need to increase the data literacy of computer science students. Data science is a relatively new area within computer science and the curriculum is rapidly evolving along with the tools required to perform analytics which students need to learn how to effectively use. To address the needs of students learning key data science and analytics skills we propose augmenting existing data science curriculums with hackathon events that focus on data also known as datathons. In this paper we present our experience at hosting and running four datathons that involved students and members from the community coming together to solve challenging problems with data from not-for-profit social good organizations and publicly open data. Our reported experience from our datathons will help inform other academics and community groups who also wish to host datathons to help facilitate their students and members to learn key data science and analytics skills.,Scopus,1,5,TRUE,NA,FALSE,TRUE,2016,conference article,NA,SIGCSE '16: Proceedings of the 47th ACM Technical Symposium on Computing Science Education,NA,SIGCSE '16: Proceedings of the 47th ACM Technical Symposium on Computing Science Education,"United Kingdom, Canada, Canada, Canada",extra curricular activity example,FALSE,no data,computer science,"Describes data sciences as being ""a relatively new area within computer science"". Their focus is on data literacy of computer science students.",Not applicable,computer science,The computer science departmnt organized the datathons and even hosted one in their department.,computer science education,"""ACM SIGCSE is the leading global community of professionals, researchers, educators, teachers, and students interested in understanding and improving computing education."" https://sigcse.org/about/profile.html",Describes case studies of datathons for practice with interdisiplinary collaboration on real projects.,NA,"analytics, community engagement, data science, datathon, hackathon, open data"
Banadaki_2022_enabling_data,enabling data science education in stem disciplines through supervised undergraduate research experiences,NA,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85138273525&partnerID=40&md5=4bcc15cec803e71371d05123abe0108f,Banadaki Y.,"Data Science plays a vital role in sciences and engineering disciplines to discover meaningful information and predict the outcome of real-world problems. Despite the significance of this field and high demand, knowledge of how to effectively provide data science research experience to STEM students is scarce. This paper focuses on the role of data science and analytics education to improve the students' computing and analytical skills across a range of domain-specific problems. The paper studies four examples of data-intensive STEM projects for supervised undergraduate research experiences (SURE) in Mechanical Engineering, Biomedical science, Quantum Physics, and Cybersecurity. The developed projects include the applications of data science for improving additive manufacturing, automating microscopy images analysis, identifying the quantum optical modes, and detecting network intrusion. The paper aims to provide some guidelines to effectively educate the next generation of STEM undergraduate and graduate students and prepare STEM professionals with interdisciplinary knowledge, skills, and competencies in data science. The paper includes a summary of activities and outcomes from our research and education in the field of data science and machine learning. We will evaluate the student learning outcomes in solving big data interdisciplinary projects to confront the new challenges in a computationally-driven world.ÔøΩ",Scopus,4,2,TRUE,NA,FALSE,TRUE,2022,conference article,NA,ASEE 2022: American Society for Engineering Education Annual Conference and Exposition,NA,ASEE 2022: American Society for Engineering Education Annual Conference and Exposition,United States of America,class activity example,TRUE,qual,STEM,"See Introduction: ""The goal of this paper is to encourage the implementation of interdisciplinary DS-intensive projects for STEM students.""",students taking part in supervised undergraduate research experiences,not specified,They don't specify which department the SURE program took place in.,engineering education,"""About ELD The Engineering Libraries Division of ASEE consists of librarians and information professionals concerned with the support of engineering education."" https://sites.asee.org/eld/conference-information/past-conferences/2022-annual-conference/","This paper aims to encourage the implementation of interdisciplinary data-intensive projects for STEM students by providing four examples of supervised undergraduate research experiences in Mechanical Engineering, Biomedical science, Quantum Physics, and Cybersecurity.",NA,"analytical skills, computing, data science, supervised undergraduate research experiences"
Belloum_2019_bridging,bridging the demand and the offer in data science,10.1002/cpe.5200,https://doi.org/10.1002/cpe.5200,"Belloum A.S.Z., Koulouzis S., Wiktorski T., Manieri A.","During the last several years, we have observed an exponential increase in the demand for Data Scientists in the job market. As a result, a number of trainings, courses, books, and university educational programs (both at undergraduate, graduate and postgraduate levels) have been labeled as √¢‚Ç¨≈ìBig data√¢‚Ç¨¬ù or √¢‚Ç¨≈ìData Science√¢‚Ç¨¬ù; the fil-rouge of each of them is the aim at forming people with the right competencies and skills to satisfy the business sector needs. In this paper, we report on some of the exercises done in analyzing current Data Science education offer and matching with the needs of the job markets to propose a scalable matching service, ie, COmpetencies ClassificatiOn (E-CO-2), based on Data Science techniques. The E-CO-2 service can help to extract relevant information from Data Science√¢‚Ç¨‚Äúrelated documents (course descriptions, job Ads, blogs, or papers), which enable the comparison of the demand and offer in the field of Data Science Education and HR management, ultimately helping to establish the profession of Data Scientist.",Scopus,3,1,TRUE,NA,FALSE,TRUE,2019,journal article,Concurrency and Computation: Practice and Experience,NA,NA,Concurrency and Computation: Practice and Experience,"Netherlands, Netherlands, Norway, Italy",education technology and review of current state of data science education,TRUE,mixed,broad,Analysis of documents was not limited to any specific disciplines.,job ad related documents; program descriptions,not specified,The department(s) conducting the research were never specified.,computer science,"""Concurrency and Computation: Practice and Experience is a computer science journal publishing original research and review papers on parallel and distributed computing systems. "" https://onlinelibrary.wiley.com/journal/15320634",Discusses the COmpetencies ClassificatiOn service and its use in comparing and identifying gaps between industry demand and educational programs' taught skills and competancies.,NA,"career development, data science, data science job market, education"
Betz_2020_next_wave,the next wave: we will all be data scientists,10.1002/sam.11476,https://doi.org/10.1002/sam.11476,"Betz M., Gundlach E., Hillery E., Rickus J., Ward M.D.","In the next wave of educating future data scientists, we need to think of all undergraduate students, regardless of background or major, as future data scientists. We should train them in supportive, interdisciplinary environments. Starting from their first day at college, they should be given the opportunity to apply powerful tools to large data sets, using real-world problems. Partnerships with research computing, academic departments, research centers, companies, government, and nonprofits will all be necessary to fully prepare these students for the breadth of the data science workforce.",Scopus,3,5,TRUE,NA,FALSE,TRUE,2020,journal article,Statistical Analysis and Data Mining: The ASA Data Science Journal,NA,NA,Statistical Analysis and Data Mining: The ASA Data Science Journal,"United States of America, United States of America, United States of America, United States of America, United States of America",program example,FALSE,no data,broad,The learning communities tackle wide range of topics from multiple disciplines,not applicable,multiple departments,"""Students are organized into 20 learning communities. Nineteen of these are sponsored by academic departmentsófrom every college in the Purdue university system""",statistics,"""Statistical Analysis and Data Mining is primarily a statistical journal focusing on novelty, intellectual importance, and relevance in current topics of contemporary research in statistics, statistical machine learning, and statistical data mining."" https://onlinelibrary.wiley.com/page/journal/19321872/homepage/productinformation.html?",They summarize the Data Mine program. Undergraduate students can join The Data Mine at any point in their academic careers. They can stay involved for up to 4 years,This program takes place in a residence hall.,"active learning, data science education, high-performance computing, learning community, undergraduate"
Bhavya_2020_collective_development,collective development of large scale data science products via modularized assignments: an experience report,10.1145/3328778.3366961,https://doi.org/10.1145/3328778.3366961,"Bhavya, Boughoula A., Green A., Zhai C.X.","Many universities are offering data science (DS) courses to fulfill the growing demands for skilled DS practitioners. Assignments and projects are essential parts of the DS curriculum as they enable students to gain hands-on experience in real-world DS tasks. However, most current assignments and projects are lacking in at least one of two ways: 1) they do not comprehensively teach all the steps involved in the complete workflow of DS projects; 2) students work on separate problems individually or in small teams, limiting the scale and impact of their solutions. To overcome these limitations, we envision novel synergistic modular assignments where a large number of students work collectively on all the tasks required to develop a large-scale DS product. The resulting product can be continuously improved with students' contributions every semester. We report our experience with developing and deploying such an assignment in an Information Retrieval course. Through the assignment, students collectively developed a search engine for finding expert faculty specializing in a given field. This shows the utility of such assignments both for teaching useful DS skills and driving innovation and research. We share useful lessons for other instructors to adopt similar assignments for their DS courses.",Scopus,2,3,TRUE,NA,FALSE,TRUE,2020,conference article,NA,SIGCSE '20: Proceedings of the 51st ACM Technical Symposium on Computer Science Education,NA,SIGCSE '20: Proceedings of the 51st ACM Technical Symposium on Computer Science Education,"United States of America, United States of America, United States of America, United States of America",class activity example and pedagogical approach,TRUE,mixed,broad,"From abstract: ""We share useful lessons for other instructors to adopt similar assignments for their DS courses.""",students of a Text Mining and Information Retrieval course,not specified,"The assignment that they describe was implemented for a course, but they do not specify which department offered the course.",computer science education,"""ACM SIGCSE is the leading global community of professionals, researchers, educators, teachers, and students interested in understanding and improving computing education."" https://sigcse.org/about/profile.html","The authors design a novel assignment whose goals are (1) building a large-scale DS product that motivates students to innovate collectively and iteratively; and (2) each student should comprehensively understand and work on most (if not all) steps involved in the complete workflow of the product. This assignment is modular, i.e. it is decomposed into sub-tasks that can be performed by a large number of students in parallel. They report their experience designing and deploying such sinergistic modular assignment in a in an upper-level course on introductory Text Mining and Information Retrieval class with more than 200 students. They detail 4 objectives, how the assignment was designed to meet the objectives and how the achievement of the objectives was measured through grading. The overall idea is to decompose the development of a novel application related to a data science course into
assignment modules and have students work collaboratively on
each module. Unlike existing DS assignments and projects which
have limited scope and impact, such assignments enable students
to collaboratively participate in and learn the complete workflow
of building a large scale novel DS product.","very interesting and ambitious assignment, very good way of presenting a novel assignment (how each goal relates to a design and to a grading method)","experience report, practical data science education, synergistic modular assignments"
